treatment,uniqueID,eclosion_date,free_run_cohort,eclosion_days,well_id,organism,trik_ID,Trik_monitor,Trikinetics_entry_LD_time,Trikinetic_exit_date,Trikinetics_exit_LD_time,notes_2,trik_cohort,Days_survived
RT,2b39,9/25/17,1,31,B3,fly,,2,16:08,,,,1,
RT,3w35,9/25/17,1,30,B8,wasp,21,2,16:08,10/1/17,9:00,missing,1,7
RT,4o60,9/25/17,1,29,D8,wasp,13,2,16:08,10/7/17,16:40,dead,1,13
RT,2b8,9/26/17,1,32,A3,fly,30,2,16:08,10/5/17,12:45,,1,11
RT,2b20,9/26/17,1,32,A7,fly,18,2,16:08,,,,1,17
RT,2r33,9/26/17,1,32,B10,fly,23,2,16:08,,,,1,17
RT,2r38,9/26/17,1,32,B12,fly,27,2,16:08,,,,1,17
RT,3o6,9/26/17,1,31,A3,wasp,17,2,16:08,10/6/17,14:46,frozen,1,11
RT,3w51,9/27/17,1,32,C6,fly,1,2,16:54,,,,2,16
RT,4o9,9/27/17,1,33,A5,fly,15,2,12:15,10/1/17,9:00,frozen,2,5
RT,4w66,9/27/17,1,31,D11,fly,23,2,16:54,,,,2,16
RT,3w25,9/28/17,1,33,B2,fly,2,2,10:09,10/3/17,9:40,frozen,3,5
RT,3w47,9/28/17,1,33,C4,fly,16,2,10:10,10/4/17,11:11,missing,3,15
RT,4o7,9/28/17,1,32,A4,fly,31,2,10:09,,,,3,
RT,4o16,9/28/17,1,32,A11,fly,29,2,10:09,10/1/17,9:00,frozen,3,
RT,4o21,9/28/17,1,32,B2,fly,22,2,10:11,,,,3,
RT,4o53,9/28/17,1,32,C12,fly,6,2,10:00,10/3/17,9:40,missing,3,
RT,4o76,9/28/17,1,32,E9,fly,4,2,10:11,,,,3,
RT,5b65,9/28/17,1,31,E6,fly,28,2,10:11,,,,3,
RT,4o5,9/29/17,1,33,A3,fly,19,2,12:20,,,,4,
RT,4o13,9/29/17,1,33,A9,fly,12,2,12:16,,,,4,
RT,4o17,9/29/17,1,33,A12,fly,10,2,12:16,10/3/17,9:40,frozen,4,
RT,5w4,9/29/17,1,32,A3,lfy,24,2,12:20,,,,4,
RT,5w22,9/29/17,1,32,A9,fly,24,2,12:21,,,,4,
RT,5w69,9/29/17,1,32,C2,fly,5,2,12:22,,,,4,
RT,5b11,9/29/17,1,32,C11,fly,7,2,12:23,,,,4,
RT,5b24,9/29/17,1,32,D3,fly,20,2,12:24,,,,4,
RT,5b26,9/29/17,1,32,D5,fly,,,,,,,4,
RT,5b34,9/29/17,1,32,D9,fly,26,2,12:25,,,,4,
RT,4w51,9/30/17,1,34,C9,fly,21,2,9:46,10/5/17,12:45,,5,
RT,10w73,10/2/17,1,30,C6,fly,29,2,11:23,,,,6,
RT,10o46,10/2/17,1,30,E6,fly,15,2,11:22,,,,6,
RT,2b18,10/3/17,1,40,A6,fly,6,2,10:25,,,,6,
RT,10w12,10/3/17,1,31,A4,fly,10,2,10:26,,,,6,
RT,10o49,10/3/17,1,31,E7,fly,2,2,10:24,,,,6,
RT,11w31,10/3/17,1,32,B3,fly,11,2,10:31,,,,6,
RT,11o53,10/3/17,1,32,C8,fly,32,2,10:25,,,,6,
RT,10w11,10/4/17,1,32,A3,fly,5,1,11:11,,,,7,
RT,10w20,10/4/17,1,32,A9,fly,9,1,11:11,,,,7,
RT,10o26,10/4/17,1,32,B1,fly,32,1,11:12,,,,7,
RT,11w56,10/4/17,1,33,B1,fly,25,1,11:12,,,,7,
RT,2b36,10/5/17,2,42,B2,fly,2,1,14:30,10/8/17,11:51,Almost dead,8,
RT,11o19,10/5/17,2,32,B9,fly,12,1,2:30,,,,8,
RT,11o30,10/5/17,2,32,C1,fly,27,1,2:30,,,,8,
RT,12w40,10/5/17,2,31,B12,fly,8,1,2:31,,,,8,
RT,12w75,10/5/17,2,31,D8,fly,31,1,14:31,,,,8,
RT,12b43,10/5/17,2,31,C2,fly,15,1,2:31,,,,8,
RT,13o50,10/5/17,2,30,C9,fly,29,1,2:32,,,,8,
RT,2b35,10/6/17,3,43,B1,fly,28,1,16:00,,,,9,
RT,10o3,10/6/17,3,34,C8,fly,16,2,16:01,10/9/17,9:35,,9,
RT,10o20,10/6/17,3,34,E1,fly,1,1,16:00,,,,9,
RT,11o51,10/6/17,3,35,C6,fly,25,2,16:00,,,,9,
