uniqueID,eclosion_date,trik_cohort,eclosion_days,well_id,organism,Trikinetics_position,Trik_monitor,Trikinetics_entry_LD_time,Trikinetic_exit_date,Trikinetics_exit_LD_time,notes_2,Free_run_trik_monitor,Free_run_trik_position,Free_run_entry_date,Free_run_entry_time,Free_run_exit_date,Free_run_exit_time,notes_3,cohort day,host,cohort date
3w35,9/25/2017,1,30,B8,wasp,21,2,16:08,1/17/2010,9:00,missing,,,,,,,,,,
4o60,9/25/2017,1,29,D8,wasp,13,2,16:08,7/17/2010,16:40,dead,,,,,,,,,,
2b8,9/26/2017,1,32,A3,fly,30,2,16:08,5/17/2010,12:45,,,,,,,,,,,
2b20,9/26/2017,1,32,A7,fly,18,2,16:08,12/17/2010,20:18,,3,6,12/17/2010,20:18,,,,,,
2r33,9/26/2017,1,32,B10,fly,23,2,16:08,12/17/2010,20:18,,3,9,12/17/2010,20:18,,,,,,
2r38,9/26/2017,1,32,B12,fly,27,2,16:08,12/17/2010,20:18,,3,10,12/17/2010,20:18,,,,,,
3o6,9/26/2017,1,31,A3,wasp,17,2,16:08,6/17/2010,14:46,frozen,,,,,,,,,,
3w51,9/27/2017,1,32,C6,fly,1,2,16:54,12/17/2010,20:18,,3,5,12/17/2010,20:18,,,,,,
4o9,9/27/2017,1,33,A5,fly,15,2,12:15,1/17/2010,9:00,frozen,,,,,,,,,,
4w66,9/27/2017,1,31,D11,fly,23,2,16:54,,,,,,,,,,,,,
3w25,9/28/2017,1,33,B2,fly,2,2,10:09,3/17/2010,9:40,frozen,,,,,,,,,,
3w47,9/28/2017,1,33,C4,fly,16,2,10:10,4/17/2010,11:11,missing,,,,,,,,,,
4o7,9/28/2017,1,32,A4,fly,31,2,10:09,12/17/2010,20:18,,3,3,12/17/2010,20:18,10/21/2017,22:53,,,,
4o16,9/28/2017,1,32,A11,fly,29,2,10:09,1/17/2010,9:00,frozen,,,,,,,,,,
4o21,9/28/2017,1,32,B2,fly,22,2,10:11,12/17/2010,20:18,,3,7,12/17/2010,20:18,,,,,,
4o53,9/28/2017,1,32,C12,fly,6,2,10:00,3/17/2010,9:40,missing,,,,,,,,,,
4o76,9/28/2017,1,32,E9,fly,4,2,10:11,10/13/2017,21:04,,3,8,10/13/2017,21:04,,,,,,
5b65,9/28/2017,1,31,E6,fly,28,2,10:11,12/17/2010,20:18,,2,24,12/17/2010,20:18,,,,,,
4o5,9/29/2017,1,33,A3,fly,19,2,12:20,10/13/2017,21:04,,3,25,10/13/2017,21:04,,,,,,
4o13,9/29/2017,1,33,A9,fly,12,2,12:16,,,,,,,,,,,,,
4o17,9/29/2017,1,33,A12,fly,10,2,12:16,3/17/2010,9:40,frozen,,,,,,,,,,
5w4,9/29/2017,1,32,A3,fly,14,2,12:20,12/17/2010,20:18,,3,2,12/17/2010,20:18,,,,,,
5w22,9/29/2017,1,32,A9,fly,24,2,12:21,12/17/2010,20:18,,3,21,12/17/2010,20:18,,,,,,
5w69,9/29/2017,1,32,C2,fly,5,2,12:22,12/17/2010,20:18,,3,22,12/17/2010,20:18,,,,,,
5b11,9/29/2017,1,32,C11,fly,7,2,12:23,12/17/2010,20:18,,3,14,12/17/2010,20:18,,,,,,
5b24,9/29/2017,1,32,D3,fly,20,2,12:24,12/17/2010,20:18,,3,19,12/17/2010,20:18,,,,,,
5b26,9/29/2017,1,32,D5,fly,,,,,,died in tube,,,,,,,,,,
5b34,9/29/2017,1,32,D9,fly,26,2,12:25,12/17/2010,20:18,,3,11,12/17/2010,20:18,,,,,,
4w51,9/30/2017,1,34,C9,fly,21,2,9:46,5/17/2010,12:45,,,,,,,,,,,
10w73,2/17/2010,1,30,C6,fly,29,2,11:23,12/17/2010,20:18,,3,12,12/17/2010,20:18,,,,,,
10o46,2/17/2010,1,30,E6,fly,15,2,11:22,12/17/2010,20:18,,3,13,12/17/2010,20:18,,,,,,
2b18,3/17/2010,1,40,A6,fly,6,2,10:25,12/17/2010,20:18,,3,26,12/17/2010,,,,,,,
10w12,3/17/2010,1,31,A4,fly,10,2,10:26,12/17/2010,20:18,,3,27,12/17/2010,20:18,,,,,,
10o49,3/17/2010,1,31,E7,fly,2,2,10:24,12/17/2010,20:18,,3,28,12/17/2010,20:18,,,,,,
11w31,3/17/2010,1,32,B3,fly,11,2,10:31,12/17/2010,20:18,,3,15,12/17/2010,20:18,,,,,,
11o53,3/17/2010,1,32,C8,fly,32,2,10:25,12/17/2010,20:18,,3,16,12/17/2010,20:18,,,,,,
10w11,4/17/2010,1,32,A3,fly,5,1,11:11,12/17/2010,20:18,,3,32,12/17/2010,20:18,,,,,,
10w20,4/17/2010,1,32,A9,fly,9,1,11:11,12/17/2010,20:18,,3,1,12/17/2010,20:18,,,,,,
10o26,4/17/2010,1,32,B1,fly,32,1,11:12,12/17/2010,20:18,,3,18,12/17/2010,20:18,,,,,,
11w56,4/17/2010,1,33,B1,fly,25,1,11:12,12/17/2010,20:18,,3,17,12/17/2010,20:18,,,,,,
12w49,4/17/2010,1,30,C6,fly,3,1,11:12,,,,,,,,,,,,,
12b38,4/17/2010,1,30,B11,fly,22,1,11:12,,,disturbed to check for dead 2017-10-23;11:30,,,,,,,,,,
13o16,4/17/2010,1,29,A11,fly,18,1,11:12,10/20/2017,17:42,,,,,,,,,,,
2b36,5/17/2010,2,42,B2,fly,2,1,14:30,8/17/2010,11:51,Almost dead,,,,,,,,,,
11o19,5/17/2010,2,#REF!,B9,fly,12,1,14:30,10/13/2017,21:01,,3,20,10/13/2017,21:06,,,,,,
11o30,5/17/2010,2,#REF!,C1,fly,27,1,14:30,10/13/2017,21:01,disturbed to check death 2017-10-20 20:23,3,31,10/13/2017,21:06,,,,,,
12w40,5/17/2010,2,#REF!,B12,fly,8,1,14:31,10/13/2017,21:01,changed water 2017-10-21 22:59,3,30,10/13/2017,21:06,,,,,,
12w75,5/17/2010,2,#REF!,D8,fly,31,1,14:31,10/17/2010,14:56,water tube dried up; died. frozen,,,,,,,,,,
12b43,5/17/2010,2,#REF!,C2,fly,15,1,14:31,10/13/2017,21:01,,3,29,10/13/2017,21:06,,,,,,
