"","treatment","uniqueID","eclosion_date","trik_cohort","eclosion_days","well_id","organism","trik_ID","Trik_monitor","Trikinetics_entry_LD_time","Trikinetic_exit_date","Trikinetics_exit_LD_time","notes_2","Free_run_trik_monitor","Free_run_trik_position","Free_run_entry_date","Free_run_entry_time","notes_3"
"1","RT","3w35","9/25/17",1,30,"B8","wasp",21,2,"16:08","10/1/17","9:00","missing",NA,NA,"","",NA
"2","RT","4o60","9/25/17",1,29,"D8","wasp",13,2,"16:08","10/7/17","16:40","dead",NA,NA,"","",NA
"3","RT","2b8","9/26/17",1,32,"A3","fly",30,2,"16:08","10/5/17","12:45","",NA,NA,"","",NA
"4","RT","2b20","9/26/17",1,32,"A7","fly",18,2,"16:08","10/12/17","20:18","",3,6,"10/12/17","20:18",NA
"5","RT","2r33","9/26/17",1,32,"B10","fly",23,2,"16:08","10/12/17","20:18","",3,9,"10/12/17","20:18",NA
"6","RT","2r38","9/26/17",1,32,"B12","fly",27,2,"16:08","10/12/17","20:18","",3,10,"10/12/17","20:18",NA
"7","RT","3o6","9/26/17",1,31,"A3","wasp",17,2,"16:08","10/6/17","14:46","frozen",NA,NA,"","",NA
"8","RT","3w51","9/27/17",1,32,"C6","fly",1,2,"16:54","10/12/17","20:18","",3,5,"10/12/17","20:18",NA
"9","RT","4o9","9/27/17",1,33,"A5","fly",15,2,"12:15","10/1/17","9:00","frozen",NA,NA,"","",NA
"10","RT","4w66","9/27/17",1,31,"D11","fly",23,2,"16:54","","","",NA,NA,"","",NA
"11","RT","3w25","9/28/17",1,33,"B2","fly",2,2,"10:09","10/3/17","9:40","frozen",NA,NA,"","",NA
"12","RT","3w47","9/28/17",1,33,"C4","fly",16,2,"10:10","10/4/17","11:11","missing",NA,NA,"","",NA
"13","RT","4o7","9/28/17",1,32,"A4","fly",31,2,"10:09","10/12/17","20:18","",3,3,"10/12/17","20:18",NA
"14","RT","4o16","9/28/17",1,32,"A11","fly",29,2,"10:09","10/1/17","9:00","frozen",NA,NA,"","",NA
"15","RT","4o21","9/28/17",1,32,"B2","fly",22,2,"10:11","10/12/17","20:18","",3,7,"10/12/17","20:18",NA
"16","RT","4o53","9/28/17",1,32,"C12","fly",6,2,"10:00","10/3/17","9:40","missing",NA,NA,"","",NA
