Ind_ID,tape,Site_name,mass_day10,purge_time_1,purge1,day10,cohort_date,cohort_day,Host,Li-cor_1,resp_time_1,resp_day11,mass_day14,purge_time_2,resp_time_2,resp_day15,Li_cor2,notes,treatment,uniqueID
1,red,Ferris,8.877,15:15,,2017-10-03,2017-09-23,2,Haw,6262,9:35:09,0.3277086,9.435,9:41,,,,,,
2,red,Ferris,12.018,,,2017-10-03,2017-09-23,2,Haw,6262,9:36:50,9.54E-02,7.524,,,,,,,
3,red,Ferris,6.925,,,2017-10-03,2017-09-23,2,Haw,6262,9:38:38,5.070808,4.068,,,,,,,
4,red,Ferris,8.591,,,2017-10-03,2017-09-23,2,Haw,6262,9:44:55,0.7198915,4.438,,,,,,,
5,red,Ferris,9.527,,,2017-10-03,2017-09-23,2,Haw,6262,9:46:45,0.2068476,8.023,,,,,,,
6,red,Ferris,8.524,,,2017-10-03,2017-09-23,2,Haw,6262,9:48:14,0.7775224,3.454,,,,,,,
7,red,Ferris,8.71,,,2017-10-03,2017-09-23,2,Haw,6262,9:49:44,0.2155528,8.535,,,,,,,
8,red,Ferris,6.083,,,2017-10-03,2017-09-23,2,Haw,6262,9:51:10,0.1791101,10.489,,,,,,,
9,red,Ferris,11.968,,,2017-10-03,2017-09-23,2,Haw,6262,9:52:36,0.1468133,8.954,,,,,,,
10,red,Ferris,7.715,,,2017-10-03,2017-09-23,2,Haw,6262,9:54:00,0.1952691,7.124,,,,,,,
11,red,Ferris,12.546,,,2017-10-03,2017-09-23,2,Haw,6262,9:55:32,0.1354764,8.194,,,,,,,
12,red,Ferris,6.473,,,2017-10-03,2017-09-23,2,Haw,6262,9:57:11,1.522838,7.783,,,,,,,
13,red,Ferris,6.543,,,2017-10-03,2017-09-23,2,Haw,6262,9:58:48,2.024637,2.702,,,,,,,
14,red,Ferris,11.74,,,2017-10-03,2017-09-23,2,Haw,6262,10:00:27,0.1159819,8.038,,,,,,,
15,red,Ferris,7.376,,,2017-10-03,2017-09-23,2,Haw,6262,10:01:52,0.1447016,8.317,,,,,,,
16,red,Ferris,10.992,,,2017-10-03,2017-09-23,2,Haw,6262,10:03:19,1.041351,7.554,,,,,,,
17,red,Ferris,8.442,,,2017-10-03,2017-09-23,2,Haw,6262,10:04:56,0.164958,10.404,,,,,,,
18,red,Ferris,9.495,,,2017-10-03,2017-09-23,2,Haw,6262,10:06:15,0.5621437,,,,,,dead,,
19,red,Ferris,5.565,,,2017-10-03,2017-09-23,2,Haw,6262,10:07:44,0.2165338,9.753,,,,,,,
20,red,Ferris,11.278,,,2017-10-03,2017-09-23,2,Haw,6262,10:09:10,1.795423,9.116,,,,,,,
21,red,Ferris,11.881,,,2017-10-03,2017-09-23,2,Haw,6262,10:10:40,1.438319,5.106,,,,,,,
22,red,Ferris,11.566,,,2017-10-03,2017-09-23,2,Haw,6262,10:12:10,0.2254359,12.419,,,,,,,
23,red,Ferris,5.682,,,2017-10-03,2017-09-23,2,Haw,6262,10:13:33,0.164487,10.241,,,,,,,
24,red,Ferris,11.831,,,2017-10-03,2017-09-23,2,Haw,6262,10:14:55,0.2197166,7.161,,,,,,,
25,red,Ferris,8.104,,,2017-10-03,2017-09-23,2,Haw,6262,10:16:09,1.701253,4.669,,,,,,,
26,red,Ferris,9.651,,,2017-10-03,2017-09-23,2,Haw,6262,10:17:44,1.034339,4.537,,,,,,,
27,red,Ferris,6.498,,,2017-10-03,2017-09-23,2,Haw,6262,10:19:16,1.512593,7.244,,,,,,,
28,red,Ferris,7.765,,,2017-10-03,2017-09-23,2,Haw,6262,10:20:48,1.529388,5.434,,,,,,,
29,red,Ferris,7.155,,,2017-10-03,2017-09-23,2,Haw,6262,10:22:18,1.44075,7.5,,,,,,,
30,red,Ferris,9.214,,,2017-10-03,2017-09-23,2,Haw,6262,10:23:51,1.012606,7.283,,,,,,,
31,red,Ferris,10.41,,,2017-10-03,2017-09-23,2,Haw,6262,10:25:21,0.207454,7.438,,,,,,,
32,red,Ferris,8.079,,,2017-10-03,2017-09-23,2,Haw,6262,10:26:39,0.1821775,8.65,,,,,looks dead,,
33,red,Ferris,11.235,,,2017-10-03,2017-09-23,2,Haw,6262,10:27:56,0.125583,8.305,,,,,,,
34,red,Blank,,,,2017-10-03,2017-09-23,2,Haw,6262,10:29:18,1.96E-02,,,,,,,,
35,red,Blank,,15:25,,2017-10-03,2017-09-23,2,Haw,6262,10:30:26,3.40E-02,,9:59,,,,,,
1,blue,Ferris,9.963,15:02,,2017-10-03,2017-09-23,2,Haw,7000,9:35:09,0.6921493,6.631,9:43,,,,,,
2,blue,Ferris,7.853,,,2017-10-03,2017-09-23,2,Haw,7000,9:36:50,1.397079,9.554,,,,,,,
3,blue,Ferris,8.591,,,2017-10-03,2017-09-23,2,Haw,7000,9:38:38,0.0783759,6.435,,,,,,,
4,blue,Ferris,5.87,,,2017-10-03,2017-09-23,2,Haw,7000,9:44:55,0.1420783,7.937,,,,,,,
5,blue,Ferris,8.681,,,2017-10-03,2017-09-23,2,Haw,7000,9:46:45,0.1821803,8.9,,,,,,,
6,blue,Ferris,4.554,,,2017-10-03,2017-09-23,2,Haw,7000,9:48:14,0.10714,7.819,,,,,,,
7,blue,Ferris,9.271,,,2017-10-03,2017-09-23,2,Haw,7000,9:49:44,6.02E-02,8.142,,,,,,,
8,blue,Ferris,11.371,,,2017-10-03,2017-09-23,2,Haw,7000,9:51:10,0.7675437,7.917,,,,,,,
9,blue,Ferris,9.494,,,2017-10-03,2017-09-23,2,Haw,7000,9:52:36,0.1629043,10.901,,,,,,,
10,blue,Ferris,7.647,,,2017-10-03,2017-09-23,2,Haw,7000,9:54:00,0.5922799,6.558,,,,,,,
11,blue,Ferris,8.853,,,2017-10-03,2017-09-23,2,Haw,7000,9:55:32,0.1228143,11.682,,,,,,,
12,blue,Ferris,9.942,,,2017-10-03,2017-09-23,2,Haw,7000,9:57:11,0.6322609,5.209,,,,,,,
13,blue,Ferris,5.941,,,2017-10-03,2017-09-23,2,Haw,7000,9:58:48,0.5893537,5.265,,,,,,,
14,blue,Ferris,8.798,,,2017-10-03,2017-09-23,2,Haw,7000,10:00:27,0.1706449,10.899,,,,,,,
15,blue,Ferris,8.972,,,2017-10-03,2017-09-23,2,Haw,7000,10:01:52,0.6255368,6.115,,,,,,,
16,blue,Ferris,8.306,,,2017-10-03,2017-09-23,2,Haw,7000,10:03:19,8.54E-02,10.217,,,,,,,
17,blue,Ferris,11.156,,,2017-10-03,2017-09-23,2,Haw,7000,10:04:56,6.89E-02,7.862,,,,,,,
18,blue,Ferris,7.698,,,2017-10-03,2017-09-23,2,Haw,7000,10:06:15,9.48E-02,8.714,,,,,dead,,
19,blue,Ferris,10.518,,,2017-10-03,2017-09-23,2,Haw,7000,10:07:44,0.7172696,4.514,,,,,,,
20,blue,Ferris,11.666,,,2017-10-03,2017-09-23,2,Haw,7000,10:09:10,0.180665,10.467,,,,,,,
21,blue,Ferris,6.451,,,2017-10-03,2017-09-23,2,Haw,7000,10:10:40,0.1371702,11.019,,,,,,,
22,blue,Ferris,13.661,,,2017-10-03,2017-09-23,2,Haw,7000,10:12:10,7.30E-02,10.739,,,,,,,
23,blue,Ferris,11.119,,,2017-10-03,2017-09-23,2,Haw,7000,10:13:33,0.6885768,4.346,,,,,,,
24,blue,Ferris,8.755,,,2017-10-03,2017-09-23,2,Haw,7000,10:14:55,0.1004752,10.878,,,,,,,
25,blue,Ferris,5.76,,,2017-10-03,2017-09-23,2,Haw,7000,10:16:09,7.97E-02,7.489,,,,,,,h2b25
26,blue,Ferris,5.465,,,2017-10-03,2017-09-23,2,Haw,7000,10:17:44,0.9351721,7.621,,,,,,,
27,blue,Ferris,8.697,,,2017-10-03,2017-09-23,2,Haw,7000,10:19:16,0.394223,5.055,,,,,,,
28,blue,Ferris,7.491,,,2017-10-03,2017-09-23,2,Haw,7000,10:20:48,7.80E-02,7.333,,,,,,,h2b28
29,blue,Ferris,9.171,,,2017-10-03,2017-09-23,2,Haw,7000,10:22:18,9.58E-02,6.527,,,,,,,
30,blue,Ferris,7.989,,,2017-10-03,2017-09-23,2,Haw,7000,10:23:51,0.1346486,8.494,,,,,,,
31,blue,Ferris,7.976,,,2017-10-03,2017-09-23,2,Haw,7000,10:25:21,0.118759,9.758,,,,,,,
32,blue,Ferris,9.337,,,2017-10-03,2017-09-23,2,Haw,7000,10:26:39,0.2502252,3.428,,,,,,,
33,blue,Ferris,8.911,,,2017-10-03,2017-09-23,2,Haw,7000,10:27:56,0.7581469,8.244,,,,,,,
34,blue,Blank,,,,2017-10-03,2017-09-23,2,Haw,7000,10:29:18,1.49E-02,,,,,,,,
35,blue,Blank,,15:14,,2017-10-03,2017-09-23,2,Haw,7000,10:30:26,1.27E-02,,9:40,,,,,,
1,white,Ferris,6.723,11:53,,2017-10-04,2017-09-24,3,Haw,7000,8:59:59,0.8960276,4.423,10:42,7:16:08,0.4179824,,,,
