¥éËCohort_date,Cohort_day,Well_ID,Eclosion_date,Eclosion_day,Sample_saved,Host,Notes,treatment,organism,Trikinetics_position,Trik_monitor,Trikinetics_entry_LD_time,Trikinetic_exit_date,Trikinetics_exit_LD_time,notes_2,Free_run_trik_monitor,Free_run_trik_position,Free_run_entry_date,Free_run_entry_time,Free_run_exit_date,Free_run_exit_time,notes_3
2017-08-29,6,A11,2017-09-29,30,1,Apple,,RT,,,,,,,,,,,,,,
2017-08-29,6,C2,2017-09-29,30,1,Apple,,RT,,,,,,,,,,,,,,
2017-08-30,7,C2,2017-09-29,29,1,Apple,,RT,,,,,,,,,,,,,,
2017-08-31,8,B6,2017-09-29,28,1,Apple,,RT,,,,,,,,,,,,,,
2017-08-31,8,C3,2017-09-29,28,1,Apple,,RT,,,,,,,,,,,,,,
2017-08-30,7,H1,2017-09-30,30,1,Apple,,RT,,,,,,,,,,,,,,
2017-08-31,8,A5,2017-10-01,30,1,Apple,,RT,,,,,,,,,,,,,,
2017-08-31,8,B9,2017-10-01,30,1,Apple,,RT,,,,,,,,,,,,,,
2017-08-31,8,H6,2017-10-01,30,1,Apple,,RT,,,,,,,,,,,,,,
2017-08-31,8,E2,2017-10-01,30,0,Apple,,RT,,,,,,,,,,,,,,
2017-08-30,7,B1,2017-10-01,31,1,Apple,,RT,,,,,,,,,,,,,,
2017-08-30,7,A7,2017-10-01,31,1,Apple,,RT,,,,,,,,,,,,,,
2017-08-30,7,B10,2017-10-01,31,1,Apple,,RT,,,,,,,,,,,,,,
2017-08-30,7,H1,2017-10-01,31,1,Apple,,RT,,,,,,,,,,,,,,
2017-08-30,7,G12,2017-10-01,31,1,Apple,,RT,,,,,,,,,,,,,,
2017-08-30,7,G4,2017-10-01,31,1,Apple,,RT,,,,,,,,,,,,,,
2017-08-29,6,B9,2017-10-01,32,0,Apple,,RT,,,,,,,,,,,,,,
2017-08-29,6,C10,2017-10-01,32,1,Apple,,RT,,,,,,,,,,,,,,
2017-08-29,6,A9,2017-10-04,36,1,Apple,,RT,,,,,,,,,,,,,,
2017-08-29,6,C10,2017-10-04,36,1,Apple,,RT,,,,,,,,,,,,,,
2017-08-29,6,B5,2017-10-04,36,1,Apple,,RT,,,,,,,,,,,,,,
2017-08-30,7,C9,2017-10-04,35,1,Apple,,RT,,,,,,,,,,,,,,
2017-08-30,7,E1,2017-10-04,35,1,Apple,,RT,,,,,,,,,,,,,,
2017-08-30,7,F3,2017-10-04,35,1,Apple,,RT,,,,,,,,,,,,,,
