Ind_ID,tape,Site_name,mass_day10,purge_time_1,purge1,collection_date,day10,cohort_date,cohort_day,Host,Li-cor_1,resp_time_1,resp_day11,mass_day14,purge_time_2,resp_time_2,resp_day15,Li_cor2,notes,Resp_code
50,red,Ferris,12.337,9:51,,2017-09-19,2017-10-08,2017-09-28,7,Haw,7000,8:01:26,1.246451,11.419,11:49,10:03:42,1.135671,7000,,1
51,red,Ferris,9.22,,,2017-09-19,2017-10-08,2017-09-28,7,Haw,7000,8:03:05,0.1016724,8.571,,10:05:54,7.57E-02,7000,,1
52,red,Ferris,8.228,,,2017-09-19,2017-10-08,2017-09-28,7,Haw,7000,8:04:46,7.92E-02,7.542,,10:07:50,7.83E-02,7000,,1
53,red,Ferris,8.862,,,2017-09-19,2017-10-08,2017-09-28,7,Haw,7000,8:06:23,0.1393141,8.191,,10:09:52,0.1467308,7000,,1
54,red,Ferris,4.366,,,2017-09-19,2017-10-08,2017-09-28,7,Haw,7000,8:07:36,0.4835936,3.468,,10:11:19,0.5855048,7000,,1
55,red,Ferris,5.735,,,2017-09-19,2017-10-08,2017-09-28,7,Haw,7000,8:09:02,8.06E-02,5.198,,10:13:58,6.27E-02,7000,,1
56,red,Ferris,9.266,,,2017-09-19,2017-10-08,2017-09-28,7,Haw,7000,8:10:22,8.14E-02,8.581,,10:15:35,9.00E-02,7000,,1
57,red,Ferris,7.85,,,2017-09-19,2017-10-08,2017-09-28,7,Haw,7000,8:11:35,0.7068794,7.19,,10:17:26,0.6487276,7000,,1
58,red,Ferris,16.09,,,2017-09-19,2017-10-08,2017-09-28,7,Haw,7000,8:13:00,0.4564273,9,,10:19:05,0.2354349,7000,d15: dead,0
59,red,Ferris,11.249,,,2017-09-19,2017-10-08,2017-09-28,7,Haw,7000,8:14:32,0.1637456,10.381,,10:20:44,9.71E-02,7000,,1
60,red,Ferris,11.035,,,2017-09-19,2017-10-08,2017-09-28,7,Haw,7000,8:15:44,0.1467018,10.416,,10:22:07,8.42E-02,7000,,1
61,red,Ferris,11.191,,,2017-09-19,2017-10-08,2017-09-28,7,Haw,7000,8:16:58,0.1703126,10.405,,10:23:29,5.01E-02,7000,d15 resp syringes 61 and 62 switched places,1
62,red,Ferris,10.058,,,2017-09-19,2017-10-08,2017-09-28,7,Haw,7000,8:18:32,0.1042432,9.345,,10:24:58,0.1146481,7000,,1
63,red,Ferris,6.409,,,2017-09-19,2017-10-08,2017-09-28,7,Haw,7000,8:19:45,0.1041749,5.791,,10:26:41,5.78E-02,7000,,1
