Ind_ID,tape,Site_name,mass_day10,purge_time_1,purge1,collection_date,day10,cohort_date,cohort_day,Host,Li-cor_1,resp_time_1,resp_day11,mass_day14,purge_time_2,resp_time_2,resp_day15,Li_cor2,notes,Resp_code,treatment,uniqueID,eclosion_date,eclosion_days,well_id,organism,Trikinetics_position,Trik_monitor,Trikinetics_entry_LD_time,Trikinetic_exit_date,Trikinetics_exit_LD_time,notes_2,Free_run_trik_monitor,Free_run_trik_position,Free_run_entry_date,Free_run_entry_time,Free_run_exit_date,Free_run_exit_time,notes_3,
4,orange,Ferris,4.791,,,2017-09-19,2017-10-05,2017-09-25,4,Haw,6262,24:16:15,1.347847,3.806,,9:55:55,1.420677,6262,,1,RT,h4o4,2017-10-16,6,B11,wasp,1,1,19:37,2017-10-18,20:31,,4,19,2017-10-24,20:32,,,disturbed to check for death (2017-11-02 at 21:46); changed water 2017-11-13 21:29,
25,blue,Ferris,5.76,,,2017-09-19,2017-10-03,2017-09-23,2,Haw,6262,10:16:09,1.701253,7.489,,9:44:07,0.8152881,6262,,1,RT,h2b25,2017-10-17,9,G9,wasp,14,1,14:16,2017-10-25,20:00,,4,23,2017-10-25,20:00,,,changed water 2017-10-29 2:04,
22,orange,Ferris,4.982,,,2017-09-19,2017-10-06,2017-09-26,5,Haw,6262,18:22:38,1.765192,4.167,,10:23:13,1.249474,6262,,1,RT,h5o22,2017-10-20,9,G9,wasp,22,2,13:06,2017-10-29,1:24,changed water 2017-10-26 10:56; ,3,26,2017-10-29,1:37,,,disturbed to check death 2017-10-30 20:44; changed water 2017-11-13 21:29,
6,blue,OG,9.83,,17.09188596,2017-08-21,2017-09-14,2017-09-04,12,Apple,6262,9:51:07,2.092909,7.524,,9:55:57,1.452826,6262,,1,RT,12b6,2017-10-09,35,A8,wasp,17,1,10:18,2017-10-17,20:08,,4,19,2017-10-17,20:08,,,,
73,white,Ferris,9.786,,17.86315789,2017-08-21,2017-09-07,2017-08-28,5,Apple,7000,10:58:22,0.1710305,9.081,,11:45:35,0.1060011,7000,,1,RT,5w73,2017-10-23,25,C5,fly,11,2,10:58,2017-10-31,21:12,,5,22,2017-10-31,21:12,,,changed water 2017-11-13 21:36,
66,white,Ferris,7.29,,15.93506494,2017-08-21,2017-09-06,2017-08-27,4,Apple,6262,10:44:29,1.202627,6.687,,14:35:42,1.308663,6262,,1,RT,4w66,2017-09-27,31,D11,fly,23,2,16:54,2017-10-12,20:18,,3,4,2017-10-12,20:18,2017-10-28,1:16,frozen 2017-10-28,
12,white,Ferris,5.436,,19.44444444,2017-08-21,2017-09-12,2017-09-02,10,Apple,7000,10:37:53,5.45E-02,5.221,,10:30:36,0.668568,7000,,1,RT,10w12,2017-10-03,31,A4,fly,10,2,10:26,2017-10-12,20:18,,3,27,2017-10-12,20:18,,,checked for death 2017-11-05 20:15; changed water 2017-11-13 21:36 ,
49,orange,Milford,10.347,,19.21731602,2017-08-21,2017-09-12,2017-09-02,10,Haw,6262,11:29:51,0.1072915,9.601,,11:17:21,1.591075,6262,,1,RT,10o49,2017-10-03,31,E7,fly,2,2,10:24,2017-10-12,20:18,,3,28,2017-10-12,20:18,,,changed water 2017-10-29 2:06; disturbed to check for death 2017-11-15 21:47 ,
40,white,Ferris,7.29,,16.78223684,2017-08-21,2017-09-14,2017-09-04,12,Apple,7000,10:37:25,0.5055474,6.491,,11:06:05,0.5703694,7000,,1,RT,12w40,2017-10-05,31,B12,fly,8,1,14:31,2017-10-13,21:01,changed water 2017-10-21 22:59;disturbed to check death 2017-10-24 20:39,3,30,2017-10-13,21:06,,,change food 2017-10-31 21:50/ checked for death 2017-11-04 20:13/ disturbed to check for death 2017-11-15 21:48,
43,blue,OG,6.99,,17.27850877,2017-08-21,2017-09-14,2017-09-04,12,Apple,6262,10:41:32,0.8473561,6.371,,11:11:01,0.9152294,6262,,1,RT,12b43,2017-10-05,31,C2,fly,15,1,14:31,2017-10-13,21:01,,3,29,2017-10-13,21:06,,,changed water 2017-11-02 22:52/ changed food 2017-11-02 22:58,
28,orange,Milford,10.525,,13.89954955,2017-08-21,2017-09-15,2017-09-05,13,Haw,6262,9:53:25,1.437245,9.781,,11:25:00,0.1805714,6262,,1,RT,13o28,2017-10-06,31,B6,fly,7,1,16:02,2017-10-14,20:10,,4,6,2017-10-14,20:10,2017-10-31,21:12,changed water 2017-10-29 2:04,
11,orange,OG,6.49,,13.55112613,2017-08-21,2017-09-15,2017-09-05,13,Apple,6262,9:31:21,0.9230639,6.349,,10:49:02,0.9277479,6262,,1,RT,13o11,2017-10-12,37,A7,fly,1,2,20:21,2017-10-20,20:16,,4,24,2017-10-20,20:24,,,changed water 2017-11-05 22:22; changed water 2017-11-13 21:29,
25,blue,Ferris,6.847,,16.86621622,2017-08-21,2017-09-07,2017-08-28,5,Apple,,9:52:35,0.1004069,6.285,,10:38:01,7.34E-02,6262,,1,RT,5b25,2017-10-21,54,D4,fly,26,1,19:28,2017-10-29,20:57,,5,32,2017-10-29,20:57,,,,
