Host,cohort_day,well_id,uniqueID,lifespan
Apple,13,A8,13o12,0
Apple,13,A4,13o8,0
Apple,13,C8,13r52,0
Apple,13,C10,13r54,0
Apple,13,C11,13o52,0
Apple,13,D4,13o67,0
Apple,13,D8,13r74,0
Apple,4,E5,4w74,0
Apple,4,E1,4o64,0
Apple,4,D12,4o63,0
Apple,2,A4,2b12,0
Apple,5,C1,5w68,0
Apple,3,B1,3w16,0
Apple,3,B5,3w30,0
Apple,3,B7,3w32,0
Apple,20,B4,20r15,0
Apple,20,E2,20r6,0
Apple,11,A3,11w14,0
Apple,11,B5,11o2,0
Apple,11,C12,11o62,0
Apple,11,D2,11o69,0
Apple,16,D10,16w6,0
Apple,16,F11,16o13,0
Apple,19,G5,19r19,0
Apple,19,H4,19r29,0
Apple,19,H7,19r18,0
Apple,12,A9,12w7,0
Apple,12,B1,12b14,0
Apple,12,B4,12b20,0
Apple,12,C10,12b56,0
Apple,14,A11,14r11,0
Apple,14,B12,14r29,0
Apple,14,C11,14b41,0
Apple,14,D8,14r51,0
Apple,14,E1,14b58,0
Apple,14,E2,14r62,0
Apple,14,E3,14b65,0
Haw,7,B7,h7r58,0
Haw,2,D12,h2b27,0
Haw,6,A1,-,0
Haw,6,F5,h6b22,0
Haw,3,B6,h3w25,0
Haw,3,B10,h3w23,0
Haw,3,B11,h3w6,0
Haw,5,C6,h5r7,0
Haw,5,G3,h5r16,0
Haw,5,H7,-,0
Haw,4,B3,h4o15,0
Haw,4,D12,h4w15,0
Haw,8,C4,h8w15,0
