Host,Sample,N,tape,licor,cohort_day,cohort_date,day_weight,day_resp,weight,Respiration,Respiration_time,Purge_time
Apple,e,1,red,7000,19,9/3/18,7,8,5.805,0.147165,10:21:23,16:13
Apple,e,2,red,7000,19,9/3/18,7,8,6.045,0.1719045,10:23:02,
Apple,e,3,red,7000,19,9/3/18,7,8,6.481,0.101144,10:24:38,
Apple,e,4,red,7000,19,9/3/18,7,8,10.068,0.2134008,10:26:06,
Apple,e,5,red,7000,19,9/3/18,7,8,6.809,0.1134154,10:27:28,
Apple,e,6,red,7000,19,9/3/18,7,8,8.442,0.6372036,10:29:05,
Apple,e,7,red,7000,19,9/3/18,7,8,9.872,0.2221809,10:30:42,
Apple,e,8,red,7000,19,9/3/18,7,8,9.548,0.1987233,10:32:03,
Apple,e,9,red,7000,19,9/3/18,7,8,8.84,0.1790503,10:33:25,
Apple,e,10,red,7000,19,9/3/18,7,8,7.519,1.356455,10:34:52,
Apple,e,11,red,7000,19,9/3/18,7,8,8.557,0.19398,10:36:19,
Apple,e,12,red,7000,19,9/3/18,7,8,10.109,0.2427728,10:37:40,
Apple,e,13,red,7000,19,9/3/18,7,8,8.459,0.1465205,10:38:55,
Apple,e,14,red,7000,19,9/3/18,7,8,5.778,0.1177486,10:40:17,
Apple,e,15,red,7000,19,9/3/18,7,8,9.011,0.1775839,10:41:37,
Apple,e,16,red,7000,19,9/3/18,7,8,6.563,0.1575325,10:43:15,
Apple,b,17,red,7000,19,9/3/18,7,8,,1.30E-02,10:44:52,16:18
Apple,e,1,orange,6262,19,9/3/18,7,8,8.529,1.249565,10:21:23,16:18
Apple,e,2,orange,6262,19,9/3/18,7,8,5.964,0.2120648,10:23:02,
Apple,e,3,orange,6262,19,9/3/18,7,8,6.489,0.2139611,10:24:38,
Apple,e,4,orange,6262,19,9/3/18,7,8,7.544,0.2271753,10:26:06,
Apple,e,5,orange,6262,19,9/3/18,7,8,9.876,0.3398483,10:27:28,
Apple,e,6,orange,6262,19,9/3/18,7,8,6.753,1.833941,10:29:05,
Apple,e,7,orange,6262,19,9/3/18,7,8,9.777,0.3193111,10:30:42,
Apple,e,8,orange,6262,19,9/3/18,7,8,6.149,0.2024435,10:32:03,
Apple,e,9,orange,6262,19,9/3/18,7,8,7.539,0.2674149,10:33:25,
Apple,e,10,orange,6262,19,9/3/18,7,8,9.299,0.6084449,10:34:52,
Apple,e,11,orange,6262,19,9/3/18,7,8,7.162,0.1696596,10:36:19,
Apple,e,12,orange,6262,19,9/3/18,7,8,6.871,0.1870739,10:37:40,
Apple,e,13,orange,6262,19,9/3/18,7,8,6.633,0.1464126,10:38:55,
Apple,e,14,orange,6262,19,9/3/18,7,8,7.983,0.1994126,10:40:17,
Apple,e,15,orange,6262,19,9/3/18,7,8,4.599,1.41355,10:41:37,
Apple,e,16,orange,6262,19,9/3/18,7,8,6.902,2.120958,10:43:15,
Apple,b,17,orange,6262,19,9/3/18,7,8,,1.85E-02,10:44:52,16:24
Apple,e,1,red,7000,5,9/4/18,7,8,5.007,0.1890603,9:09:26,16:37
Apple,e,2,red,7000,5,9/4/18,7,8,7.321,0.1582116,9:10:55,
Apple,e,3,red,7000,5,9/4/18,7,8,7.416,0.1536641,9:12:05,
Apple,e,4,red,7000,5,9/4/18,7,8,8.319,0.1767983,9:13:15,
Apple,e,5,red,7000,5,9/4/18,7,8,6.002,0.2053673,9:14:26,
Apple,e,6,red,7000,5,9/4/18,7,8,5.649,1.017402,9:16:42,
Apple,e,7,red,7000,5,9/4/18,7,8,6.138,0.1044467,9:17:56,
Apple,e,8,red,7000,5,9/4/18,7,8,8.745,0.9198499,9:19:15,
Apple,e,9,red,7000,5,9/4/18,7,8,5.317,0.3816191,9:20:26,
Apple,e,10,red,7000,5,9/4/18,7,8,4.648,0.5621219,9:21:48,
Apple,e,11,red,7000,5,9/4/18,7,8,5.725,0.6408319,9:23:07,
Apple,e,12,red,7000,5,9/4/18,7,8,4.767,1.264148,9:24:20,
Apple,e,13,red,7000,5,9/4/18,7,8,4.932,0.115306,9:25:36,
Apple,e,14,red,7000,5,9/4/18,7,8,4.555,0.1372774,9:27:03,
Apple,e,15,red,7000,5,9/4/18,7,8,7.205,0.1535768,9:28:37,
Apple,e,16,red,7000,5,9/4/18,7,8,8.12,0.1769554,9:30:32,
Apple,e,17,red,7000,5,9/4/18,7,8,7.976,0.2102401,9:31:45,
Apple,e,18,red,7000,5,9/4/18,7,8,6.571,0.1455547,9:32:57,
Apple,e,19,red,7000,5,9/4/18,7,8,6.038,1.543989,9:34:23,
Apple,e,20,red,7000,5,9/4/18,7,8,9.44,0.1920563,9:35:54,
Apple,b,21,red,7000,5,9/4/18,7,8,,1.19E-02,9:37:05,16:40
Apple,e,1,orange,6262,5,9/4/18,7,8,5.561,1.69589,9:09:26,16:40
Apple,e,2,orange,6262,5,9/4/18,7,8,8.29,0.1181979,9:10:55,
Apple,e,3,orange,6262,5,9/4/18,7,8,6.467,0.2184013,9:12:05,
Apple,e,4,orange,6262,5,9/4/18,7,8,7.502,0.2342569,9:13:15,
Apple,e,5,orange,6262,5,9/4/18,7,8,4.999,0.7383672,9:14:26,
Apple,e,6,orange,6262,5,9/4/18,7,8,5.826,0.268301,9:16:42,
Apple,e,7,orange,6262,5,9/4/18,7,8,5.369,0.1995035,9:17:56,
Apple,e,8,orange,6262,5,9/4/18,7,8,6.663,0.6309569,9:19:15,
Apple,e,9,orange,6262,5,9/4/18,7,8,2.619,0.9564397,9:20:26,
Apple,e,10,orange,6262,5,9/4/18,7,8,4.524,0.5807192,9:21:48,
Apple,e,11,orange,6262,5,9/4/18,7,8,5.087,0.2576257,9:23:07,
Apple,e,12,orange,6262,5,9/4/18,7,8,5.44,0.9019009,9:24:20,
Apple,e,13,orange,6262,5,9/4/18,7,8,7.145,0.8675974,9:25:36,
Apple,e,14,orange,6262,5,9/4/18,7,8,3.854,0.1320472,9:27:03,
Apple,e,15,orange,6262,5,9/4/18,7,8,8.716,1.130556,9:28:37,
Apple,e,16,orange,6262,5,9/4/18,7,8,7.16,0.2087429,9:30:32,
Apple,e,17,orange,6262,5,9/4/18,7,8,6.164,0.2021749,9:31:45,
Apple,e,18,orange,6262,5,9/4/18,7,8,8.259,0.89929,9:32:57,
Apple,e,19,orange,6262,5,9/4/18,7,8,4.393,1.0933,9:34:23,
Apple,e,20,orange,6262,5,9/4/18,7,8,4.962,0.1362955,9:35:54,
Apple,b,21,orange,6262,5,9/4/18,7,8,,3.37E-03,9:37:05,16:48
Apple,e,1,red,7000,6,9/5/18,7,8,7.759,0.1748589,9:35:28,10:35
Apple,e,2,red,7000,6,9/5/18,7,8,7.246,0.2090567,9:36:42,
Apple,e,3,red,7000,6,9/5/18,7,8,8.151,0.2024793,9:38:17,
Apple,e,4,red,7000,6,9/5/18,7,8,4.842,0.1205624,9:39:55,
Apple,e,5,red,7000,6,9/5/18,7,8,6.652,1.111605,9:41:20,
Apple,e,6,red,7000,6,9/5/18,7,8,6.826,0.2034647,9:42:42,
Apple,e,7,red,7000,6,9/5/18,7,8,8.647,0.2064246,9:44:16,
Apple,e,8,red,7000,6,9/5/18,7,8,5.577,0.1291235,9:46:57,
Apple,e,9,red,7000,6,9/5/18,7,8,7.27,0.1696061,9:48:50,
Apple,e,10,red,7000,6,9/5/18,7,8,9.805,0.2110511,9:50:02,
Apple,e,11,red,7000,6,9/5/18,7,8,5.118,1.058271,9:51:15,
Apple,e,12,red,7000,6,9/5/18,7,8,10.251,0.1924664,9:52:42,
Apple,e,13,red,7000,6,9/5/18,7,8,8.373,0.2230032,9:54:11,
Apple,e,14,red,7000,6,9/5/18,7,8,7.683,0.7941779,9:55:35,
Apple,e,15,red,7000,6,9/5/18,7,8,8.564,0.2311898,9:57:10,
Apple,e,16,red,7000,6,9/5/18,7,8,9.119,0.1861395,9:58:22,
Apple,b,17,red,7000,6,9/5/18,7,8,,2.23E-02,9:59:34,10:40
Apple,e,1,orange,6262,6,9/5/18,7,8,4.743,0.1455487,9:35:28,10:40
Apple,e,2,orange,6262,6,9/5/18,7,8,6.701,0.2292813,9:36:42,
Apple,e,3,orange,6262,6,9/5/18,7,8,5.497,0.966819,9:38:17,
Apple,e,4,orange,6262,6,9/5/18,7,8,6.174,1.19954,9:39:55,
Apple,e,5,orange,6262,6,9/5/18,7,8,7.933,0.3851196,9:41:20,
Apple,e,6,orange,6262,6,9/5/18,7,8,5.785,0.1905941,9:42:42,
Apple,e,7,orange,6262,6,9/5/18,7,8,6.792,1.245437,9:45:39,
Apple,e,8,orange,6262,6,9/5/18,7,8,5.502,0.2142094,9:46:57,
Apple,e,9,orange,6262,6,9/5/18,7,8,7.38,0.2324209,9:48:50,
Apple,e,10,orange,6262,6,9/5/18,7,8,9.056,0.2921318,9:50:02,
Apple,e,11,orange,6262,6,9/5/18,7,8,9.016,0.2985956,9:51:15,
Apple,e,12,orange,6262,6,9/5/18,7,8,3.849,1.635443,9:52:42,
Apple,e,13,orange,6262,6,9/5/18,7,8,5.978,1.161144,9:54:11,
Apple,e,14,orange,6262,6,9/5/18,7,8,6.699,2.043224,9:55:35,
Apple,e,15,orange,6262,6,9/5/18,7,8,6.451,0.2669314,9:57:10,
Apple,e,16,orange,6262,6,9/5/18,7,8,6.621,0.2790901,9:58:22,
Apple,b,17,red,6262,6,9/5/18,7,8,,1.42E-02,9:59:34,10:44
Apple,e,1,red,7000,7,9/6/18,7,8,7.732,1.388817,9:00:54,11:06
Apple,e,2,red,7000,7,9/6/18,7,8,7.012,0.667327,9:02:27,
Apple,e,3,red,7000,7,9/6/18,7,8,5.678,0.1587777,9:04:15,
Apple,e,4,red,7000,7,9/6/18,7,8,8.319,0.1792229,9:05:31,
Apple,e,5,red,7000,7,9/6/18,7,8,7.004,0.202747,9:06:54,
Apple,e,6,red,7000,7,9/6/18,7,8,5.718,0.2852049,9:08:17,
Apple,e,7,red,7000,7,9/6/18,7,8,6.768,0.881135,9:09:31,
Apple,e,8,red,7000,7,9/6/18,7,8,6.752,0.183862,9:10:46,
Apple,e,9,red,7000,7,9/6/18,7,8,7.716,0.2268264,9:12:03,
Apple,e,10,red,7000,7,9/6/18,7,8,6.764,0.14562,9:13:13,
Apple,e,11,red,7000,7,9/6/18,7,8,5.612,5.35E-03,9:14:30,
Apple,e,12,red,7000,7,9/6/18,7,8,5.106,0.6004862,9:15:58,
Apple,e,13,red,7000,7,9/6/18,7,8,4.495,1.06293,9:17:15,
Apple,e,14,red,7000,7,9/6/18,7,8,8.073,0.216985,9:18:43,
Apple,e,15,red,7000,7,9/6/18,7,8,6.529,0.7335368,9:20:08,
Apple,e,16,red,7000,7,9/6/18,7,8,5.364,0.1494382,9:21:30,
Apple,e,17,red,7000,7,9/6/18,7,8,6.737,0.242761,9:22:50,
Apple,e,18,red,7000,7,9/6/18,7,8,4.545,0.1421586,9:24:37,
Apple,e,19,red,7000,7,9/6/18,7,8,7.413,0.1633363,9:26:11,
Apple,e,20,red,7000,7,9/6/18,7,8,6.757,0.159931,9:27:26,
Apple,b,21,red,7000,7,9/6/18,7,8,,9.04E-03,9:28:42,11:13
Apple,e,1,orange,6262,7,9/6/18,7,8,3.766,1.703996,9:00:54,11:13
Apple,e,2,orange,6262,7,9/6/18,7,8,8.715,0.3483284,9:02:27,
Apple,e,3,orange,6262,7,9/6/18,7,8,5.508,0.3439922,9:04:15,
Apple,e,4,orange,6262,7,9/6/18,7,8,6.275,1.152448,9:05:31,
Apple,e,5,orange,6262,7,9/6/18,7,8,6.234,0.3211812,9:06:54,
Apple,e,6,orange,6262,7,9/6/18,7,8,5.626,0.2279011,9:08:17,
Apple,e,7,orange,6262,7,9/6/18,7,8,6.031,0.2073864,9:09:31,
Apple,e,8,orange,6262,7,9/6/18,7,8,3.601,0.5404319,9:10:46,
Apple,e,9,orange,6262,7,9/6/18,7,8,5.726,0.2132795,9:12:03,
Apple,e,10,orange,6262,7,9/6/18,7,8,4.705,0.2297526,9:13:13,
Apple,e,11,orange,6262,7,9/6/18,7,8,6.128,0.2852564,9:14:30,
Apple,e,12,orange,6262,7,9/6/18,7,8,4.79,0.1956107,9:15:58,
Apple,e,13,orange,6262,7,9/6/18,7,8,10.789,1.276914,9:17:15,
Apple,e,14,orange,6262,7,9/6/18,7,8,6.957,0.4107549,9:18:43,
Apple,e,15,orange,6262,7,9/6/18,7,8,10.737,0.4703394,9:20:08,
Apple,e,16,orange,6262,7,9/6/18,7,8,6.907,0.3063082,9:21:30,
Apple,e,17,orange,6262,7,9/6/18,7,8,6.287,0.6146222,9:22:50,
Apple,e,18,orange,6262,7,9/6/18,7,8,8.225,0.2690123,9:24:37,
Apple,e,19,orange,6262,7,9/6/18,7,8,8.183,0.2835892,9:26:11,
Apple,e,20,orange,6262,7,9/6/18,7,8,8.693,0.3826959,9:27:26,
Apple,b,21,orange,6262,7,9/6/18,7,8,,1.15E-03,9:28:42,11:20
Apple,e,1,red,7000,8,9/7/18,7,8,3.274,0.8228833,9:33:25,11:06
Apple,e,2,red,7000,8,9/7/18,7,8,4.622,0.5172011,9:34:37,
Apple,e,3,red,7000,8,9/7/18,7,8,6.08,0.6084716,9:36:19,
Apple,e,4,red,7000,8,9/7/18,7,8,4.167,0.0807854,9:37:46,
Apple,e,5,red,7000,8,9/7/18,7,8,3.75,0.7519896,9:40:15,
Apple,e,6,red,7000,8,9/7/18,7,8,6.117,0.2001186,9:42:04,
Apple,e,7,red,7000,8,9/7/18,7,8,4.37,0.1509016,9:43:29,
Apple,e,8,red,7000,8,9/7/18,7,8,5.493,0.1913979,9:46:12,
Apple,e,9,red,7000,8,9/7/18,7,8,6.553,0.2372909,9:48:04,
Apple,e,10,red,7000,8,9/7/18,7,8,6.738,0.8693627,9:49:30,
