uniqueID,eclosion_date,eclosion_days,well_id,organism,trik_ID,Trikinetics_entry_LD_time,trik_cohort
3w51,2017-09-25,29,D8,wasp,13,16:08,1
3w25,2017-09-25,30,B8,wasp,21,16:08,1
4o76,2017-09-26,31,A3,wasp,17,16:08,1
5w69,2017-09-26,32,A7,fly,18,16:08,1
5b11,2017-09-26,32,B10,fly,23,16:08,1
4o17,2017-09-26,32,B12,fly,27,16:08,1
4o13,2017-09-26,32,A3,fly,30,16:08,1
4o60,2017-09-27,32,C6,fly,1,16:54,2
4o9,2017-09-27,33,A5,fly,15,12:15,2
3w47,2017-09-27,31,D11,fly,23,16:54,2
3o6,2017-09-28,33,B2,fly,2,10:09,3
2b20,2017-09-28,32,E9,fly,4,10:11,3
4o5,2017-09-28,33,C4,fly,16,10:10,3
5b24,2017-09-28,32,B2,fly,22,10:11,3
3w35,2017-09-28,31,E6,fly,28,10:11,3
4o21,2017-09-28,32,A11,fly,29,10:09,3
2r33,2017-09-28,32,A4,fly,31,10:09,3
4w66,2017-09-28,32,C12,fly,6,10:00,3
5w4,2017-09-29,32,C2,fly,5,12:22,4
5w22,2017-09-29,32,C11,fly,7,12:23,4
5b34,2017-09-29,33,A12,fly,10,12:16,4
2r38,2017-09-29,33,A9,fly,12,12:16,4
5b65,2017-09-29,33,A3,fly,19,12:20,4
4o16,2017-09-29,32,D3,fly,20,12:24,4
2b8,2017-09-29,32,A3,lfy,24,12:20,4
4o7,2017-09-29,32,A9,fly,24,12:21,4
4o53,2017-09-29,32,D9,fly,26,12:25,4
