"","Ind_ID","tape","Site_name","mass","purge_time","day10","cohort_date","cohort_day","Host","rando_assign","uniqueID"
"3",3,"blue","Ferris",6.719,"13:39","2017-09-04","2017-08-25",2,"Apple","RT eclosion","2b3"
"5",5,"blue","OG",3.848,"13:41","2017-09-04","2017-08-25",2,"Apple","RT eclosion","2b5"
"8",8,"blue","OG",9.365,"13:57","2017-09-04","2017-08-25",2,"Apple","RT eclosion","2b8"
"12",12,"blue","OG",9.505,"13:34","2017-09-04","2017-08-25",2,"Apple","RT eclosion","2b12"
"14",14,"blue","OG",8.299,"13:33","2017-09-04","2017-08-25",2,"Apple","RT eclosion","2b14"
"18",18,"blue","OG",6.499,"13:31","2017-09-04","2017-08-25",2,"Apple","RT eclosion","2b18"
"20",20,"blue","OG",5.876,"13:33","2017-09-04","2017-08-25",2,"Apple","RT eclosion","2b20"
"22",23,"blue","OG",6.482,"13:36","2017-09-04","2017-08-25",2,"Apple","RT eclosion","2b23"
"25",26,"blue","OG",6.121,"13:47","2017-09-04","2017-08-25",2,"Apple","RT eclosion","2b26"
"29",30,"blue","Ferris",6.115,"13:42","2017-09-04","2017-08-25",2,"Apple","RT eclosion","2b30"
"31",32,"blue","Ferris",6.513,"13:52","2017-09-04","2017-08-25",2,"Apple","RT eclosion","2b32"
"32",33,"blue","OG",8.103,"13:54","2017-09-04","2017-08-25",2,"Apple","RT eclosion","2b33"
"34",35,"blue","Ferris",9.654,"13:55","2017-09-04","2017-08-25",2,"Apple","RT eclosion","2b35"
"35",36,"blue","OG",4.747,"13:30","2017-09-04","2017-08-25",2,"Apple","RT eclosion","2b36"
"38",39,"blue","OG",9.741,"13:56","2017-09-04","2017-08-25",2,"Apple","RT eclosion","2b39"
"39",40,"blue","Ferris",8.265,"13:32","2017-09-04","2017-08-25",2,"Apple","RT eclosion","2b40"
"43",44,"blue","OG",7.525,"13:27","2017-09-04","2017-08-25",2,"Apple","RT eclosion","2b44"
"51",2,"red","OG",6.588,"13:10","2017-09-04","2017-08-25",2,"Apple","RT eclosion","2r2"
"59",10,"red","OG",7.416,"13:13","2017-09-04","2017-08-25",2,"Apple","RT eclosion","2r10"
"62",13,"red","Ferris",6.265,"13:14","2017-09-04","2017-08-25",2,"Apple","RT eclosion","2r13"
"74",27,"red","OG",7.849,"13:58","2017-09-04","2017-08-25",2,"Apple","RT eclosion","2r27"
"80",33,"red","Ferris",9.876,"13:19","2017-09-04","2017-08-25",2,"Apple","RT eclosion","2r33"
"83",36,"red","Ferris",10.176,"13:23","2017-09-04","2017-08-25",2,"Apple","RT eclosion","2r36"
"85",38,"red","OG",8.005,"12:58","2017-09-04","2017-08-25",2,"Apple","RT eclosion","2r38"
"86",39,"red","Ferris",6.755,"13:24","2017-09-04","2017-08-25",2,"Apple","RT eclosion","2r39"
"88",41,"red","Ferris",10.521,"13:24","2017-09-04","2017-08-25",2,"Apple","RT eclosion","2r41"
"91",48,"red","Ferris",7.7797,"13:25","2017-09-04","2017-08-25",2,"Apple","RT eclosion","2r48"
"92",50,"red","Blank",NA,"13:03","2017-09-04","2017-08-25",2,"Apple","RT eclosion","2r50"
