"","Ind_ID","tape","Site_name","mass","purge_time","day10","cohort_date","cohort_day","Host","rando_assign","uniqueID"
"2",2,"blue","Ferris",11.175,"13:39","2017-09-04","2017-08-25",2,"Apple","genetic control","2b2"
"4",4,"blue","Ferris",10.719,"13:40","2017-09-04","2017-08-25",2,"Apple","genetic control","2b4"
"10",10,"blue","OG",4.895,"13:36","2017-09-04","2017-08-25",2,"Apple","genetic control","2b10"
"11",11,"blue","Ferris",6.482,"13:47","2017-09-04","2017-08-25",2,"Apple","genetic control","2b11"
"16",16,"blue","Ferris",7.365,"13:48","2017-09-04","2017-08-25",2,"Apple","genetic control","2b16"
"17",17,"blue","OG",7.056,"13:34","2017-09-04","2017-08-25",2,"Apple","genetic control","2b17"
"21",21,"blue","Ferris",11.818,"13:50","2017-09-04","2017-08-25",2,"Apple","genetic control","2b21"
"24",25,"blue","Ferris",8.906,"13:51","2017-09-04","2017-08-25",2,"Apple","genetic control","2b25"
"27",28,"blue","Ferris",9.733,"13:51","2017-09-04","2017-08-25",2,"Apple","genetic control","2b28"
"28",29,"blue","OG",7.448,"13:30","2017-09-04","2017-08-25",2,"Apple","genetic control","2b29"
"30",31,"blue","Milford",8.273,"13:54","2017-09-04","2017-08-25",2,"Haw","genetic control","2b31"
"36",37,"blue","OG",7.753,"13:31","2017-09-04","2017-08-25",2,"Apple","genetic control","2b37"
"42",43,"blue","OG",6.817,"13:42","2017-09-04","2017-08-25",2,"Apple","genetic control","2b43"
"49",50,"blue","Blank",NA,"13:05","2017-09-04","2017-08-25",2,"Apple","genetic control","2b50"
"54",5,"red","Ferris",6.768,"13:11","2017-09-04","2017-08-25",2,"Apple","genetic control","2r5"
"56",7,"red","OG",5.338,"13:09","2017-09-04","2017-08-25",2,"Apple","genetic control","2r7"
"57",8,"red","Ferris",7.228,"13:12","2017-09-04","2017-08-25",2,"Apple","genetic control","2r8"
"63",14,"red","Ferris",9.264,"13:15","2017-09-04","2017-08-25",2,"Apple","genetic control","2r14"
"70",23,"red","OG",6.954,"12:58","2017-09-04","2017-08-25",2,"Apple","genetic control","2r23"
"71",24,"red","OG",8.167,"12:57","2017-09-04","2017-08-25",2,"Apple","genetic control","2r24"
"72",25,"red","OG",9.759,"13:21","2017-09-04","2017-08-25",2,"Apple","genetic control","2r25"
"73",26,"red","Milford",12.097,"13:17","2017-09-04","2017-08-25",2,"Haw","genetic control","2r26"
"75",28,"red","Ferris",7.747,"13:18","2017-09-04","2017-08-25",2,"Apple","genetic control","2r28"
"77",30,"red","OG",5.043,"13:04","2017-09-04","2017-08-25",2,"Apple","genetic control","2r30"
"78",31,"red","Ferris",12.058,"13:19","2017-09-04","2017-08-25",2,"Apple","genetic control","2r31"
"79",32,"red","OG",8.97,"13:20","2017-09-04","2017-08-25",2,"Apple","genetic control","2r32"
"87",40,"red","OG",7.602,"12:58","2017-09-04","2017-08-25",2,"Apple","genetic control","2r40"
"90",47,"red","OG",8.376,"12:56","2017-09-04","2017-08-25",2,"Apple","genetic control","2r47"
