"","Ind_ID","tape","Site_name","mass","purge_time","day10","cohort_date","cohort_day","Host","rando_assign"
"1",1,"blue","OG",6.938,"13:38","2017-09-04","2017-08-25",2,"Apple","Simulated Overwintering"
"2",2,"blue","Ferris",11.175,"13:39","2017-09-04","2017-08-25",2,"Apple","genetic control"
"3",3,"blue","Ferris",6.719,"13:39","2017-09-04","2017-08-25",2,"Apple","RT eclosion"
"4",4,"blue","Ferris",10.719,"13:40","2017-09-04","2017-08-25",2,"Apple","genetic control"
"5",5,"blue","OG",3.848,"13:41","2017-09-04","2017-08-25",2,"Apple","RT eclosion"
"6",6,"blue","OG",7.576,"13:37","2017-09-04","2017-08-25",2,"Apple","Simulated Overwintering"
"7",7,"blue","OG",6.413,"13:35","2017-09-04","2017-08-25",2,"Apple","Simulated Overwintering"
"8",8,"blue","OG",9.365,"13:57","2017-09-04","2017-08-25",2,"Apple","RT eclosion"
"9",9,"blue","Ferris",7.978,"13:41","2017-09-04","2017-08-25",2,"Apple","Simulated Overwintering"
"10",10,"blue","OG",4.895,"13:36","2017-09-04","2017-08-25",2,"Apple","genetic control"
"11",11,"blue","Ferris",6.482,"13:47","2017-09-04","2017-08-25",2,"Apple","genetic control"
"12",12,"blue","OG",9.505,"13:34","2017-09-04","2017-08-25",2,"Apple","RT eclosion"
"13",13,"blue","Ferris",9.778,"13:48","2017-09-04","2017-08-25",2,"Apple","Simulated Overwintering"
"14",14,"blue","OG",8.299,"13:33","2017-09-04","2017-08-25",2,"Apple","RT eclosion"
"15",15,"blue","OG",6.244,"13:35","2017-09-04","2017-08-25",2,"Apple","Simulated Overwintering"
"16",16,"blue","Ferris",7.365,"13:48","2017-09-04","2017-08-25",2,"Apple","genetic control"
"17",17,"blue","OG",7.056,"13:34","2017-09-04","2017-08-25",2,"Apple","genetic control"
"18",18,"blue","OG",6.499,"13:31","2017-09-04","2017-08-25",2,"Apple","RT eclosion"
