Ind_ID,tape,Site_name,mass_day10,purge_time,day10,cohort_date,cohort_day,Host,Li.cor,rando_assign,uniqueID
1,orange,Milford,8.233,17:37,9/5/17,8/26/17,3,Haw,7000,genetic control,3o1
8,orange,Grant,7.125,17:35,9/5/17,8/26/17,3,Apple,7000,genetic control,3o8
9,orange,Grant,10.414,17:34,9/5/17,8/26/17,3,Apple,7000,genetic control,3o9
15,orange,Grant,7.337,17:33,9/5/17,8/26/17,3,Apple,7000,genetic control,3o15
18,orange,Grant,7.339,17:31,9/5/17,8/26/17,3,Apple,7000,genetic control,3o18
26,orange,Grant,7.187,17:28,9/5/17,8/26/17,3,Apple,7000,genetic control,3o26
27,orange,Grant,8.317,17:28,9/5/17,8/26/17,3,Apple,7000,genetic control,3o27
36,orange,Grant,9.334,17:25,9/5/17,8/26/17,3,Apple,7000,genetic control,3o36
37,orange,Grant,6.487,17:24,9/5/17,8/26/17,3,Apple,7000,genetic control,3o37
38,orange,Ferris,7.319,17:23,9/5/17,8/26/17,3,Apple,7000,genetic control,3o38
42,orange,Ferris,6.144,17:21,9/5/17,8/26/17,3,Apple,7000,genetic control,3o42
45,orange,Ferris,6.434,17:20,9/5/17,8/26/17,3,Apple,7000,genetic control,3o45
47,orange,Ferris,7.145,17:19,9/5/17,8/26/17,3,Apple,7000,genetic control,3o47
48,orange,Ferris,6.731,17:19,9/5/17,8/26/17,3,Apple,7000,genetic control,3o48
52,orange,Ferris,10.052,16:53,9/5/17,8/26/17,3,Apple,7000,genetic control,3o52
53,orange,Ferris,7.881,16:53,9/5/17,8/26/17,3,Apple,7000,genetic control,3o53
58,orange,Ferris,6.873,16:50,9/5/17,8/26/17,3,Apple,7000,genetic control,3o58
3,white,Coll Hall,6.92,17:16,9/5/17,8/26/17,3,Haw,6262,genetic control,3w3
4,white,Grant,6.496,17:16,9/5/17,8/26/17,3,Apple,6262,genetic control,3w4
6,white,Grant,9.704,17:15,9/5/17,8/26/17,3,Apple,6262,genetic control,3w6
10,white,Grant,5.125,17:14,9/5/17,8/26/17,3,Apple,6262,genetic control,3w10
11,white,Grant,5.059,17:13,9/5/17,8/26/17,3,Apple,6262,genetic control,3w11
22,white,Grant,9.851,17:08,9/5/17,8/26/17,3,Apple,6262,genetic control,3w22
24,white,Grant,6.813,17:07,9/5/17,8/26/17,3,Apple,6262,genetic control,3w24
28,white,Grant,5.515,17:04,9/5/17,8/26/17,3,Apple,6262,genetic control,3w28
29,white,Grant,10.139,17:04,9/5/17,8/26/17,3,Apple,6262,genetic control,3w29
36,white,Grant,8.402,17:01,9/5/17,8/26/17,3,Apple,6262,genetic control,3w36
37,white,Grant,5.7,17:01,9/5/17,8/26/17,3,Apple,6262,genetic control,3w37
39,white,Ferris,7.116,17:00,9/5/17,8/26/17,3,Apple,6262,genetic control,3w39
42,white,Ferris,6.747,16:59,9/5/17,8/26/17,3,Apple,6262,genetic control,3w42
44,white,Ferris,6.406,16:58,9/5/17,8/26/17,3,Apple,6262,genetic control,3w44
45,white,Ferris,6.018,16:58,9/5/17,8/26/17,3,Apple,6262,genetic control,3w45
50,white,Ferris,8.009,16:55,9/5/17,8/26/17,3,Apple,6262,genetic control,3w50
54,white,Ferris,8.886,16:47,9/5/17,8/26/17,3,Apple,6262,genetic control,3w54
