"","Ind_ID","tape","Site_name","mass_day10","purge_time","day10","cohort_date","cohort_day","Host","Li.cor","X","rando_assign","uniqueID"
"2",2,"orange","Coll Hall",4.662,"17:37","2017-09-05","2017-08-26",3,"Haw",7000,NA,"Simulated Overwintering","3o2"
"3",3,"orange","Coll Hall",8.255,"17:36","2017-09-05","2017-08-26",3,"Haw",7000,NA,"Simulated Overwintering","3o3"
"5",5,"orange","Grant",5.664,"17:36","2017-09-05","2017-08-26",3,"Apple",7000,NA,"Simulated Overwintering","3o5"
"7",7,"orange","Grant",5.501,"17:35","2017-09-05","2017-08-26",3,"Apple",7000,NA,"Simulated Overwintering","3o7"
"10",10,"orange","Grant",7.27,"17:34","2017-09-05","2017-08-26",3,"Apple",7000,NA,"Simulated Overwintering","3o10"
"13",13,"orange","Grant",8.865,"17:33","2017-09-05","2017-08-26",3,"Apple",7000,NA,"Simulated Overwintering","3o13"
"16",16,"orange","Grant",7.123,"17:32","2017-09-05","2017-08-26",3,"Apple",7000,NA,"Simulated Overwintering","3o16"
"17",17,"orange","Grant",9.748,"17:32","2017-09-05","2017-08-26",3,"Apple",7000,NA,"Simulated Overwintering","3o17"
"20",20,"orange","Grant",6.639,"17:31","2017-09-05","2017-08-26",3,"Apple",7000,NA,"Simulated Overwintering","3o20"
"21",21,"orange","Grant",7.676,"17:30","2017-09-05","2017-08-26",3,"Apple",7000,NA,"Simulated Overwintering","3o21"
"23",23,"orange","Grant",7.129,"17:30","2017-09-05","2017-08-26",3,"Apple",7000,NA,"Simulated Overwintering","3o23"
"24",24,"orange","Grant",9.224,"17:29","2017-09-05","2017-08-26",3,"Apple",7000,NA,"Simulated Overwintering","3o24"
"25",25,"orange","Grant",6.509,"17:29","2017-09-05","2017-08-26",3,"Apple",7000,NA,"Simulated Overwintering","3o25"
"28",28,"orange","Grant",6.223,"17:28","2017-09-05","2017-08-26",3,"Apple",7000,NA,"Simulated Overwintering","3o28"
"29",29,"orange","Grant",8.311,"17:27","2017-09-05","2017-08-26",3,"Apple",7000,NA,"Simulated Overwintering","3o29"
"31",31,"orange","Grant",9.142,"17:27","2017-09-05","2017-08-26",3,"Apple",7000,NA,"Simulated Overwintering","3o31"
"33",33,"orange","Grant",11.64,"17:26","2017-09-05","2017-08-26",3,"Apple",7000,NA,"Simulated Overwintering","3o33"
"34",34,"orange","Grant",8.93,"17:26","2017-09-05","2017-08-26",3,"Apple",7000,NA,"Simulated Overwintering","3o34"
"35",35,"orange","Grant",6.876,"17:25","2017-09-05","2017-08-26",3,"Apple",7000,NA,"Simulated Overwintering","3o35"
"39",39,"orange","Ferris",7.829,"17:22","2017-09-05","2017-08-26",3,"Apple",7000,NA,"Simulated Overwintering","3o39"
"44",44,"orange","Ferris",11.208,"17:20","2017-09-05","2017-08-26",3,"Apple",7000,NA,"Simulated Overwintering","3o44"
"46",46,"orange","Ferris",10.91,"17:19","2017-09-05","2017-08-26",3,"Apple",7000,NA,"Simulated Overwintering","3o46"
"50",50,"orange","Ferris",4.993,"17:18","2017-09-05","2017-08-26",3,"Apple",7000,NA,"Simulated Overwintering","3o50"
"54",54,"orange","Ferris",7.236,"16:52","2017-09-05","2017-08-26",3,"Apple",7000,NA,"Simulated Overwintering","3o54"
"56",56,"orange","Ferris",10.727,"16:51","2017-09-05","2017-08-26",3,"Apple",7000,NA,"Simulated Overwintering","3o56"
"59",1,"white","Milford",12.129,"17:17","2017-09-05","2017-08-26",3,"Haw",6262,NA,"Simulated Overwintering","3w1"
"63",5,"white","Grant",4.908,"17:16","2017-09-05","2017-08-26",3,"Apple",6262,NA,"Simulated Overwintering","3w5"
"66",8,"white","Grant",5.657,"17:15","2017-09-05","2017-08-26",3,"Apple",6262,NA,"Simulated Overwintering","3w8"
"71",13,"white","Grant",6.622,"17:11","2017-09-05","2017-08-26",3,"Apple",6262,NA,"Simulated Overwintering","3w13"
"72",14,"white","Grant",9.016,"17:11","2017-09-05","2017-08-26",3,"Apple",6262,NA,"Simulated Overwintering","3w14"
"74",16,"white","Grant",4.76,"17:10","2017-09-05","2017-08-26",3,"Apple",6262,NA,"Simulated Overwintering","3w16"
"75",17,"white","Grant",8.239,"17:10","2017-09-05","2017-08-26",3,"Apple",6262,NA,"Simulated Overwintering","3w17"
"76",18,"white","Grant",6.416,"17:10","2017-09-05","2017-08-26",3,"Apple",6262,NA,"Simulated Overwintering","3w18"
"77",19,"white","Grant",8.667,"17:09","2017-09-05","2017-08-26",3,"Apple",6262,NA,"Simulated Overwintering","3w19"
"79",21,"white","Grant",6.143,"17:08","2017-09-05","2017-08-26",3,"Apple",6262,NA,"Simulated Overwintering","3w21"
"81",23,"white","Grant",9.798,"17:07","2017-09-05","2017-08-26",3,"Apple",6262,NA,"Simulated Overwintering","3w23"
"85",27,"white","Grant",7.119,"17:05","2017-09-05","2017-08-26",3,"Apple",6262,NA,"Simulated Overwintering","3w27"
"89",31,"white","Grant",8.536,"17:04","2017-09-05","2017-08-26",3,"Apple",6262,NA,"Simulated Overwintering","3w31"
"91",33,"white","Grant",10.011,"17:03","2017-09-05","2017-08-26",3,"Apple",6262,NA,"Simulated Overwintering","3w33"
"92",34,"white","Grant",7.234,"17:02","2017-09-05","2017-08-26",3,"Apple",6262,NA,"Simulated Overwintering","3w34"
"98",40,"white","Ferris",6.519,"17:00","2017-09-05","2017-08-26",3,"Apple",6262,NA,"Simulated Overwintering","3w40"
"104",46,"white","Ferris",6.815,"16:57","2017-09-05","2017-08-26",3,"Apple",6262,NA,"Simulated Overwintering","3w46"
"106",48,"white","Ferris",8.437,"16:55","2017-09-05","2017-08-26",3,"Apple",6262,NA,"Simulated Overwintering","3w48"
"107",49,"white","Ferris",6.803,"16:55","2017-09-05","2017-08-26",3,"Apple",6262,NA,"Simulated Overwintering","3w49"
"110",52,"white","Ferris",7.8,"16:48","2017-09-05","2017-08-26",3,"Apple",6262,NA,"Simulated Overwintering","3w52"
"111",53,"white","Ferris",10.017,"16:48","2017-09-05","2017-08-26",3,"Apple",6262,NA,"Simulated Overwintering","3w53"
"114",56,"white","Ferris",6.346,"16:47","2017-09-05","2017-08-26",3,"Apple",6262,NA,"Simulated Overwintering","3w56"
