Ind_ID,tape,Site_name,mass_day10,purge_time,day10,cohort_date,cohort_day,Host,Li-cor,
1,orange,Grant,8.076,13:16,2017-09-06,2017-08-27,4,Apple,6262,
2,orange,Grant,6.901,,2017-09-06,2017-08-27,4,Apple,6262,
3,orange,Ferris,9.239,,2017-09-06,2017-08-27,4,Apple,6262,
4,orange,Grant,8.772,,2017-09-06,2017-08-27,4,Apple,6262,
5,orange,Grant,9.604,,2017-09-06,2017-08-27,4,Apple,6262,
6,orange,Grant,6.531,,2017-09-06,2017-08-27,4,Apple,6262,
7,orange,Grant,11.077,,2017-09-06,2017-08-27,4,Apple,6262,
8,orange,Coll Hall,7.369,,2017-09-06,2017-08-27,4,Haw,6262,
9,orange,Grant,9.294,,2017-09-06,2017-08-27,4,Apple,6262,
10,orange,Grant,3.092,,2017-09-06,2017-08-27,4,Apple,6262,
11,orange,Ferris,9.199,,2017-09-06,2017-08-27,4,Apple,6262,
12,orange,Grant,5.933,,2017-09-06,2017-08-27,4,Apple,6262,
13,orange,Grant,7.302,,2017-09-06,2017-08-27,4,Apple,6262,
14,orange,Ferris,7.283,,2017-09-06,2017-08-27,4,Apple,6262,
15,orange,Ferris,6.418,,2017-09-06,2017-08-27,4,Apple,6262,
16,orange,Grant,11.73,,2017-09-06,2017-08-27,4,Apple,6262,
17,orange,Ferris,6.539,,2017-09-06,2017-08-27,4,Apple,6262,
18,orange,Feris,8.575,,2017-09-06,2017-08-27,4,Apple,6262,
19,orange,Grant,8.603,,2017-09-06,2017-08-27,4,Apple,6262,
20,orange,Ferris,7.302,,2017-09-06,2017-08-27,4,Apple,6262,
21,orange,Ferris,11.336,,2017-09-06,2017-08-27,4,Apple,6262,
22,orange,Milford,8.009,,2017-09-06,2017-08-27,4,Haw,6262,
23,orange,Ferris,6.264,,2017-09-06,2017-08-27,4,Apple,6262,
24,orange,Ferris,7.705,,2017-09-06,2017-08-27,4,Apple,6262,
25,orange,Ferris,9.056,,2017-09-06,2017-08-27,4,Apple,6262,
26,orange,Grant,9.819,,2017-09-06,2017-08-27,4,Apple,6262,
