"","Ind_ID","tape","Site_name","mass_day10","purge_time","day10","cohort_date","cohort_day","Host","Li_Cor","rando_assign","uniqueID"
"4",4,"orange","Grant",8.772,"","2017-09-06","2017-08-27",4,"Apple",6262,"genetic control","4o4"
"6",6,"orange","Grant",6.531,"","2017-09-06","2017-08-27",4,"Apple",6262,"genetic control","4o6"
"10",10,"orange","Grant",3.092,"","2017-09-06","2017-08-27",4,"Apple",6262,"genetic control","4o10"
"11",11,"orange","Ferris",9.199,"","2017-09-06","2017-08-27",4,"Apple",6262,"genetic control","4o11"
"14",14,"orange","Ferris",7.283,"","2017-09-06","2017-08-27",4,"Apple",6262,"genetic control","4o14"
"19",19,"orange","Grant",8.603,"","2017-09-06","2017-08-27",4,"Apple",6262,"genetic control","4o19"
"26",26,"orange","Grant",9.819,"","2017-09-06","2017-08-27",4,"Apple",6262,"genetic control","4o26"
"29",29,"orange","Grant",9.526,"","2017-09-06","2017-08-27",4,"Apple",6262,"genetic control","4o29"
"30",30,"orange","Grant",7.393,"","2017-09-06","2017-08-27",4,"Apple",6262,"genetic control","4o30"
"35",35,"orange","Ferris",9.061,"","2017-09-06","2017-08-27",4,"Apple",6262,"genetic control","4o35"
"36",36,"orange","Ferris",7.338,"","2017-09-06","2017-08-27",4,"Apple",6262,"genetic control","4o36"
"44",44,"orange","Ferris",8.328,"","2017-09-06","2017-08-27",4,"Apple",6262,"genetic control","4o44"
"48",48,"orange","Ferris",5.833,"","2017-09-06","2017-08-27",4,"Apple",6262,"genetic control","4o48"
"51",51,"orange","Ferris",6.21,"","2017-09-06","2017-08-27",4,"Apple",7000,"genetic control","4o51"
"65",65,"orange","Ferris",9.564,"","2017-09-06","2017-08-27",4,"Apple",7000,"genetic control","4o65"
"67",67,"orange","Grant",5.442,"","2017-09-06","2017-08-27",4,"Apple",7000,"genetic control","4o67"
"80",2,"white","Grant",6.118,"","2017-09-06","2017-08-27",4,"Apple",7000,"genetic control","4w2"
"82",4,"white","Grant",8.011,"","2017-09-06","2017-08-27",4,"Apple",7000,"genetic control","4w4"
"83",5,"white","Ferris",8.884,"","2017-09-06","2017-08-27",4,"Apple",7000,"genetic control","4w5"
"85",7,"white","Ferris",8.063,"","2017-09-06","2017-08-27",4,"Apple",7000,"genetic control","4w7"
"86",8,"white","Grant",5.802,"","2017-09-06","2017-08-27",4,"Apple",7000,"genetic control","4w8"
"89",11,"white","Ferris",6.391,"","2017-09-06","2017-08-27",4,"Apple",7000,"genetic control","4w11"
"90",12,"white","Grant",8.459,"","2017-09-06","2017-08-27",4,"Apple",7000,"genetic control","4w12"
"91",13,"white","Ferris",6.926,"","2017-09-06","2017-08-27",4,"Apple",7000,"genetic control","4w13"
"92",14,"white","Grant",9.607,"","2017-09-06","2017-08-27",4,"Apple",7000,"genetic control","4w14"
"97",19,"white","Ferris",8.133,"","2017-09-06","2017-08-27",4,"Apple",7000,"genetic control","4w19"
"99",21,"white","Ferris",9.429,"","2017-09-06","2017-08-27",4,"Apple",7000,"genetic control","4w21"
"101",23,"white","Ferris",6.282,"","2017-09-06","2017-08-27",4,"Apple",7000,"genetic control","4w23"
"103",25,"white","Grant",5.528,"","2017-09-06","2017-08-27",4,"Apple",7000,"genetic control","4w25"
"109",31,"white","Grant",5.513,"","2017-09-06","2017-08-27",4,"Apple",7000,"genetic control","4w31"
"110",32,"white","Ferris",9.485,"","2017-09-06","2017-08-27",4,"Apple",7000,"genetic control","4w32"
"111",33,"white","Grant",4.881,"","2017-09-06","2017-08-27",4,"Apple",7000,"genetic control","4w33"
"112",34,"white","Grant",5.494,"","2017-09-06","2017-08-27",4,"Apple",7000,"genetic control","4w34"
"118",40,"white","Ferris",9.771,"","2017-09-06","2017-08-27",4,"Apple",7000,"genetic control","4w40"
"121",43,"white","Ferris",6.876,"","2017-09-06","2017-08-27",4,"Apple",7000,"genetic control","4w43"
"125",47,"white","Ferris",8.931,"","2017-09-06","2017-08-27",4,"Apple",7000,"genetic control","4w47"
"126",48,"white","Grant",8.267,"","2017-09-06","2017-08-27",4,"Apple",7000,"genetic control","4w48"
"130",52,"white","Ferris",6.326,"","2017-09-06","2017-08-27",4,"Apple",6262,"genetic control","4w52"
"132",54,"white","Ferris",5.327,"","2017-09-06","2017-08-27",4,"Apple",6262,"genetic control","4w54"
"135",57,"white","Grant",6.917,"","2017-09-06","2017-08-27",4,"Apple",6262,"genetic control","4w57"
"137",59,"white","Grant",4.727,"","2017-09-06","2017-08-27",4,"Apple",6262,"genetic control","4w59"
"139",61,"white","Grant",6.867,"","2017-09-06","2017-08-27",4,"Apple",6262,"genetic control","4w61"
"143",65,"white","Grant",10.582,"","2017-09-06","2017-08-27",4,"Apple",6262,"genetic control","4w65"
"155",77,"white","blank",NA,"","2017-09-06","2017-08-27",4,"Apple",6262,"genetic control","4w77"
