Ind_ID,tape,Site_name,mass_day10,purge_time,day10,cohort_date,cohort_day,Host,Li_Cor,rando_assign,uniqueID
1,orange,Grant,8.076,13:16,2017-09-06,2017-08-27,4,Apple,6262,RT eclosion,4o1
2,orange,Grant,6.901,,2017-09-06,2017-08-27,4,Apple,6262,Simulated Overwintering,4o2
3,orange,Ferris,9.239,,2017-09-06,2017-08-27,4,Apple,6262,Simulated Overwintering,4o3
4,orange,Grant,8.772,,2017-09-06,2017-08-27,4,Apple,6262,genetic control,4o4
5,orange,Grant,9.604,,2017-09-06,2017-08-27,4,Apple,6262,RT eclosion,4o5
6,orange,Grant,6.531,,2017-09-06,2017-08-27,4,Apple,6262,genetic control,4o6
7,orange,Grant,11.077,,2017-09-06,2017-08-27,4,Apple,6262,RT eclosion,4o7
8,orange,Coll Hall,7.369,,2017-09-06,2017-08-27,4,Haw,6262,Simulated Overwintering,4o8
9,orange,Grant,9.294,,2017-09-06,2017-08-27,4,Apple,6262,RT eclosion,4o9
10,orange,Grant,3.092,,2017-09-06,2017-08-27,4,Apple,6262,genetic control,4o10
11,orange,Ferris,9.199,,2017-09-06,2017-08-27,4,Apple,6262,genetic control,4o11
12,orange,Grant,5.933,,2017-09-06,2017-08-27,4,Apple,6262,RT eclosion,4o12
13,orange,Grant,7.302,,2017-09-06,2017-08-27,4,Apple,6262,RT eclosion,4o13
14,orange,Ferris,7.283,,2017-09-06,2017-08-27,4,Apple,6262,genetic control,4o14
15,orange,Ferris,6.418,,2017-09-06,2017-08-27,4,Apple,6262,RT eclosion,4o15
16,orange,Grant,11.73,,2017-09-06,2017-08-27,4,Apple,6262,RT eclosion,4o16
17,orange,Ferris,6.539,,2017-09-06,2017-08-27,4,Apple,6262,RT eclosion,4o17
18,orange,Feris,8.575,,2017-09-06,2017-08-27,4,Apple,6262,RT eclosion,4o18
19,orange,Grant,8.603,,2017-09-06,2017-08-27,4,Apple,6262,genetic control,4o19
20,orange,Ferris,7.302,,2017-09-06,2017-08-27,4,Apple,6262,Simulated Overwintering,4o20
21,orange,Ferris,11.336,,2017-09-06,2017-08-27,4,Apple,6262,RT eclosion,4o21
22,orange,Milford,8.009,,2017-09-06,2017-08-27,4,Haw,6262,Simulated Overwintering,4o22
