,Ind_ID,tape,Site_name,mass_day10,purge_time,day10,cohort_date,cohort_day,Host,rando_assign,uniqueID
1,1,white,Ferris,6.864,16:38,2017-08-07,2017-08-28,5,Apple,RT eclosion,5w1
2,2,white,Grant,9.118,,2017-08-07,2017-08-28,5,Apple,RT eclosion,5w2
4,4,white,Grant,10.782,,2017-08-07,2017-08-28,5,Apple,RT eclosion,5w4
5,5,white,Ferris,7.905,,2017-08-07,2017-08-28,5,Apple,RT eclosion,5w5
6,6,white,Grant,8.712,,2017-08-07,2017-08-28,5,Apple,RT eclosion,5w6
7,7,white,Grant,6.317,,2017-08-07,2017-08-28,5,Apple,RT eclosion,5w7
20,20,white,Ferris,6.588,,2017-08-07,2017-08-28,5,Apple,RT eclosion,5w20
21,21,white,Feris,7.049,,2017-08-07,2017-08-28,5,Apple,RT eclosion,5w21
22,22,white,Ferris,9.686,,2017-08-07,2017-08-28,5,Apple,RT eclosion,5w22
23,23,white,Grant,8.641,,2017-08-07,2017-08-28,5,Apple,RT eclosion,5w23
25,25,white,Grant,6.018,,2017-08-07,2017-08-28,5,Apple,RT eclosion,5w25
27,27,white,Ferris,8.509,,2017-08-07,2017-08-28,5,Apple,RT eclosion,5w27
30,30,white,Ferris,6.944,,2017-08-07,2017-08-28,5,Apple,RT eclosion,5w30
31,31,white,Ferris,8.831,,2017-08-07,2017-08-28,5,Apple,RT eclosion,5w31
39,39,white,Grant,8.398,,2017-08-07,2017-08-28,5,Apple,RT eclosion,5w39
42,42,white,Ferris,6.755,,2017-08-07,2017-08-28,5,Apple,RT eclosion,5w42
43,43,white,Milford,8.566,,2017-08-07,2017-08-28,5,Haw,RT eclosion,5w43
48,48,white,Ferris,6.87,,2017-08-07,2017-08-28,5,Apple,RT eclosion,5w48
53,53,white,Ferris,7.848,,2017-08-07,2017-08-28,5,Apple,RT eclosion,5w53
55,55,white,Ferris,6.887,,2017-08-07,2017-08-28,5,Apple,RT eclosion,5w55
57,57,white,Ferris,10.11,,2017-08-07,2017-08-28,5,Apple,RT eclosion,5w57
62,62,white,,NA,,2017-08-07,2017-08-28,5,Apple,RT eclosion,5w62
63,63,white,Ferris,9.29,,2017-08-07,2017-08-28,5,Apple,RT eclosion,5w63
64,64,white,Ferris,6.727,,2017-08-07,2017-08-28,5,Apple,RT eclosion,5w64
68,68,white,Grant,7.468,,2017-08-07,2017-08-28,5,Apple,RT eclosion,5w68
69,69,white,Ferris,7.486,,2017-08-07,2017-08-28,5,Apple,RT eclosion,5w69
70,70,white,,NA,,2017-08-07,2017-08-28,5,Apple,RT eclosion,5w70
72,72,white,Grant,7.257,,2017-08-07,2017-08-28,5,Apple,RT eclosion,5w72
73,73,white,Ferris,9.786,,2017-08-07,2017-08-28,5,Apple,RT eclosion,5w73
75,75,white,Grant,10.202,,2017-08-07,2017-08-28,5,Apple,RT eclosion,5w75
78,3,blue,Ferris,8.514,,2017-08-07,2017-08-28,5,Apple,RT eclosion,5b3
82,7,blue,Ferris,10.886,,2017-08-07,2017-08-28,5,Apple,RT eclosion,5b7
83,8,blue,Grant,6.827,,2017-08-07,2017-08-28,5,Apple,RT eclosion,5b8
84,9,blue,Ferris,9.582,,2017-08-07,2017-08-28,5,Apple,RT eclosion,5b9
86,11,blue,Grant,6.028,,2017-08-07,2017-08-28,5,Apple,RT eclosion,5b11
88,13,blue,Grant,6.713,,2017-08-07,2017-08-28,5,Apple,RT eclosion,5b13
89,14,blue,Ferris,6.883,,2017-08-07,2017-08-28,5,Apple,RT eclosion,5b14
94,19,blue,Grant,7.822,,2017-08-07,2017-08-28,5,Apple,RT eclosion,5b19
99,24,blue,Ferris,9.489,,2017-08-07,2017-08-28,5,Apple,RT eclosion,5b24
100,25,blue,Ferris,6.847,,2017-08-07,2017-08-28,5,Apple,RT eclosion,5b25
101,26,blue,Grant,9.98,,2017-08-07,2017-08-28,5,Apple,RT eclosion,5b26
102,27,blue,Ferris,8.612,,2017-08-07,2017-08-28,5,Apple,RT eclosion,5b27
104,29,blue,Grant,6.96,,2017-08-07,2017-08-28,5,Apple,RT eclosion,5b29
106,31,blue,Ferris,6.26,,2017-08-07,2017-08-28,5,Apple,RT eclosion,5b31
109,34,blue,Grant,6.398,,2017-08-07,2017-08-28,5,Apple,RT eclosion,5b34
112,37,blue,Ferris,7.819,,2017-08-07,2017-08-28,5,Apple,RT eclosion,5b37
114,39,blue,Grant,8.701,,2017-08-07,2017-08-28,5,Apple,RT eclosion,5b39
123,48,blue,Ferris,5.843,,2017-08-07,2017-08-28,5,Apple,RT eclosion,5b48
126,51,blue,Ferris,7.154,,2017-08-07,2017-08-28,5,Apple,RT eclosion,5b51
129,54,blue,Ferris,10.037,,2017-08-07,2017-08-28,5,Apple,RT eclosion,5b54
130,55,blue,Milford,10.513,,2017-08-07,2017-08-28,5,Haw,RT eclosion,5b55
132,57,blue,Grant,6.305,,2017-08-07,2017-08-28,5,Apple,RT eclosion,5b57
138,63,blue,Grant,5.746,,2017-08-07,2017-08-28,5,Apple,RT eclosion,5b63
140,65,blue,Milford,12.887,,2017-08-07,2017-08-28,5,Haw,RT eclosion,5b65
145,70,blue,Ferris,6.771,,2017-08-07,2017-08-28,5,Apple,RT eclosion,5b70
