Ind_ID,tape,Site_name,mass_day10,purge_time,day10,cohort_date,cohort_day,Host
1,white,Ferris,6.864,16:38,2017-08-07,2017-08-28,5,Apple
2,white,Grant,9.118,,2017-08-07,2017-08-28,5,Apple
3,white,Grant,6.251,,2017-08-07,2017-08-28,5,Apple
4,white,Grant,10.782,,2017-08-07,2017-08-28,5,Apple
5,white,Ferris,7.905,,2017-08-07,2017-08-28,5,Apple
6,white,Grant,8.712,,2017-08-07,2017-08-28,5,Apple
7,white,Grant,6.317,,2017-08-07,2017-08-28,5,Apple
8,white,Ferris,10.755,,2017-08-07,2017-08-28,5,Apple
9,white,Grant,6.597,,2017-08-07,2017-08-28,5,Apple
10,white,Grant,8.285,,2017-08-07,2017-08-28,5,Apple
11,white,Ferris,10.045,,2017-08-07,2017-08-28,5,Apple
12,white,Ferris,6.878,,2017-08-07,2017-08-28,5,Apple
13,white,Grant,6.075,,2017-08-07,2017-08-28,5,Apple
14,white,Ferris,6.323,,2017-08-07,2017-08-28,5,Apple
15,white,Ferris,6.911,,2017-08-07,2017-08-28,5,Apple
16,white,Grant,8.853,,2017-08-07,2017-08-28,5,Apple
17,white,Ferris,10.01,,2017-08-07,2017-08-28,5,Apple
18,white,Ferris,8.383,,2017-08-07,2017-08-28,5,Apple
19,white,Grant,5.575,,2017-08-07,2017-08-28,5,Apple
20,white,Ferris,6.588,,2017-08-07,2017-08-28,5,Apple
21,white,Feris,7.049,,2017-08-07,2017-08-28,5,Apple
22,white,Ferris,9.686,,2017-08-07,2017-08-28,5,Apple
23,white,Grant,8.641,,2017-08-07,2017-08-28,5,Apple
24,white,Ferris,9.189,,2017-08-07,2017-08-28,5,Apple
25,white,Grant,6.018,,2017-08-07,2017-08-28,5,Apple
26,white,Ferris,7.881,,2017-08-07,2017-08-28,5,Apple
27,white,Ferris,8.509,,2017-08-07,2017-08-28,5,Apple
28,white,Ferris,6.663,,2017-08-07,2017-08-28,5,Apple
29,white,Grant,5.962,,2017-08-07,2017-08-28,5,Apple
30,white,Ferris,6.944,,2017-08-07,2017-08-28,5,Apple
31,white,Ferris,8.831,,2017-08-07,2017-08-28,5,Apple
32,white,Grant,5.971,,2017-08-07,2017-08-28,5,Apple
33,white,Ferris,10.855,,2017-08-07,2017-08-28,5,Apple
