Ind_ID,tape,Site_name,mass_day10,purge_time_1,day10,cohort_date,cohort_day,Host,Li.cor_1,rando_assign,uniqueID
8,white,Ferris,9.539,,9/13/17,9/3/17,11,Apple,7000,RT eclosion,11w8
10,white,Ferris,10.874,,9/13/17,9/3/17,11,Apple,7000,RT eclosion,11w10
14,white,Grant,4.752,,9/13/17,9/3/17,11,Apple,7000,RT eclosion,11w14
20,white,Grant,5.584,,9/13/17,9/3/17,11,Apple,7000,RT eclosion,11w20
25,white,Ferris,6.791,,9/13/17,9/3/17,11,Apple,7000,RT eclosion,11w25
26,white,Ferris,11.273,,9/13/17,9/3/17,11,Apple,7000,RT eclosion,11w26
40,white,Grant,10.02,,9/13/17,9/3/17,11,Apple,7000,RT eclosion,11w40
41,white,Milford,12.7,,9/13/17,9/3/17,11,Haw,7000,RT eclosion,11w41
43,white,Grant,8.298,,9/13/17,9/3/17,11,Apple,7000,RT eclosion,11w43
44,white,Grant,7.298,,9/13/17,9/3/17,11,Apple,7000,RT eclosion,11w44
47,white,MSU,4.394,,9/13/17,9/3/17,11,Apple,7000,RT eclosion,11w47
52,white,Grant,10.81,,9/13/17,9/3/17,11,Apple,7000,RT eclosion,11w52
55,white,Ferris,6.818,,9/13/17,9/3/17,11,Apple,7000,RT eclosion,11w55
56,white,Grant,9.138,,9/13/17,9/3/17,11,Apple,7000,RT eclosion,11w56
59,white,Ferris,7.591,,9/13/17,9/3/17,11,Apple,7000,RT eclosion,11w59
60,white,Grant,7.766,,9/13/17,9/3/17,11,Apple,7000,RT eclosion,11w60
63,white,Grant,7.662,,9/13/17,9/3/17,11,Apple,7000,RT eclosion,11w63
2,orange,Grant,5.582,,9/13/17,9/3/17,11,Apple,6262,RT eclosion,11o2
3,orange,Milford,10.894,,9/13/17,9/3/17,11,Haw,6262,RT eclosion,11o3
5,orange,Grant,13.039,,9/13/17,9/3/17,11,Apple,6262,RT eclosion,11o5
14,orange,Milford,8.958,,9/13/17,9/3/17,11,Haw,6262,RT eclosion,11o14
19,orange,Grant,7.801,,9/13/17,9/3/17,11,Apple,6262,RT eclosion,11o19
22,orange,Grant,4.399,,9/13/17,9/3/17,11,Apple,6262,RT eclosion,11o22
24,orange,Ferris,5.067,,9/13/17,9/3/17,11,Apple,6262,RT eclosion,11o24
28,orange,Ferris,10.291,,9/13/17,9/3/17,11,Apple,6262,RT eclosion,11o28
30,orange,Ferris,9.318,,9/13/17,9/3/17,11,Apple,6262,RT eclosion,11o30
31,orange,Milford,8.198,,9/13/17,9/3/17,11,Haw,6262,RT eclosion,11o31
34,orange,Ferris,10.77,,9/13/17,9/3/17,11,Apple,6262,RT eclosion,11o34
37,orange,Milford,12.524,,9/13/17,9/3/17,11,Haw,6262,RT eclosion,11o37
38,orange,Ferris,6.892,,9/13/17,9/3/17,11,Apple,6262,RT eclosion,11o38
51,orange,Ferris,4.657,,9/13/17,9/3/17,11,Apple,6262,RT eclosion,11o51
52,orange,Grant,7.702,,9/13/17,9/3/17,11,Apple,6262,RT eclosion,11o52
53,orange,Ferris,6.867,,9/13/17,9/3/17,11,Apple,6262,RT eclosion,11o53
54,orange,Ferris,10.358,,9/13/17,9/3/17,11,Apple,6262,RT eclosion,11o54
57,orange,Ferris,6.735,,9/13/17,9/3/17,11,Apple,6262,RT eclosion,11o57
58,orange,Grant,6.767,,9/13/17,9/3/17,11,Apple,6262,RT eclosion,11o58
62,orange,Grant,6.298,,9/13/17,9/3/17,11,Apple,6262,RT eclosion,11o62
66,orange,Grant,4.963,,9/13/17,9/3/17,11,Apple,6262,RT eclosion,11o66
69,orange,Grant,7.088,,9/13/17,9/3/17,11,Apple,6262,RT eclosion,11o69
75,orange,Milford,12.08,14:27,9/13/17,9/3/17,11,Haw,6262,RT eclosion,11o75
