Ind_ID,tape,Site_name,mass_day10,purge_time_1,day10,cohort_date,cohort_day,Host,Li.cor_1,rando_assign,uniqueID
2,white,Grant,6.851,,9/13/17,9/3/17,11,Apple,7000,Simulated Overwintering,11w2
3,white,Ferris,6.44,,9/13/17,9/3/17,11,Apple,7000,Simulated Overwintering,11w3
5,white,Ferris,7.227,,9/13/17,9/3/17,11,Apple,7000,Simulated Overwintering,11w5
9,white,Milford,8.893,,9/13/17,9/3/17,11,Haw,7000,Simulated Overwintering,11w9
11,white,Ferris,5.635,,9/13/17,9/3/17,11,Apple,7000,Simulated Overwintering,11w11
13,white,Ferris,8.04,,9/13/17,9/3/17,11,Apple,7000,Simulated Overwintering,11w13
15,white,Grant,4.495,,9/13/17,9/3/17,11,Apple,7000,Simulated Overwintering,11w15
16,white,Ferris,7.615,,9/13/17,9/3/17,11,Apple,7000,Simulated Overwintering,11w16
28,white,Grant,8.01,,9/13/17,9/3/17,11,Apple,7000,Simulated Overwintering,11w28
30,white,Grant,9.235,,9/13/17,9/3/17,11,Apple,7000,Simulated Overwintering,11w30
33,white,Blank,NA,,9/13/17,9/3/17,11,Apple,7000,Simulated Overwintering,11w33
34,white,Grant,9.491,,9/13/17,9/3/17,11,Apple,7000,Simulated Overwintering,11w34
36,white,Grant,7.356,,9/13/17,9/3/17,11,Apple,7000,Simulated Overwintering,11w36
37,white,Grant,9.666,,9/13/17,9/3/17,11,Apple,7000,Simulated Overwintering,11w37
38,white,Ferris,9.884,,9/13/17,9/3/17,11,Apple,7000,Simulated Overwintering,11w38
39,white,Grant,6.768,,9/13/17,9/3/17,11,Apple,7000,Simulated Overwintering,11w39
42,white,Grant,7.166,,9/13/17,9/3/17,11,Apple,7000,Simulated Overwintering,11w42
46,white,Grant,10.087,,9/13/17,9/3/17,11,Apple,7000,Simulated Overwintering,11w46
48,white,Grant,7.5,,9/13/17,9/3/17,11,Apple,7000,Simulated Overwintering,11w48
49,white,Grant,6.572,,9/13/17,9/3/17,11,Apple,7000,Simulated Overwintering,11w49
53,white,Ferris,7.485,,9/13/17,9/3/17,11,Apple,7000,Simulated Overwintering,11w53
54,white,Grant,7.294,,9/13/17,9/3/17,11,Apple,7000,Simulated Overwintering,11w54
62,white,Milford,14.554,,9/13/17,9/3/17,11,Haw,7000,Simulated Overwintering,11w62
65,white,Grant,6.074,,9/13/17,9/3/17,11,Apple,7000,Simulated Overwintering,11w65
66,white,Grant,7.537,,9/13/17,9/3/17,11,Apple,7000,Simulated Overwintering,11w66
67,white,Grant,9.929,,9/13/17,9/3/17,11,Apple,7000,Simulated Overwintering,11w67
69,white,,NA,,9/13/17,9/3/17,11,Apple,7000,Simulated Overwintering,11w69
72,white,Milford,11.687,14:04,9/13/17,9/3/17,11,Haw,7000,Simulated Overwintering,11w72
4,orange,Ferris,10.543,,9/13/17,9/3/17,11,Apple,6262,Simulated Overwintering,11o4
9,orange,Grant,8.387,,9/13/17,9/3/17,11,Apple,6262,Simulated Overwintering,11o9
10,orange,Grant,10.258,,9/13/17,9/3/17,11,Apple,6262,Simulated Overwintering,11o10
11,orange,Ferris,6.456,,9/13/17,9/3/17,11,Apple,6262,Simulated Overwintering,11o11
16,orange,Grant,10.275,,9/13/17,9/3/17,11,Apple,6262,Simulated Overwintering,11o16
17,orange,Ferris,3.825,,9/13/17,9/3/17,11,Apple,6262,Simulated Overwintering,11o17
18,orange,Ferris,6.4,,9/13/17,9/3/17,11,Apple,6262,Simulated Overwintering,11o18
21,orange,Ferris,7.82,,9/13/17,9/3/17,11,Apple,6262,Simulated Overwintering,11o21
23,orange,Ferris,6.677,,9/13/17,9/3/17,11,Apple,6262,Simulated Overwintering,11o23
26,orange,Ferris,6.949,,9/13/17,9/3/17,11,Apple,6262,Simulated Overwintering,11o26
39,orange,Grant,9.445,,9/13/17,9/3/17,11,Apple,6262,Simulated Overwintering,11o39
40,orange,Ferris,8.01,,9/13/17,9/3/17,11,Apple,6262,Simulated Overwintering,11o40
41,orange,Grant,7.519,,9/13/17,9/3/17,11,Apple,6262,Simulated Overwintering,11o41
43,orange,Ferris,7.949,,9/13/17,9/3/17,11,Apple,6262,Simulated Overwintering,11o43
46,orange,Milford,7.097,,9/13/17,9/3/17,11,Haw,6262,Simulated Overwintering,11o46
47,orange,Ferris,6.872,,9/13/17,9/3/17,11,Apple,6262,Simulated Overwintering,11o47
50,orange,Ferris,9.79,,9/13/17,9/3/17,11,Apple,6262,Simulated Overwintering,11o50
56,orange,Ferris,8.47,,9/13/17,9/3/17,11,Apple,6262,Simulated Overwintering,11o56
60,orange,Milford,8.044,,9/13/17,9/3/17,11,Haw,6262,Simulated Overwintering,11o60
74,orange,,NA,,9/13/17,9/3/17,11,Apple,6262,Simulated Overwintering,11o74
