Ind_ID,tape,Site_name,mass_day10,purge_time_1,day10,cohort_date,cohort_day,Host
1,white,Ferris,8.783,17:04,2017-09-14,2017-09-04,12,Apple
2,white,Grant,8.631,,2017-09-14,2017-09-04,12,Apple
3,white,Grant,4.26,,2017-09-14,2017-09-04,12,Apple
4,white,Milford,11.242,,2017-09-14,2017-09-04,12,Haw
5,white,Grant,7.141,,2017-09-14,2017-09-04,12,Apple
6,white,Ferris,7.315,,2017-09-14,2017-09-04,12,Apple
7,white,Grant,7.588,,2017-09-14,2017-09-04,12,Apple
8,white,Milford,8.59,,2017-09-14,2017-09-04,12,Haw
9,white,Grant,5.936,,2017-09-14,2017-09-04,12,Apple
10,white,Grant,9.389,,2017-09-14,2017-09-04,12,Apple
11,white,Ferris,5.841,,2017-09-14,2017-09-04,12,Apple
12,white,Grant,8.69,,2017-09-14,2017-09-04,12,Apple
13,white,MSU,7.368,,2017-09-14,2017-09-04,12,Apple
14,white,Grant,7.631,,2017-09-14,2017-09-04,12,Apple
15,white,Ferris,10.224,,2017-09-14,2017-09-04,12,Apple
16,white,Grant,9.863,,2017-09-14,2017-09-04,12,Apple
17,white,Ferris,9.693,,2017-09-14,2017-09-04,12,Apple
18,white,Grant,5.628,,2017-09-14,2017-09-04,12,Apple
19,white,Grant,4.992,,2017-09-14,2017-09-04,12,Apple
20,white,MSU,8.811,,2017-09-14,2017-09-04,12,Apple
21,white,Grant,3.612,,2017-09-14,2017-09-04,12,Apple
22,white,Grant,5.685,,2017-09-14,2017-09-04,12,Apple
23,white,Grant,6.505,,2017-09-14,2017-09-04,12,Apple
24,white,Ferris,10.222,,2017-09-14,2017-09-04,12,Apple
25,white,Grant,5.966,,2017-09-14,2017-09-04,12,Apple
26,white,Grant,9.691,,2017-09-14,2017-09-04,12,Apple
27,white,Ferris,11.557,,2017-09-14,2017-09-04,12,Apple
28,white,Milford,8.866,,2017-09-14,2017-09-04,12,Haw
29,white,Grant,10.679,,2017-09-14,2017-09-04,12,Apple
30,white,Ferris,10.161,,2017-09-14,2017-09-04,12,Apple
31,white,Grant,5.577,,2017-09-14,2017-09-04,12,Apple
32,white,Ferris,5.317,,2017-09-14,2017-09-04,12,Apple
33,white,Grant,4.489,,2017-09-14,2017-09-04,12,Apple
34,white,Grant,4.179,,2017-09-14,2017-09-04,12,Apple
35,white,Grant,8.693,,2017-09-14,2017-09-04,12,Apple
36,white,Milford,8.225,,2017-09-14,2017-09-04,12,Haw
37,white,Grant,9.25,,2017-09-14,2017-09-04,12,Apple
38,white,Grant,5.733,,2017-09-14,2017-09-04,12,Apple
39,white,Grant,7.555,,2017-09-14,2017-09-04,12,Apple
40,white,Ferris,7.29,,2017-09-14,2017-09-04,12,Apple
41,white,Grant,5.884,,2017-09-14,2017-09-04,12,Apple
42,white,Grant,5.95,,2017-09-14,2017-09-04,12,Apple
