Ind_ID,tape,Site_name,mass_day10,purge_time_1,day10,cohort_date,cohort_day,Host,rando_assign,uniqueID
8,white,Milford,8.59,,9/14/17,9/4/17,12,Haw,Simulated Overwintering,12w8
11,white,Ferris,5.841,,9/14/17,9/4/17,12,Apple,Simulated Overwintering,12w11
15,white,Ferris,10.224,,9/14/17,9/4/17,12,Apple,Simulated Overwintering,12w15
16,white,Grant,9.863,,9/14/17,9/4/17,12,Apple,Simulated Overwintering,12w16
19,white,Grant,4.992,,9/14/17,9/4/17,12,Apple,Simulated Overwintering,12w19
21,white,Grant,3.612,,9/14/17,9/4/17,12,Apple,Simulated Overwintering,12w21
22,white,Grant,5.685,,9/14/17,9/4/17,12,Apple,Simulated Overwintering,12w22
23,white,Grant,6.505,,9/14/17,9/4/17,12,Apple,Simulated Overwintering,12w23
26,white,Grant,9.691,,9/14/17,9/4/17,12,Apple,Simulated Overwintering,12w26
28,white,Milford,8.866,,9/14/17,9/4/17,12,Haw,Simulated Overwintering,12w28
30,white,Ferris,10.161,,9/14/17,9/4/17,12,Apple,Simulated Overwintering,12w30
35,white,Grant,8.693,,9/14/17,9/4/17,12,Apple,Simulated Overwintering,12w35
36,white,Milford,8.225,,9/14/17,9/4/17,12,Haw,Simulated Overwintering,12w36
37,white,Grant,9.25,,9/14/17,9/4/17,12,Apple,Simulated Overwintering,12w37
41,white,Grant,5.884,,9/14/17,9/4/17,12,Apple,Simulated Overwintering,12w41
42,white,Grant,5.95,,9/14/17,9/4/17,12,Apple,Simulated Overwintering,12w42
46,white,Ferris,8.926,,9/14/17,9/4/17,12,Apple,Simulated Overwintering,12w46
51,white,Grant,3.825,,9/14/17,9/4/17,12,Apple,Simulated Overwintering,12w51
52,white,Grant,9.341,,9/14/17,9/4/17,12,Apple,Simulated Overwintering,12w52
53,white,Ferris,7.49,,9/14/17,9/4/17,12,Apple,Simulated Overwintering,12w53
54,white,Grant,5.657,,9/14/17,9/4/17,12,Apple,Simulated Overwintering,12w54
57,white,Milford,7.514,,9/14/17,9/4/17,12,Haw,Simulated Overwintering,12w57
58,white,Grant,6.339,,9/14/17,9/4/17,12,Apple,Simulated Overwintering,12w58
59,white,Ferris,7.375,,9/14/17,9/4/17,12,Apple,Simulated Overwintering,12w59
62,white,Grant,4.48,,9/14/17,9/4/17,12,Apple,Simulated Overwintering,12w62
65,white,Grant,4.553,,9/14/17,9/4/17,12,Apple,Simulated Overwintering,12w65
67,white,Ferris,7.774,,9/14/17,9/4/17,12,Apple,Simulated Overwintering,12w67
4,blue,Grant,9.072,,9/14/17,9/4/17,12,Apple,Simulated Overwintering,12b4
5,blue,Milford,10.207,,9/14/17,9/4/17,12,Haw,Simulated Overwintering,12b5
9,blue,Grant,3.219,,9/14/17,9/4/17,12,Apple,Simulated Overwintering,12b9
10,blue,Milford,7.591,,9/14/17,9/4/17,12,Haw,Simulated Overwintering,12b10
21,blue,Grant,5.98,,9/14/17,9/4/17,12,Apple,Simulated Overwintering,12b21
24,blue,Grant,7.615,,9/14/17,9/4/17,12,Apple,Simulated Overwintering,12b24
25,blue,Grant,6.354,,9/14/17,9/4/17,12,Apple,Simulated Overwintering,12b25
26,blue,MSU,7.667,,9/14/17,9/4/17,12,Apple,Simulated Overwintering,12b26
29,blue,Grant,6.319,,9/14/17,9/4/17,12,Apple,Simulated Overwintering,12b29
33,blue,Milford,11.694,,9/14/17,9/4/17,12,Haw,Simulated Overwintering,12b33
34,blue,Grant,4.843,,9/14/17,9/4/17,12,Apple,Simulated Overwintering,12b34
35,blue,Grant,6.228,,9/14/17,9/4/17,12,Apple,Simulated Overwintering,12b35
39,blue,MSU,10.494,,9/14/17,9/4/17,12,Apple,Simulated Overwintering,12b39
52,blue,Grant,8.807,,9/14/17,9/4/17,12,Apple,Simulated Overwintering,12b52
55,blue,Ferris,12.367,,9/14/17,9/4/17,12,Apple,Simulated Overwintering,12b55
59,blue,Grant,11,,9/14/17,9/4/17,12,Apple,Simulated Overwintering,12b59
63,blue,Grant,7.574,,9/14/17,9/4/17,12,Apple,Simulated Overwintering,12b63
65,blue,Grant,6.879,,9/14/17,9/4/17,12,Apple,Simulated Overwintering,12b65
66,blue,Grant,7.238,,9/14/17,9/4/17,12,Apple,Simulated Overwintering,12b66
67,blue,Milford,11.852,,9/14/17,9/4/17,12,Haw,Simulated Overwintering,12b67
72,blue,Grant,6.829,,9/14/17,9/4/17,12,Apple,Simulated Overwintering,12b72
73,blue,Ferris,8.975,,9/14/17,9/4/17,12,Apple,Simulated Overwintering,12b73
74,blue,Grant,7.815,,9/14/17,9/4/17,12,Apple,Simulated Overwintering,12b74
75,blue,Grant,8.799,,9/14/17,9/4/17,12,Apple,Simulated Overwintering,12b75
76,blue,Blank,NA,,9/14/17,9/4/17,12,Apple,Simulated Overwintering,12b76
