Ind_ID,tape,Site_name,mass_day10,purge_time_1,day10,cohort_date,cohort_day,Host,rando_assign,uniqueID
1,red,Grant,5.197,17:28,9/16/17,9/6/17,14,Apple,RT eclosion,14r1
3,red,Ferris,8.288,,9/16/17,9/6/17,14,Apple,RT eclosion,14r3
4,red,Ferris,8.865,,9/16/17,9/6/17,14,Apple,RT eclosion,14r4
9,red,Grant,5.756,,9/16/17,9/6/17,14,Apple,RT eclosion,14r9
10,red,Grant,12.981,,9/16/17,9/6/17,14,Apple,RT eclosion,14r10
11,red,Grant,9.348,,9/16/17,9/6/17,14,Apple,RT eclosion,14r11
12,red,Grant,8.252,,9/16/17,9/6/17,14,Apple,RT eclosion,14r12
14,red,Ferris,5.46,,9/16/17,9/6/17,14,Apple,RT eclosion,14r14
24,red,Grant,5.748,,9/16/17,9/6/17,14,Apple,RT eclosion,14r24
25,red,Milford,7.048,,9/16/17,9/6/17,14,Haw,RT eclosion,14r25
29,red,Grant,9.864,,9/16/17,9/6/17,14,Apple,RT eclosion,14r29
34,red,Grant,8.051,,9/16/17,9/6/17,14,Apple,RT eclosion,14r34
35,red,Grant,6.585,,9/16/17,9/6/17,14,Apple,RT eclosion,14r35
37,red,Grant,9.81,,9/16/17,9/6/17,14,Apple,RT eclosion,14r37
40,red,Grant,5.329,,9/16/17,9/6/17,14,Apple,RT eclosion,14r40
42,red,Ferris,9.522,,9/16/17,9/6/17,14,Apple,RT eclosion,14r42
44,red,Grant,5.805,,9/16/17,9/6/17,14,Apple,RT eclosion,14r44
47,red,Grant,9.124,,9/16/17,9/6/17,14,Apple,RT eclosion,14r47
48,red,Ferris,5.425,,9/16/17,9/6/17,14,Apple,RT eclosion,14r48
50,red,Grant,9.358,,9/16/17,9/6/17,14,Apple,RT eclosion,14r50
51,red,Grant,6.812,,9/16/17,9/6/17,14,Apple,RT eclosion,14r51
52,red,Grant,5.909,,9/16/17,9/6/17,14,Apple,RT eclosion,14r52
56,red,Ferris,7.292,,9/16/17,9/6/17,14,Apple,RT eclosion,14r56
62,red,Grant,7.222,,9/16/17,9/6/17,14,Apple,RT eclosion,14r62
63,red,Ferris,6.628,,9/16/17,9/6/17,14,Apple,RT eclosion,14r63
69,red,Ferris,4.406,,9/16/17,9/6/17,14,Apple,RT eclosion,14r69
3,blue,Grant,5.352,,9/16/17,9/6/17,14,Apple,RT eclosion,14b3
4,blue,Milford,6.749,,9/16/17,9/6/17,14,Apple,RT eclosion,14b4
5,blue,Grant,6.515,,9/16/17,9/6/17,14,Apple,RT eclosion,14b5
8,blue,Grant,5.598,,9/16/17,9/6/17,14,Apple,RT eclosion,14b8
9,blue,Ferris,5.973,,9/16/17,9/6/17,14,Apple,RT eclosion,14b9
10,blue,Ferris,10.335,,9/16/17,9/6/17,14,Apple,RT eclosion,14b10
13,blue,Grant,4.105,,9/16/17,9/6/17,14,Apple,RT eclosion,14b13
14,blue,Grant,7.918,,9/16/17,9/6/17,14,Apple,RT eclosion,14b14
18,blue,Grant,6.223,,9/16/17,9/6/17,14,Apple,RT eclosion,14b18
19,blue,Ferris,9.565,,9/16/17,9/6/17,14,Apple,RT eclosion,14b19
20,blue,Grant,6.118,,9/16/17,9/6/17,14,Apple,RT eclosion,14b20
22,blue,Ferris,4.904,,9/16/17,9/6/17,14,Apple,RT eclosion,14b22
23,blue,Ferris,8.356,,9/16/17,9/6/17,14,Apple,RT eclosion,14b23
29,blue,Grant,6.658,,9/16/17,9/6/17,14,Apple,RT eclosion,14b29
30,blue,Ferris,6.339,,9/16/17,9/6/17,14,Apple,RT eclosion,14b30
32,blue,Ferris,8.621,,9/16/17,9/6/17,14,Apple,RT eclosion,14b32
33,blue,Grant,8.864,,9/16/17,9/6/17,14,Apple,RT eclosion,14b33
35,blue,Grant,5.858,,9/16/17,9/6/17,14,Apple,RT eclosion,14b35
38,blue,Grant,6.999,,9/16/17,9/6/17,14,Apple,RT eclosion,14b38
39,blue,Grant,10.553,,9/16/17,9/6/17,14,Apple,RT eclosion,14b39
41,blue,Grant,3.868,,9/16/17,9/6/17,14,Apple,RT eclosion,14b41
44,blue,Ferris,6.308,,9/16/17,9/6/17,14,Apple,RT eclosion,14b44
47,blue,Ferris,6.03,,9/16/17,9/6/17,14,Apple,RT eclosion,14b47
49,blue,Grant,6.571,,9/16/17,9/6/17,14,Apple,RT eclosion,14b49
53,blue,Ferris,8.619,,9/16/17,9/6/17,14,Apple,RT eclosion,14b53
56,blue,Grant,7.451,,9/16/17,9/6/17,14,Apple,RT eclosion,14b56
58,blue,Grant,6.593,,9/16/17,9/6/17,14,Apple,RT eclosion,14b58
65,blue,Ferris,7.518,,9/16/17,9/6/17,14,Apple,RT eclosion,14b65
