Ind_ID,tape,Site_name,mass_day10,purge_time_1,day10,cohort_date,cohort_day,Host,rando_assign,uniqueID
1,red,Grant,5.197,17:28,9/16/17,9/6/17,14,Apple,RT eclosion,14r1
2,red,Grant,4.998,,9/16/17,9/6/17,14,Apple,genetic control,14r2
3,red,Ferris,8.288,,9/16/17,9/6/17,14,Apple,RT eclosion,14r3
4,red,Ferris,8.865,,9/16/17,9/6/17,14,Apple,RT eclosion,14r4
5,red,Grant,9.288,,9/16/17,9/6/17,14,Apple,genetic control,14r5
6,red,Ferris,9.434,,9/16/17,9/6/17,14,Apple,Simulated Overwintering,14r6
7,red,Ferris,9.138,,9/16/17,9/6/17,14,Apple,genetic control,14r7
8,red,Grant,8.116,,9/16/17,9/6/17,14,Apple,Simulated Overwintering,14r8
9,red,Grant,5.756,,9/16/17,9/6/17,14,Apple,RT eclosion,14r9
10,red,Grant,12.981,,9/16/17,9/6/17,14,Apple,RT eclosion,14r10
11,red,Grant,9.348,,9/16/17,9/6/17,14,Apple,RT eclosion,14r11
12,red,Grant,8.252,,9/16/17,9/6/17,14,Apple,RT eclosion,14r12
13,red,Ferris,5.333,,9/16/17,9/6/17,14,Apple,Simulated Overwintering,14r13
14,red,Ferris,5.46,,9/16/17,9/6/17,14,Apple,RT eclosion,14r14
15,red,Grant,4.42,,9/16/17,9/6/17,14,Apple,Simulated Overwintering,14r15
16,red,Ferris,5.674,,9/16/17,9/6/17,14,Apple,Simulated Overwintering,14r16
17,red,Ferris,7.381,,9/16/17,9/6/17,14,Apple,genetic control,14r17
18,red,Grant,7.312,,9/16/17,9/6/17,14,Apple,genetic control,14r18
19,red,Grant,6.678,,9/16/17,9/6/17,14,Apple,Simulated Overwintering,14r19
20,red,Ferris,6.378,,9/16/17,9/6/17,14,Apple,Simulated Overwintering,14r20
21,red,Grant,10.034,,9/16/17,9/6/17,14,Apple,genetic control,14r21
22,red,Ferris,3.617,,9/16/17,9/6/17,14,Apple,genetic control,14r22
23,red,Grant,5.255,,9/16/17,9/6/17,14,Apple,genetic control,14r23
24,red,Grant,5.748,,9/16/17,9/6/17,14,Apple,RT eclosion,14r24
25,red,Milford,7.048,,9/16/17,9/6/17,14,Haw,RT eclosion,14r25
26,red,Ferris,7.492,,9/16/17,9/6/17,14,Apple,genetic control,14r26
27,red,Blank,NA,,9/16/17,9/6/17,14,Apple,RT eclosion,14r27
28,red,Ferris,6.853,,9/16/17,9/6/17,14,Apple,Simulated Overwintering,14r28
29,red,Grant,9.864,,9/16/17,9/6/17,14,Apple,RT eclosion,14r29
30,red,Ferris,7.109,,9/16/17,9/6/17,14,Apple,genetic control,14r30
31,red,Grant,8.032,,9/16/17,9/6/17,14,Apple,genetic control,14r31
32,red,Ferris,3.228,,9/16/17,9/6/17,14,Apple,Simulated Overwintering,14r32
33,red,Grant,6.474,,9/16/17,9/6/17,14,Apple,Simulated Overwintering,14r33
34,red,Grant,8.051,,9/16/17,9/6/17,14,Apple,RT eclosion,14r34
35,red,Grant,6.585,,9/16/17,9/6/17,14,Apple,RT eclosion,14r35
36,red,Ferris,5.425,,9/16/17,9/6/17,14,Apple,genetic control,14r36
37,red,Grant,9.81,,9/16/17,9/6/17,14,Apple,RT eclosion,14r37
38,red,Ferris,6.149,,9/16/17,9/6/17,14,Apple,Simulated Overwintering,14r38
39,red,Grant,4.939,,9/16/17,9/6/17,14,Apple,genetic control,14r39
40,red,Grant,5.329,,9/16/17,9/6/17,14,Apple,RT eclosion,14r40
41,red,Grant,3.67,,9/16/17,9/6/17,14,Apple,Simulated Overwintering,14r41
42,red,Ferris,9.522,,9/16/17,9/6/17,14,Apple,RT eclosion,14r42
43,red,Grant,5.914,,9/16/17,9/6/17,14,Apple,genetic control,14r43
44,red,Grant,5.805,,9/16/17,9/6/17,14,Apple,RT eclosion,14r44
45,red,Grant,7.597,,9/16/17,9/6/17,14,Apple,Simulated Overwintering,14r45
46,red,Grant,5.884,,9/16/17,9/6/17,14,Apple,Simulated Overwintering,14r46
47,red,Grant,9.124,,9/16/17,9/6/17,14,Apple,RT eclosion,14r47
48,red,Ferris,5.425,,9/16/17,9/6/17,14,Apple,RT eclosion,14r48
49,red,Grant,8.795,,9/16/17,9/6/17,14,Apple,Simulated Overwintering,14r49
50,red,Grant,9.358,,9/16/17,9/6/17,14,Apple,RT eclosion,14r50
51,red,Grant,6.812,,9/16/17,9/6/17,14,Apple,RT eclosion,14r51
52,red,Grant,5.909,,9/16/17,9/6/17,14,Apple,RT eclosion,14r52
53,red,Grant,3.63,,9/16/17,9/6/17,14,Apple,genetic control,14r53
54,red,Grant,4.134,,9/16/17,9/6/17,14,Apple,Simulated Overwintering,14r54
55,red,Grant,4.501,,9/16/17,9/6/17,14,Apple,Simulated Overwintering,14r55
56,red,Ferris,7.292,,9/16/17,9/6/17,14,Apple,RT eclosion,14r56
57,red,Grant,9.801,,9/16/17,9/6/17,14,Apple,genetic control,14r57
58,red,Grant,4.781,,9/16/17,9/6/17,14,Apple,Simulated Overwintering,14r58
59,red,Grant,3.757,,9/16/17,9/6/17,14,Apple,genetic control,14r59
60,red,Ferris,8.65,,9/16/17,9/6/17,14,Apple,genetic control,14r60
61,red,Grant,6.013,,9/16/17,9/6/17,14,Apple,Simulated Overwintering,14r61
62,red,Grant,7.222,,9/16/17,9/6/17,14,Apple,RT eclosion,14r62
63,red,Ferris,6.628,,9/16/17,9/6/17,14,Apple,RT eclosion,14r63
64,red,Grant,4.879,,9/16/17,9/6/17,14,Apple,Simulated Overwintering,14r64
66,red,Ferris,8.159,,9/16/17,9/6/17,14,Apple,genetic control,14r66
69,red,Ferris,4.406,,9/16/17,9/6/17,14,Apple,RT eclosion,14r69
70,red,Blank,NA,17:49,9/16/17,9/6/17,14,Apple,Simulated Overwintering,14r70
1,blue,Grant,6.54,17:08,9/16/17,9/6/17,14,Apple,genetic control,14b1
2,blue,Milford,11.606,,9/16/17,9/6/17,14,Apple,genetic control,14b2
3,blue,Grant,5.352,,9/16/17,9/6/17,14,Apple,RT eclosion,14b3
4,blue,Milford,6.749,,9/16/17,9/6/17,14,Apple,RT eclosion,14b4
5,blue,Grant,6.515,,9/16/17,9/6/17,14,Apple,RT eclosion,14b5
6,blue,Grant,7.064,,9/16/17,9/6/17,14,Apple,genetic control,14b6
7,blue,Ferris,8.654,,9/16/17,9/6/17,14,Apple,Simulated Overwintering,14b7
8,blue,Grant,5.598,,9/16/17,9/6/17,14,Apple,RT eclosion,14b8
9,blue,Ferris,5.973,,9/16/17,9/6/17,14,Apple,RT eclosion,14b9
10,blue,Ferris,10.335,,9/16/17,9/6/17,14,Apple,RT eclosion,14b10
11,blue,Grant,5.684,,9/16/17,9/6/17,14,Apple,genetic control,14b11
12,blue,Grant,7.356,,9/16/17,9/6/17,14,Apple,Simulated Overwintering,14b12
13,blue,Grant,4.105,,9/16/17,9/6/17,14,Apple,RT eclosion,14b13
14,blue,Grant,7.918,,9/16/17,9/6/17,14,Apple,RT eclosion,14b14
15,blue,Ferris,10.56,,9/16/17,9/6/17,14,Apple,genetic control,14b15
16,blue,Grant,5.821,,9/16/17,9/6/17,14,Apple,genetic control,14b16
17,blue,Grant,8.284,,9/16/17,9/6/17,14,Apple,genetic control,14b17
18,blue,Grant,6.223,,9/16/17,9/6/17,14,Apple,RT eclosion,14b18
19,blue,Ferris,9.565,,9/16/17,9/6/17,14,Apple,RT eclosion,14b19
20,blue,Grant,6.118,,9/16/17,9/6/17,14,Apple,RT eclosion,14b20
21,blue,Grant,7.039,,9/16/17,9/6/17,14,Apple,Simulated Overwintering,14b21
22,blue,Ferris,4.904,,9/16/17,9/6/17,14,Apple,RT eclosion,14b22
23,blue,Ferris,8.356,,9/16/17,9/6/17,14,Apple,RT eclosion,14b23
24,blue,Ferris,5.769,,9/16/17,9/6/17,14,Apple,Simulated Overwintering,14b24
25,blue,Grant,7.446,,9/16/17,9/6/17,14,Apple,genetic control,14b25
26,blue,Blank,NA,,9/16/17,9/6/17,14,Apple,RT eclosion,14b26
27,blue,Ferris,6.555,,9/16/17,9/6/17,14,Apple,genetic control,14b27
28,blue,Grant,5.256,,9/16/17,9/6/17,14,Apple,Simulated Overwintering,14b28
29,blue,Grant,6.658,,9/16/17,9/6/17,14,Apple,RT eclosion,14b29
30,blue,Ferris,6.339,,9/16/17,9/6/17,14,Apple,RT eclosion,14b30
31,blue,Grant,7.455,,9/16/17,9/6/17,14,Apple,genetic control,14b31
32,blue,Ferris,8.621,,9/16/17,9/6/17,14,Apple,RT eclosion,14b32
33,blue,Grant,8.864,,9/16/17,9/6/17,14,Apple,RT eclosion,14b33
34,blue,Grant,10.659,,9/16/17,9/6/17,14,Apple,Simulated Overwintering,14b34
35,blue,Grant,5.858,,9/16/17,9/6/17,14,Apple,RT eclosion,14b35
36,blue,Grant,5.728,,9/16/17,9/6/17,14,Apple,Simulated Overwintering,14b36
37,blue,Ferris,9.025,,9/16/17,9/6/17,14,Apple,Simulated Overwintering,14b37
38,blue,Grant,6.999,,9/16/17,9/6/17,14,Apple,RT eclosion,14b38
39,blue,Grant,10.553,,9/16/17,9/6/17,14,Apple,RT eclosion,14b39
40,blue,Grant,6.568,,9/16/17,9/6/17,14,Apple,genetic control,14b40
41,blue,Grant,3.868,,9/16/17,9/6/17,14,Apple,RT eclosion,14b41
42,blue,Grant,5.039,,9/16/17,9/6/17,14,Apple,genetic control,14b42
