Ind_ID,tape,Site_name,mass_day10,purge_time_1,day10,cohort_date,cohort_day,Host
1,orange,Grant,4.547,10:47,2017-09-21,2017-09-11,19,Apple
2,orange,Grant,11.017,,2017-09-21,2017-09-11,19,Apple
3,orange,Grant,9.777,,2017-09-21,2017-09-11,19,Apple
4,orange,Grant,7.241,,2017-09-21,2017-09-11,19,Apple
5,orange,Grant,5.452,,2017-09-21,2017-09-11,19,Apple
6,orange,Grant,4.877,,2017-09-21,2017-09-11,19,Apple
7,orange,Grant,4.953,,2017-09-21,2017-09-11,19,Apple
8,orange,Grant,6.358,,2017-09-21,2017-09-11,19,Apple
9,orange,Grant,5.888,,2017-09-21,2017-09-11,19,Apple
10,orange,Grant,8.081,,2017-09-21,2017-09-11,19,Apple
11,orange,Grant,6.636,,2017-09-21,2017-09-11,19,Apple
12,orange,Grant,6.805,,2017-09-21,2017-09-11,19,Apple
13,orange,Grant,8.006,,2017-09-21,2017-09-11,19,Apple
14,orange,Grant,9.524,,2017-09-21,2017-09-11,19,Apple
15,orange,milford,8.486,,2017-09-21,2017-09-11,19,Apple
16,orange,Grant,3.315,,2017-09-21,2017-09-11,19,haw
17,orange,Grant,6.477,,2017-09-21,2017-09-11,19,Apple
18,orange,Grant,10.535,,2017-09-21,2017-09-11,19,Apple
19,orange,Grant,5.968,,2017-09-21,2017-09-11,19,Apple
20,orange,Grant,9.332,,2017-09-21,2017-09-11,19,Apple
21,orange,Grant,4.768,,2017-09-21,2017-09-11,19,Apple
22,orange,Grant,6.089,,2017-09-21,2017-09-11,19,Apple
23,orange,Grant,11.937,,2017-09-21,2017-09-11,19,Apple
24,orange,Grant,8.091,,2017-09-21,2017-09-11,19,Apple
25,orange,Grant,9.706,,2017-09-21,2017-09-11,19,Apple
26,orange,Grant,7.202,,2017-09-21,2017-09-11,19,Apple
27,orange,Grant,6.121,,2017-09-21,2017-09-11,19,Apple
28,orange,Grant,8.021,,2017-09-21,2017-09-11,19,Apple
29,orange,Grant,8.658,,2017-09-21,2017-09-11,19,Apple
30,orange,Grant,6.604,,2017-09-21,2017-09-11,19,Apple
31,orange,Grant,4.807,,2017-09-21,2017-09-11,19,Apple
32,orange,Grant,7.955,,2017-09-21,2017-09-11,19,Apple
33,orange,blank,,,2017-09-21,2017-09-11,19,Apple
34,orange,blank,,11:04,2017-09-21,2017-09-11,19,Apple
1,red,Grant,5.115,11:04,2017-09-21,2017-09-11,19,Apple
2,red,Grant,7.662,,2017-09-21,2017-09-11,19,Apple
3,red,Grant,7.998,,2017-09-21,2017-09-11,19,Apple
4,red,Grant,4.043,,2017-09-21,2017-09-11,19,Apple
5,red,Grant,6.205,,2017-09-21,2017-09-11,19,Apple
6,red,Grant,12.283,,2017-09-21,2017-09-11,19,Apple
7,red,Grant,6.521,,2017-09-21,2017-09-11,19,Apple
8,red,Grant,9.84,,2017-09-21,2017-09-11,19,Apple
9,red,Grant,8.35,,2017-09-21,2017-09-11,19,Apple
10,red,Grant,8.551,,2017-09-21,2017-09-11,19,Apple
11,red,Grant,6.032,,2017-09-21,2017-09-11,19,Apple
12,red,Grant,6.193,,2017-09-21,2017-09-11,19,Apple
13,red,Grant,2.732,,2017-09-21,2017-09-11,19,Apple
14,red,Grant,12.737,,2017-09-21,2017-09-11,19,Apple
15,red,Grant,4.355,,2017-09-21,2017-09-11,19,Apple
16,red,Grant,7.539,,2017-09-21,2017-09-11,19,Apple
17,red,Grant,5.837,,2017-09-21,2017-09-11,19,Apple
18,red,Grant,5.602,,2017-09-21,2017-09-11,19,Apple
19,red,Grant,6.219,,2017-09-21,2017-09-11,19,Apple
20,red,Grant,7.285,,2017-09-21,2017-09-11,19,Apple
21,red,Grant,7.592,,2017-09-21,2017-09-11,19,Apple
22,red,Grant,4.126,,2017-09-21,2017-09-11,19,Apple
23,red,Grant,11.145,,2017-09-21,2017-09-11,19,Apple
24,red,Grant,6.676,,2017-09-21,2017-09-11,19,Apple
25,red,Grant,9.283,,2017-09-21,2017-09-11,19,Apple
26,red,Grant,4.069,,2017-09-21,2017-09-11,19,Apple
27,red,Grant,5.743,,2017-09-21,2017-09-11,19,Apple
28,red,Grant,2.54,,2017-09-21,2017-09-11,19,Apple
29,red,Grant,6.989,,2017-09-21,2017-09-11,19,Apple
30,red,Grant,4.154,,2017-09-21,2017-09-11,19,Apple
31,red,Grant,5.942,,2017-09-21,2017-09-11,19,Apple
32,red,Grant,6.602,,2017-09-21,2017-09-11,19,Apple
33,red,blank,,,2017-09-21,2017-09-11,19,Apple
34,red,blank,,11:19,2017-09-21,2017-09-11,19,Apple
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
