"","Ind_ID","tape","Site_name","mass_day10","purge_time_1","day10","cohort_date","cohort_day","Host","rando_assign","uniqueID","wellID"
"1",1,"orange","Grant",11.616,"16:23","2017-09-18","2017-09-08",16,"Apple","genetic control","16o1",""
"2",2,"orange","Grant",10.393,"","2017-09-18","2017-09-08",16,"Apple","Simulated Overwintering","16o2","A10"
"3",3,"orange","Grant",7.151,"","2017-09-18","2017-09-08",16,"Apple","Simulated Overwintering","16o3","F7"
"4",4,"orange","Ferris",7.454,"","2017-09-18","2017-09-08",16,"Apple","RT eclosion","16o4","D6"
"5",5,"orange","Grant",6.297,"","2017-09-18","2017-09-08",16,"Apple","genetic control","16o5",""
"6",6,"orange","Grant",4.977,"","2017-09-18","2017-09-08",16,"Apple","genetic control","16o6",""
"7",7,"orange","Grant",7.168,"","2017-09-18","2017-09-08",16,"Apple","genetic control","16o7",""
"8",8,"orange","Grant",5.793,"","2017-09-18","2017-09-08",16,"Apple","RT eclosion","16o8","G4"
"9",9,"orange","Grant",8.215,"","2017-09-18","2017-09-08",16,"Apple","Simulated Overwintering","16o9","C10"
"10",10,"orange","Grant",2.64,"","2017-09-18","2017-09-08",16,"Apple","genetic control","16o10",""
"11",11,"orange","Grant",8.771,"","2017-09-18","2017-09-08",16,"Apple","Simulated Overwintering","16o11","E9"
"12",12,"orange","Grant",8.113,"","2017-09-18","2017-09-08",16,"Apple","genetic control","16o12",""
"13",13,"orange","Grant",7.084,"","2017-09-18","2017-09-08",16,"Apple","RT eclosion","16o13","F11"
"14",14,"orange","Milford",7.412,"","2017-09-18","2017-09-08",16,"Haw","genetic control","16o14",""
"15",15,"orange","Grant",4.601,"","2017-09-18","2017-09-08",16,"Apple","RT eclosion","16o15","D6"
"16",16,"orange","Grant",5.812,"","2017-09-18","2017-09-08",16,"Apple","RT eclosion","16o16","A4"
"17",17,"orange","Grant",7.215,"","2017-09-18","2017-09-08",16,"Apple","RT eclosion","16o17","H11"
"18",18,"orange","Grant",8.204,"","2017-09-18","2017-09-08",16,"Apple","Simulated Overwintering","16o18","E8"
"19",19,"orange","Grant",8.157,"","2017-09-18","2017-09-08",16,"Apple","RT eclosion","16o19","B11"
"20",20,"orange","Grant",7.884,"","2017-09-18","2017-09-08",16,"Apple","genetic control","16o20",""
"21",21,"orange","Grant",6.887,"","2017-09-18","2017-09-08",16,"Apple","Simulated Overwintering","16o21","B6"
"22",22,"orange","Grant",9.652,"","2017-09-18","2017-09-08",16,"Apple","genetic control","16o22",""
"23",23,"orange","Grant",8.217,"","2017-09-18","2017-09-08",16,"Apple","Simulated Overwintering","16o23","E6"
"24",24,"orange","Grant",6.953,"","2017-09-18","2017-09-08",16,"Apple","Simulated Overwintering","16o24","C7"
"25",25,"orange","Grant",6.698,"","2017-09-18","2017-09-08",16,"Apple","RT eclosion","16o25","G4"
"26",26,"orange","Ferris",10.854,"","2017-09-18","2017-09-08",16,"Apple","Simulated Overwintering","16o26","E7"
"27",27,"orange","Grant",6.611,"","2017-09-18","2017-09-08",16,"Apple","Simulated Overwintering","16o27","B5"
"28",28,"orange","Grant",6.429,"","2017-09-18","2017-09-08",16,"Apple","genetic control","16o28",""
"29",29,"orange","Grant",6.545,"","2017-09-18","2017-09-08",16,"Apple","genetic control","16o29",""
"30",30,"orange","Grant",5.303,"","2017-09-18","2017-09-08",16,"Apple","genetic control","16o30",""
"31",31,"orange","Grant",6.478,"","2017-09-18","2017-09-08",16,"Apple","RT eclosion","16o31","G2"
"32",32,"orange","Grant",4.52,"","2017-09-18","2017-09-08",16,"Apple","RT eclosion","16o32","G4"
"33",33,"orange","Grant",7.155,"","2017-09-18","2017-09-08",16,"Apple","genetic control","16o33",""
"34",34,"orange","Grant",10.015,"","2017-09-18","2017-09-08",16,"Apple","Simulated Overwintering","16o34","D10"
"35",35,"orange","Ferris",7.948,"","2017-09-18","2017-09-08",16,"Apple","genetic control","16o35",""
"36",36,"orange","Grant",4.135,"","2017-09-18","2017-09-08",16,"Apple","genetic control","16o36",""
"37",37,"orange","Grant",6.432,"","2017-09-18","2017-09-08",16,"Apple","RT eclosion","16o37","F9"
"38",38,"orange","Grant",NA,"","2017-09-18","2017-09-08",16,"Apple","genetic control","16o38",""
"39",39,"orange","Grant",NA,"","2017-09-18","2017-09-08",16,"Apple","RT eclosion","16o39","B10"
"40",47,"orange","Ferris",7.284,"","2017-09-18","2017-09-08",16,"Apple","genetic control","16o47",""
"41",1,"white","Grant",6.438,"","2017-09-18","2017-09-08",16,"Apple","RT eclosion","16w1","H7"
"42",2,"white","Grant",8.167,"","2017-09-18","2017-09-08",16,"Apple","RT eclosion","16w2","C7"
"43",3,"Ferris","Grant",10.307,"","2017-09-18","2017-09-08",16,"Apple","RT eclosion","16F3","A7"
"44",4,"white","Grant",8.899,"","2017-09-18","2017-09-08",16,"Apple","Simulated Overwintering","16w4","D2"
"45",5,"white","Grant",6.395,"","2017-09-18","2017-09-08",16,"Apple","RT eclosion","16w5","G5"
"46",6,"white","Grant",7.913,"","2017-09-18","2017-09-08",16,"Apple","RT eclosion","16w6","D10"
"47",7,"white","Grant",10.925,"","2017-09-18","2017-09-08",16,"Apple","RT eclosion","16w7","G4"
"48",8,"white","Grant",10.417,"","2017-09-18","2017-09-08",16,"Apple","RT eclosion","16w8","H11"
"49",9,"white","Grant",10.778,"","2017-09-18","2017-09-08",16,"Apple","genetic control","16w9",""
"50",10,"white","Grant",10.365,"","2017-09-18","2017-09-08",16,"Apple","Simulated Overwintering","16w10","E3"
"51",11,"white","Grant",3.526,"","2017-09-18","2017-09-08",16,"Apple","genetic control","16w11",""
"52",12,"white","Grant",6.854,"","2017-09-18","2017-09-08",16,"Apple","genetic control","16w12",""
"53",13,"Ferris","Grant",5.963,"","2017-09-18","2017-09-08",16,"Apple","Simulated Overwintering","16F13","B11"
"54",14,"white","Grant",9.551,"","2017-09-18","2017-09-08",16,"Apple","Simulated Overwintering","16w14","D5"
"55",15,"white","Grant",8.258,"","2017-09-18","2017-09-08",16,"Apple","RT eclosion","16w15","A8"
"56",16,"white","Grant",6.349,"","2017-09-18","2017-09-08",16,"Apple","Simulated Overwintering","16w16","C6"
"57",17,"white","Grant",5.622,"","2017-09-18","2017-09-08",16,"Apple","Simulated Overwintering","16w17","G2"
"58",18,"white","Grant",7.83,"","2017-09-18","2017-09-08",16,"Apple","Simulated Overwintering","16w18","C10"
"59",19,"white","Grant",7.406,"","2017-09-18","2017-09-08",16,"Apple","genetic control","16w19",""
"60",20,"white","Grant",7.57,"","2017-09-18","2017-09-08",16,"Apple","Simulated Overwintering","16w20","C9"
"61",21,"white","Grant",8.46,"","2017-09-18","2017-09-08",16,"Apple","RT eclosion","16w21","B1"
"62",22,"white","Grant",9.346,"","2017-09-18","2017-09-08",16,"Apple","RT eclosion","16w22","C10"
"63",23,"white","Grant",7.04,"","2017-09-18","2017-09-08",16,"Apple","Simulated Overwintering","16w23","A10"
"64",24,"Ferris","Grant",7.047,"","2017-09-18","2017-09-08",16,"Apple","Simulated Overwintering","16F24","C10"
"65",25,"white","Grant",6.306,"","2017-09-18","2017-09-08",16,"Apple","RT eclosion","16w25","F7"
"66",26,"white","Grant",NA,"","2017-09-18","2017-09-08",16,"Apple","Simulated Overwintering","16w26","A1"
"67",27,"white","Grant",7.36,"","2017-09-18","2017-09-08",16,"Apple","RT eclosion","16w27","B1"
"68",28,"white","Grant",5.963,"","2017-09-18","2017-09-08",16,"Apple","Simulated Overwintering","16w28","G9"
"69",29,"white","Grant",9.664,"","2017-09-18","2017-09-08",16,"Apple","Simulated Overwintering","16w29","B2"
"70",30,"white","Grant",5.782,"","2017-09-18","2017-09-08",16,"Apple","genetic control","16w30",""
"71",31,"white","Grant",5.473,"","2017-09-18","2017-09-08",16,"Apple","RT eclosion","16w31","B11"
"72",32,"white","Grant",5.95,"","2017-09-18","2017-09-08",16,"Apple","Simulated Overwintering","16w32","H1"
"73",33,"white","Grant",6.037,"","2017-09-18","2017-09-08",16,"Apple","Simulated Overwintering","16w33","C8"
"74",34,"Ferris","Grant",7.204,"","2017-09-18","2017-09-08",16,"Apple","genetic control","16F34",""
"75",35,"white","Grant",8.281,"","2017-09-18","2017-09-08",16,"Apple","genetic control","16w35",""
"76",36,"white","Grant",6.121,"","2017-09-18","2017-09-08",16,"Apple","Simulated Overwintering","16w36","B5"
"77",37,"Blank","Grant",NA,"","2017-09-18","2017-09-08",16,"Apple","RT eclosion","16B37","H10"
"78",38,"Blank","Grant",NA,"","2017-09-18","2017-09-08",16,"Apple","RT eclosion","16B38","E9"
"79",42,"Ferris","Grant",5.687,"16:36","2017-09-18","2017-09-08",16,"Apple","RT eclosion","16F42","B7"
