Ind_ID,tape,Site_name,mass_day10,purge_time_1,day10,cohort_date,cohort_day,Host,rando_assign,uniqueID,wellID
1,red,Grant,2.93,13:43,9/22/17,9/12/17,20,Apple,Simulated Overwintering,20r1,F4
2,red,Grant,6.059,,9/22/17,9/12/17,20,Apple,Simulated Overwintering,20r2,C3
3,red,Grant,5.593,,9/22/17,9/12/17,20,Apple,genetic control,20r3,
4,red,Grant,4.95,,9/22/17,9/12/17,20,Apple,RT eclosion,20r4,F12
5,red,Grant,5.896,,9/22/17,9/12/17,20,Apple,RT eclosion,20r5,F9
6,red,Grant,6.445,,9/22/17,9/12/17,20,Apple,RT eclosion,20r6,E2
7,red,Grant,6.019,,9/22/17,9/12/17,20,Apple,genetic control,20r7,
8,red,Grant,8.68,,9/22/17,9/12/17,20,Apple,genetic control,20r8,
9,red,Grant,7.314,,9/22/17,9/12/17,20,Apple,Simulated Overwintering,20r9,H2
10,red,Grant,7.74,,9/22/17,9/12/17,20,Apple,genetic control,20r10,
11,red,Grant,8.782,,9/22/17,9/12/17,20,Apple,RT eclosion,20r11,F11
12,red,Grant,6.707,,9/22/17,9/12/17,20,Apple,RT eclosion,20r12,H2
13,red,Grant,4.754,,9/22/17,9/12/17,20,Apple,genetic control,20r13,
14,red,Grant,8.11,,9/22/17,9/12/17,20,Apple,genetic control,20r14,
15,red,Grant,7.03,,9/22/17,9/12/17,20,Apple,RT eclosion,20r15,B4
16,red,Grant,7.898,,9/22/17,9/12/17,20,Apple,genetic control,20r16,
17,red,Grant,5.84,,9/22/17,9/12/17,20,Apple,RT eclosion,20r17,E6
1,blue,Grant,7.792,14:54,9/22/17,9/12/17,20,Apple,genetic control,20b1,
2,blue,Grant,7.879,,9/22/17,9/12/17,20,Apple,Simulated Overwintering,20b2,A3
3,blue,Grant,5.097,,9/22/17,9/12/17,20,Apple,genetic control,20b3,
4,blue,Grant,9.374,,9/22/17,9/12/17,20,Apple,Simulated Overwintering,20b4,F10
5,blue,Grant,6.692,,9/22/17,9/12/17,20,Apple,Simulated Overwintering,20b5,D2
6,blue,Grant,8.861,,9/22/17,9/12/17,20,Apple,RT eclosion,20b6,A3
7,blue,Grant,7.904,,9/22/17,9/12/17,20,Apple,RT eclosion,20b7,F5
8,blue,Grant,9.502,,9/22/17,9/12/17,20,Apple,genetic control,20b8,
9,blue,Grant,6.634,,9/22/17,9/12/17,20,Apple,genetic control,20b9,
10,blue,Grant,7.07,,9/22/17,9/12/17,20,Apple,Simulated Overwintering,20b10,G2
11,blue,Grant,6.846,,9/22/17,9/12/17,20,Apple,Simulated Overwintering,20b11,B9
12,blue,Grant,8.295,,9/22/17,9/12/17,20,Apple,genetic control,20b12,
13,blue,Grant,10.631,,9/22/17,9/12/17,20,Apple,genetic control,20b13,
14,blue,Grant,7.545,,9/22/17,9/12/17,20,Apple,genetic control,20b14,
15,blue,Grant,2.493,,9/22/17,9/12/17,20,Apple,Simulated Overwintering,20b15,G1
16,blue,Grant,5.28,,9/22/17,9/12/17,20,Apple,RT eclosion,20b16,E7
17,blue,Grant,6.416,,9/22/17,9/12/17,20,Apple,Simulated Overwintering,20b17,C4
