Ind_ID,tape,Site_name,mass_day10,purge_time_1,purge1,day10,cohort_date,cohort_day,Host,Li.cor_1,rando_assign,uniqueID,wellID
1,red,Ferris,8.877,15:15,NA,10/3/17,9/23/17,2,Haw,6262,RT eclosion,2r1,G11
2,red,Ferris,12.018,,NA,10/3/17,9/23/17,2,Haw,6262,Simulated Overwintering,2r2,G8
3,red,Ferris,6.925,,NA,10/3/17,9/23/17,2,Haw,6262,Simulated Overwintering,2r3,H12
4,red,Ferris,8.591,,NA,10/3/17,9/23/17,2,Haw,6262,Simulated Overwintering,2r4,H9
5,red,Ferris,9.527,,NA,10/3/17,9/23/17,2,Haw,6262,Simulated Overwintering,2r5,A9
6,red,Ferris,8.524,,NA,10/3/17,9/23/17,2,Haw,6262,Simulated Overwintering,2r6,D9
7,red,Ferris,8.71,,NA,10/3/17,9/23/17,2,Haw,6262,genetic control,2r7,
8,red,Ferris,6.083,,NA,10/3/17,9/23/17,2,Haw,6262,Simulated Overwintering,2r8,H4
9,red,Ferris,11.968,,NA,10/3/17,9/23/17,2,Haw,6262,genetic control,2r9,
10,red,Ferris,7.715,,NA,10/3/17,9/23/17,2,Haw,6262,genetic control,2r10,
11,red,Ferris,12.546,,NA,10/3/17,9/23/17,2,Haw,6262,genetic control,2r11,
12,red,Ferris,6.473,,NA,10/3/17,9/23/17,2,Haw,6262,Simulated Overwintering,2r12,G12
13,red,Ferris,6.543,,NA,10/3/17,9/23/17,2,Haw,6262,genetic control,2r13,
14,red,Ferris,11.74,,NA,10/3/17,9/23/17,2,Haw,6262,Simulated Overwintering,2r14,E4
15,red,Ferris,7.376,,NA,10/3/17,9/23/17,2,Haw,6262,RT eclosion,2r15,D4
16,red,Ferris,10.992,,NA,10/3/17,9/23/17,2,Haw,6262,Simulated Overwintering,2r16,F8
17,red,Ferris,8.442,,NA,10/3/17,9/23/17,2,Haw,6262,genetic control,2r17,
18,red,Ferris,9.495,,NA,10/3/17,9/23/17,2,Haw,6262,RT eclosion,2r18,B8
19,red,Ferris,5.565,,NA,10/3/17,9/23/17,2,Haw,6262,Simulated Overwintering,2r19,F4
20,red,Ferris,11.278,,NA,10/3/17,9/23/17,2,Haw,6262,genetic control,2r20,
21,red,Ferris,11.881,,NA,10/3/17,9/23/17,2,Haw,6262,Simulated Overwintering,2r21,A3
22,red,Ferris,11.566,,NA,10/3/17,9/23/17,2,Haw,6262,Simulated Overwintering,2r22,H5
