Ind_ID,tape,Site_name,mass_day10,purge_time_1,purge1,day10,cohort_date,cohort_day,Host,
1,white,Ferris,6.723,11:53,,2017-10-04,2017-09-24,3,Haw,
2,white,Ferris,6.34,,,2017-10-04,2017-09-24,3,Haw,
3,white,Ferris,5.734,,,2017-10-04,2017-09-24,3,Haw,
4,white,Ferris,7.564,,,2017-10-04,2017-09-24,3,Haw,
5,white,Ferris,9.799,,,2017-10-04,2017-09-24,3,Haw,
6,white,Ferris,9.027,,,2017-10-04,2017-09-24,3,Haw,
7,white,Ferris,12.644,,,2017-10-04,2017-09-24,3,Haw,
8,white,Ferris,12.032,,,2017-10-04,2017-09-24,3,Haw,
9,white,Ferris,5.618,,,2017-10-04,2017-09-24,3,Haw,
10,white,Ferris,5.572,,,2017-10-04,2017-09-24,3,Haw,
11,white,Ferris,7.198,,,2017-10-04,2017-09-24,3,Haw,
12,white,Ferris,10.095,,,2017-10-04,2017-09-24,3,Haw,
13,white,Ferris,10.373,,,2017-10-04,2017-09-24,3,Haw,
14,white,Ferris,7.19,,,2017-10-04,2017-09-24,3,Haw,
15,white,Ferris,8.727,,,2017-10-04,2017-09-24,3,Haw,
16,white,Ferris,9.352,,,2017-10-04,2017-09-24,3,Haw,
17,white,Ferris,5.006,,,2017-10-04,2017-09-24,3,Haw,
18,white,Ferris,10.41,,,2017-10-04,2017-09-24,3,Haw,
19,white,Ferris,12.31,,,2017-10-04,2017-09-24,3,Haw,
20,white,Ferris,7.404,,,2017-10-04,2017-09-24,3,Haw,
21,white,Ferris,8.332,,,2017-10-04,2017-09-24,3,Haw,
22,white,Ferris,10.156,,,2017-10-04,2017-09-24,3,Haw,
23,white,Ferris,7.56,,,2017-10-04,2017-09-24,3,Haw,
24,white,Ferris,8.425,,,2017-10-04,2017-09-24,3,Haw,
25,white,Ferris,7.491,,,2017-10-04,2017-09-24,3,Haw,
26,white,Ferris,8.639,,,2017-10-04,2017-09-24,3,Haw,
27,white,Ferris,,,,2017-10-04,2017-09-24,3,Haw,
28,white,Ferris,,12:05,,2017-10-04,2017-09-24,3,Haw,
1,orange,Ferris,9.068,11:42,,2017-10-04,2017-09-24,3,Haw,
2,orange,Ferris,6.225,,,2017-10-04,2017-09-24,3,Haw,
3,orange,Ferris,9.099,,,2017-10-04,2017-09-24,3,Haw,
4,orange,Ferris,8.629,,,2017-10-04,2017-09-24,3,Haw,
5,orange,Ferris,8.461,,,2017-10-04,2017-09-24,3,Haw,
6,orange,Ferris,12.64,,,2017-10-04,2017-09-24,3,Haw,
7,orange,Ferris,7.553,,,2017-10-04,2017-09-24,3,Haw,
8,orange,Ferris,8.063,,,2017-10-04,2017-09-24,3,Haw,
9,orange,Ferris,11.889,,,2017-10-04,2017-09-24,3,Haw,
10,orange,Ferris,7.513,,,2017-10-04,2017-09-24,3,Haw,
11,orange,Ferris,9.561,,,2017-10-04,2017-09-24,3,Haw,
12,orange,Ferris,11.815,,,2017-10-04,2017-09-24,3,Haw,
13,orange,Ferris,11.58,,,2017-10-04,2017-09-24,3,Haw,
14,orange,Ferris,7.651,,,2017-10-04,2017-09-24,3,Haw,
15,orange,Ferris,10.703,,,2017-10-04,2017-09-24,3,Haw,
16,orange,Ferris,12.131,,,2017-10-04,2017-09-24,3,Haw,
17,orange,Ferris,10.838,,,2017-10-04,2017-09-24,3,Haw,
18,orange,Ferris,8.269,,,2017-10-04,2017-09-24,3,Haw,
19,orange,Ferris,11.43,,,2017-10-04,2017-09-24,3,Haw,
20,orange,Ferris,6.214,,,2017-10-04,2017-09-24,3,Haw,
21,orange,Ferris,7.421,,,2017-10-04,2017-09-24,3,Haw,
22,orange,Ferris,12.308,,,2017-10-04,2017-09-24,3,Haw,
23,orange,Ferris,10.963,,,2017-10-04,2017-09-24,3,Haw,
24,orange,Ferris,13.761,,,2017-10-04,2017-09-24,3,Haw,
25,orange,Ferris,4.665,,,2017-10-04,2017-09-24,3,Haw,
26,orange,Ferris,7.378,,,2017-10-04,2017-09-24,3,Haw,
27,orange,Ferris,,,,2017-10-04,2017-09-24,3,Haw,
28,orange,Ferris,,11:52,,2017-10-04,2017-09-24,3,Haw,
