Ind_ID,tape,Site_name,mass_day10,purge_time_1,purge1,day10,cohort_date,cohort_day,Host,rando_assign,uniqueID,wellID
1,white,Ferris,8.786,14:42,NA,10/5/17,9/25/17,4,Haw,RT eclosion,4w1,D6
2,white,Ferris,7.664,,NA,10/5/17,9/25/17,4,Haw,RT eclosion,4w2,G1
3,white,Ferris,10.573,,NA,10/5/17,9/25/17,4,Haw,Simulated Overwintering,4w3,A10
4,white,Ferris,8.277,,NA,10/5/17,9/25/17,4,Haw,genetic control,4w4,
5,white,Ferris,5.208,,NA,10/5/17,9/25/17,4,Haw,RT eclosion,4w5,A12
6,white,Ferris,5.176,,NA,10/5/17,9/25/17,4,Haw,genetic control,4w6,
7,white,Ferris,9.346,,NA,10/5/17,9/25/17,4,Haw,RT eclosion,4w7,E5
8,white,Ferris,4.188,,NA,10/5/17,9/25/17,4,Haw,RT eclosion,4w8,B4
9,white,Ferris,10.725,,NA,10/5/17,9/25/17,4,Haw,RT eclosion,4w9,D1
10,white,Ferris,8.846,,NA,10/5/17,9/25/17,4,Haw,RT eclosion,4w10,H1
11,white,Ferris,5.663,,NA,10/5/17,9/25/17,4,Haw,Simulated Overwintering,4w11,A8
12,white,Ferris,8.357,,NA,10/5/17,9/25/17,4,Haw,genetic control,4w12,
13,white,Ferris,9.103,,NA,10/5/17,9/25/17,4,Haw,RT eclosion,4w13,F1
14,white,Ferris,7.367,,NA,10/5/17,9/25/17,4,Haw,Simulated Overwintering,4w14,G9
15,white,Ferris,10.986,,NA,10/5/17,9/25/17,4,Haw,RT eclosion,4w15,D12
16,white,Ferris,7.917,,NA,10/5/17,9/25/17,4,Haw,genetic control,4w16,
17,white,Ferris,5.87,,NA,10/5/17,9/25/17,4,Haw,genetic control,4w17,
18,white,Ferris,8.766,,NA,10/5/17,9/25/17,4,Haw,Simulated Overwintering,4w18,F5
19,white,Ferris,10.251,,NA,10/5/17,9/25/17,4,Haw,Simulated Overwintering,4w19,C6
20,white,Ferris,5.11,,NA,10/5/17,9/25/17,4,Haw,RT eclosion,4w20,B5
21,white,Ferris,12.022,,NA,10/5/17,9/25/17,4,Haw,RT eclosion,4w21,A1
22,white,Ferris,5.312,,NA,10/5/17,9/25/17,4,Haw,genetic control,4w22,
23,white,Ferris,4.347,,NA,10/5/17,9/25/17,4,Haw,genetic control,4w23,
24,white,Ferris,7.438,,NA,10/5/17,9/25/17,4,Haw,Simulated Overwintering,4w24,G3
25,white,blank,NA,,NA,10/5/17,9/25/17,4,Haw,Simulated Overwintering,4w25,G7
26,white,blank,NA,14:53,NA,10/5/17,9/25/17,4,Haw,genetic control,4w26,
1,orange,Ferris,5.772,14:53,NA,10/5/17,9/25/17,4,Haw,Simulated Overwintering,4o1,B4
2,orange,Ferris,11.734,,NA,10/5/17,9/25/17,4,Haw,RT eclosion,4o2,F4
3,orange,Ferris,7.285,,NA,10/5/17,9/25/17,4,Haw,RT eclosion,4o3,A7
4,orange,Ferris,4.791,,NA,10/5/17,9/25/17,4,Haw,RT eclosion,4o4,B11
5,orange,Ferris,12.79,,NA,10/5/17,9/25/17,4,Haw,Simulated Overwintering,4o5,G12
6,orange,Ferris,7.705,,NA,10/5/17,9/25/17,4,Haw,genetic control,4o6,
7,orange,Ferris,11.984,,NA,10/5/17,9/25/17,4,Haw,Simulated Overwintering,4o7,B11
8,orange,Ferris,7.765,,NA,10/5/17,9/25/17,4,Haw,Simulated Overwintering,4o8,G1
9,orange,Ferris,8.637,,NA,10/5/17,9/25/17,4,Haw,RT eclosion,4o9,B1
10,orange,Ferris,6.4,,NA,10/5/17,9/25/17,4,Haw,RT eclosion,4o10,E3
11,orange,Ferris,8.865,,NA,10/5/17,9/25/17,4,Haw,genetic control,4o11,
12,orange,Ferris,10.105,,NA,10/5/17,9/25/17,4,Haw,genetic control,4o12,
13,orange,Ferris,9.015,,NA,10/5/17,9/25/17,4,Haw,RT eclosion,4o13,D10
14,orange,Ferris,12.52,,NA,10/5/17,9/25/17,4,Haw,RT eclosion,4o14,E2
15,orange,Ferris,6.841,,NA,10/5/17,9/25/17,4,Haw,RT eclosion,4o15,B3
16,orange,Ferris,7.067,,NA,10/5/17,9/25/17,4,Haw,Simulated Overwintering,4o16,C12
17,orange,Ferris,8.053,,NA,10/5/17,9/25/17,4,Haw,RT eclosion,4o17,E10
18,orange,Ferris,10.236,,NA,10/5/17,9/25/17,4,Haw,RT eclosion,4o18,C9
19,orange,Ferris,7.147,,NA,10/5/17,9/25/17,4,Haw,Simulated Overwintering,4o19,C10
20,orange,Ferris,11.042,,NA,10/5/17,9/25/17,4,Haw,genetic control,4o20,
21,orange,Ferris,8.689,,NA,10/5/17,9/25/17,4,Haw,Simulated Overwintering,4o21,B5
22,orange,Ferris,11.76,,NA,10/5/17,9/25/17,4,Haw,RT eclosion,4o22,F11
23,orange,Ferris,5.371,,NA,10/5/17,9/25/17,4,Haw,genetic control,4o23,
24,orange,Ferris,7.481,,NA,10/5/17,9/25/17,4,Haw,Simulated Overwintering,4o24,G6
25,orange,Ferris,10.121,,NA,10/5/17,9/25/17,4,Haw,Simulated Overwintering,4o25,C2
26,orange,blank,NA,,NA,10/5/17,9/25/17,4,Haw,Simulated Overwintering,4o26,G8
27,orange,blank,NA,15:05,NA,10/5/17,9/25/17,4,Haw,Simulated Overwintering,4o27,D8
