Ind_ID,tape,Site_name,mass_day10,purge_time_1,day10,cohort_date,cohort_day,Host,Li-cor_1
50,red,Ferris,12.337,9:51,2017-10-08,2017-09-28,7,Haw,7000
51,red,Ferris,9.22,,2017-10-08,2017-09-28,7,Haw,7000
52,red,Ferris,8.228,,2017-10-08,2017-09-28,7,Haw,7000
53,red,Ferris,8.862,,2017-10-08,2017-09-28,7,Haw,7000
54,red,Ferris,4.366,,2017-10-08,2017-09-28,7,Haw,7000
55,red,Ferris,5.735,,2017-10-08,2017-09-28,7,Haw,7000
56,red,Ferris,9.266,,2017-10-08,2017-09-28,7,Haw,7000
57,red,Ferris,7.85,,2017-10-08,2017-09-28,7,Haw,7000
58,red,Ferris,16.09,,2017-10-08,2017-09-28,7,Haw,7000
59,red,Ferris,11.249,,2017-10-08,2017-09-28,7,Haw,7000
60,red,Ferris,11.035,,2017-10-08,2017-09-28,7,Haw,7000
61,red,Ferris,11.191,,2017-10-08,2017-09-28,7,Haw,7000
62,red,Ferris,10.058,,2017-10-08,2017-09-28,7,Haw,7000
63,red,Ferris,6.409,,2017-10-08,2017-09-28,7,Haw,7000
64,red,Ferris,10.208,,2017-10-08,2017-09-28,7,Haw,7000
65,red,Ferris,11.832,,2017-10-08,2017-09-28,7,Haw,7000
66,red,Ferris,10.712,,2017-10-08,2017-09-28,7,Haw,7000
67,red,Blank,,,2017-10-08,2017-09-28,7,Haw,7000
68,red,Blank,,9:54,2017-10-08,2017-09-28,7,Haw,7000
50,orange,Ferris,7.641,9:46,2017-10-08,2017-09-28,7,Haw,6262
51,orange,Ferris,8.64,,2017-10-08,2017-09-28,7,Haw,6262
52,orange,Ferris,10.795,,2017-10-08,2017-09-28,7,Haw,6262
53,orange,Ferris,12.144,,2017-10-08,2017-09-28,7,Haw,6262
54,orange,Ferris,10.4,,2017-10-08,2017-09-28,7,Haw,6262
55,orange,Ferris,9.113,,2017-10-08,2017-09-28,7,Haw,6262
56,orange,Ferris,7.627,,2017-10-08,2017-09-28,7,Haw,6262
57,orange,Ferris,8.497,,2017-10-08,2017-09-28,7,Haw,6262
58,orange,Ferris,5.32,,2017-10-08,2017-09-28,7,Haw,6262
59,orange,Ferris,8.143,,2017-10-08,2017-09-28,7,Haw,6262
60,orange,Ferris,12.58,,2017-10-08,2017-09-28,7,Haw,6262
61,orange,Ferris,4.849,,2017-10-08,2017-09-28,7,Haw,6262
62,orange,Ferris,8.752,,2017-10-08,2017-09-28,7,Haw,6262
63,orange,Ferris,8.54,,2017-10-08,2017-09-28,7,Haw,6262
64,orange,Ferris,12.755,,2017-10-08,2017-09-28,7,Haw,6262
65,orange,Ferris,10.115,,2017-10-08,2017-09-28,7,Haw,6262
66,orange,Blank,,,2017-10-08,2017-09-28,7,Haw,6262
67,orange,Blank,,9:50,2017-10-08,2017-09-28,7,Haw,6262
