Ind_ID,tape,Site_name,mass_day10,purge_time_1,purge1,day10,cohort_date,cohort_day,Host
1,blue,Ferris,11.174,11:03,,2017-10-11,2017-10-01,10,Haw
2,blue,Ferris,8.154,,,2017-10-11,2017-10-01,10,Haw
3,blue,Ferris,7.064,,,2017-10-11,2017-10-01,10,Haw
4,blue,Ferris,11.898,,,2017-10-11,2017-10-01,10,Haw
5,blue,Ferris,11.943,,,2017-10-11,2017-10-01,10,Haw
6,blue,Ferris,9.698,,,2017-10-11,2017-10-01,10,Haw
1,red,Ferris,11.77,11:06,,2017-10-11,2017-10-01,10,Haw
2,red,Ferris,9.656,,,2017-10-11,2017-10-01,10,Haw
3,red,Ferris,7.065,,,2017-10-11,2017-10-01,10,Haw
4,red,Ferris,9.067,,,2017-10-11,2017-10-01,10,Haw
5,red,Ferris,7.709,,,2017-10-11,2017-10-01,10,Haw
