"","Ind_ID","tape","Site_name","mass","purge_time","day10","cohort_date","cohort_day","Host","rando_assign","uniqueID"
"1",1,"blue","OG",6.938,"13:38","2017-09-04","2017-08-25",2,"Apple","Simulated Overwintering","2b1"
"6",6,"blue","OG",7.576,"13:37","2017-09-04","2017-08-25",2,"Apple","Simulated Overwintering","2b6"
"7",7,"blue","OG",6.413,"13:35","2017-09-04","2017-08-25",2,"Apple","Simulated Overwintering","2b7"
"9",9,"blue","Ferris",7.978,"13:41","2017-09-04","2017-08-25",2,"Apple","Simulated Overwintering","2b9"
"13",13,"blue","Ferris",9.778,"13:48","2017-09-04","2017-08-25",2,"Apple","Simulated Overwintering","2b13"
"15",15,"blue","OG",6.244,"13:35","2017-09-04","2017-08-25",2,"Apple","Simulated Overwintering","2b15"
"19",19,"blue","Ferris",6.197,"13:49","2017-09-04","2017-08-25",2,"Apple","Simulated Overwintering","2b19"
"23",24,"blue","OG",9.277,"13:37","2017-09-04","2017-08-25",2,"Apple","Simulated Overwintering","2b24"
"26",27,"blue","OG",9.073,"13:46","2017-09-04","2017-08-25",2,"Apple","Simulated Overwintering","2b27"
"33",34,"blue","Ferris",10.293,"13:53","2017-09-04","2017-08-25",2,"Apple","Simulated Overwintering","2b34"
"37",38,"blue","Ferris",10.935,"13:56","2017-09-04","2017-08-25",2,"Apple","Simulated Overwintering","2b38"
"40",41,"blue","OG",4.791,"13:29","2017-09-04","2017-08-25",2,"Apple","Simulated Overwintering","2b41"
"41",42,"blue","OG",6.462,"13:25","2017-09-04","2017-08-25",2,"Apple","Simulated Overwintering","2b42"
"44",45,"blue","Blank",NA,"13:05","2017-09-04","2017-08-25",2,"Apple","Simulated Overwintering","2b45"
"45",46,"blue","Ferris",11.206,"13:57","2017-09-04","2017-08-25",2,"Apple","Simulated Overwintering","2b46"
"46",47,"blue","Ferris",9.633,"13:50","2017-09-04","2017-08-25",2,"Apple","Simulated Overwintering","2b47"
"47",48,"blue","OG",5.221,"13:27","2017-09-04","2017-08-25",2,"Apple","Simulated Overwintering","2b48"
"48",49,"blue","OG",7.668,"13:26","2017-09-04","2017-08-25",2,"Apple","Simulated Overwintering","2b49"
"50",1,"red","Ferris",9.945,"13:10","2017-09-04","2017-08-25",2,"Apple","Simulated Overwintering","2r1"
"52",3,"red","Ferris",9.354,"13:11","2017-09-04","2017-08-25",2,"Apple","Simulated Overwintering","2r3"
"53",4,"red","OG",14.863,"13:06","2017-09-04","2017-08-25",2,"Apple","Simulated Overwintering","2r4"
"55",6,"red","OG",5.899,"13:08","2017-09-04","2017-08-25",2,"Apple","Simulated Overwintering","2r6"
"58",9,"red","Ferris",6.611,"13:13","2017-09-04","2017-08-25",2,"Apple","Simulated Overwintering","2r9"
"60",11,"red","Ferris",10.783,"13:13","2017-09-04","2017-08-25",2,"Apple","Simulated Overwintering","2r11"
"61",12,"red","OG",8.69,"13:07","2017-09-04","2017-08-25",2,"Apple","Simulated Overwintering","2r12"
"64",15,"red","OG",6.767,"13:05","2017-09-04","2017-08-25",2,"Apple","Simulated Overwintering","2r15"
"65",16,"red","Ferris",10.024,"13:08","2017-09-04","2017-08-25",2,"Apple","Simulated Overwintering","2r16"
"66",17,"red","OG",9.136,"13:07","2017-09-04","2017-08-25",2,"Apple","Simulated Overwintering","2r17"
"67",18,"red","OG",4.34,"13:37","2017-09-04","2017-08-25",2,"Apple","Simulated Overwintering","2r18"
"68",19,"red","Ferris",7.72,"13:16","2017-09-04","2017-08-25",2,"Apple","Simulated Overwintering","2r19"
"69",22,"red","OG",8.615,"13:18","2017-09-04","2017-08-25",2,"Apple","Simulated Overwintering","2r22"
"76",29,"red","OG",8.172,"12:56","2017-09-04","2017-08-25",2,"Apple","Simulated Overwintering","2r29"
"81",34,"red","OG",7.887,"13:06","2017-09-04","2017-08-25",2,"Apple","Simulated Overwintering","2r34"
"82",35,"red","Ferris",10.409,"13:23","2017-09-04","2017-08-25",2,"Apple","Simulated Overwintering","2r35"
"84",37,"red","OG",7.945,"12:55","2017-09-04","2017-08-25",2,"Apple","Simulated Overwintering","2r37"
"89",45,"red","Blank",NA,"13:03","2017-09-04","2017-08-25",2,"Apple","Simulated Overwintering","2r45"
