Ind_ID,tape,Site_name,mass_day10,purge_time,day10,cohort_date,cohort_day,Host,Li-cor,
1,orange,Milford,8.233,17:37,2017-09-05,2017-08-26,3,Haw,7000,
2,orange,Coll Hall,4.662,17:37,2017-09-05,2017-08-26,3,Haw,7000,
3,orange,Coll Hall,8.255,17:36,2017-09-05,2017-08-26,3,Haw,7000,
4,orange,Grant,8.192,17:36,2017-09-05,2017-08-26,3,Apple,7000,
5,orange,Grant,5.664,17:36,2017-09-05,2017-08-26,3,Apple,7000,
6,orange,Grant,10.106,17:35,2017-09-05,2017-08-26,3,Apple,7000,
7,orange,Grant,5.501,17:35,2017-09-05,2017-08-26,3,Apple,7000,
8,orange,Grant,7.125,17:35,2017-09-05,2017-08-26,3,Apple,7000,
9,orange,Grant,10.414,17:34,2017-09-05,2017-08-26,3,Apple,7000,
10,orange,Grant,7.27,17:34,2017-09-05,2017-08-26,3,Apple,7000,
11,orange,Grant,9.005,17:34,2017-09-05,2017-08-26,3,Apple,7000,
12,orange,Grant,7.24,17:33,2017-09-05,2017-08-26,3,Apple,7000,
13,orange,Grant,8.865,17:33,2017-09-05,2017-08-26,3,Apple,7000,
14,orange,Grant,7.353,17:33,2017-09-05,2017-08-26,3,Apple,7000,
15,orange,Grant,7.337,17:33,2017-09-05,2017-08-26,3,Apple,7000,
16,orange,Grant,7.123,17:32,2017-09-05,2017-08-26,3,Apple,7000,
17,orange,Grant,9.748,17:32,2017-09-05,2017-08-26,3,Apple,7000,
18,orange,Grant,7.339,17:31,2017-09-05,2017-08-26,3,Apple,7000,
19,orange,Grant,6.921,17:31,2017-09-05,2017-08-26,3,Apple,7000,
20,orange,Grant,6.639,17:31,2017-09-05,2017-08-26,3,Apple,7000,
21,orange,Grant,7.676,17:30,2017-09-05,2017-08-26,3,Apple,7000,
22,orange,Grant,8.801,17:30,2017-09-05,2017-08-26,3,Apple,7000,
23,orange,Grant,7.129,17:30,2017-09-05,2017-08-26,3,Apple,7000,
24,orange,Grant,9.224,17:29,2017-09-05,2017-08-26,3,Apple,7000,
25,orange,Grant,6.509,17:29,2017-09-05,2017-08-26,3,Apple,7000,
26,orange,Grant,7.187,17:28,2017-09-05,2017-08-26,3,Apple,7000,
27,orange,Grant,8.317,17:28,2017-09-05,2017-08-26,3,Apple,7000,
28,orange,Grant,6.223,17:28,2017-09-05,2017-08-26,3,Apple,7000,
29,orange,Grant,8.311,17:27,2017-09-05,2017-08-26,3,Apple,7000,
30,orange,Grant,7.496,17:27,2017-09-05,2017-08-26,3,Apple,7000,
31,orange,Grant,9.142,17:27,2017-09-05,2017-08-26,3,Apple,7000,
32,orange,Grant,7.273,17:26,2017-09-05,2017-08-26,3,Apple,7000,
33,orange,Grant,11.64,17:26,2017-09-05,2017-08-26,3,Apple,7000,
34,orange,Grant,8.93,17:26,2017-09-05,2017-08-26,3,Apple,7000,
35,orange,Grant,6.876,17:25,2017-09-05,2017-08-26,3,Apple,7000,
36,orange,Grant,9.334,17:25,2017-09-05,2017-08-26,3,Apple,7000,
37,orange,Grant,6.487,17:24,2017-09-05,2017-08-26,3,Apple,7000,
38,orange,Ferris,7.319,17:23,2017-09-05,2017-08-26,3,Apple,7000,
39,orange,Ferris,7.829,17:22,2017-09-05,2017-08-26,3,Apple,7000,
40,orange,Ferris,7.376,17:21,2017-09-05,2017-08-26,3,Apple,7000,
41,orange,Ferris,8.723,17:21,2017-09-05,2017-08-26,3,Apple,7000,
42,orange,Ferris,6.144,17:21,2017-09-05,2017-08-26,3,Apple,7000,
43,orange,Ferris,7.239,17:20,2017-09-05,2017-08-26,3,Apple,7000,
44,orange,Ferris,11.208,17:20,2017-09-05,2017-08-26,3,Apple,7000,
45,orange,Ferris,6.434,17:20,2017-09-05,2017-08-26,3,Apple,7000,
46,orange,Ferris,10.91,17:19,2017-09-05,2017-08-26,3,Apple,7000,
47,orange,Ferris,7.145,17:19,2017-09-05,2017-08-26,3,Apple,7000,
