Ind_ID,tape,Site_name,mass_day10,purge_time,day10,cohort_date,cohort_day,Host,Li.cor,rando_assign,uniqueID
2,orange,Coll Hall,4.662,17:37,9/5/17,8/26/17,3,Haw,7000,Simulated Overwintering,3o2
3,orange,Coll Hall,8.255,17:36,9/5/17,8/26/17,3,Haw,7000,Simulated Overwintering,3o3
5,orange,Grant,5.664,17:36,9/5/17,8/26/17,3,Apple,7000,Simulated Overwintering,3o5
7,orange,Grant,5.501,17:35,9/5/17,8/26/17,3,Apple,7000,Simulated Overwintering,3o7
10,orange,Grant,7.27,17:34,9/5/17,8/26/17,3,Apple,7000,Simulated Overwintering,3o10
13,orange,Grant,8.865,17:33,9/5/17,8/26/17,3,Apple,7000,Simulated Overwintering,3o13
16,orange,Grant,7.123,17:32,9/5/17,8/26/17,3,Apple,7000,Simulated Overwintering,3o16
17,orange,Grant,9.748,17:32,9/5/17,8/26/17,3,Apple,7000,Simulated Overwintering,3o17
20,orange,Grant,6.639,17:31,9/5/17,8/26/17,3,Apple,7000,Simulated Overwintering,3o20
21,orange,Grant,7.676,17:30,9/5/17,8/26/17,3,Apple,7000,Simulated Overwintering,3o21
23,orange,Grant,7.129,17:30,9/5/17,8/26/17,3,Apple,7000,Simulated Overwintering,3o23
24,orange,Grant,9.224,17:29,9/5/17,8/26/17,3,Apple,7000,Simulated Overwintering,3o24
25,orange,Grant,6.509,17:29,9/5/17,8/26/17,3,Apple,7000,Simulated Overwintering,3o25
28,orange,Grant,6.223,17:28,9/5/17,8/26/17,3,Apple,7000,Simulated Overwintering,3o28
29,orange,Grant,8.311,17:27,9/5/17,8/26/17,3,Apple,7000,Simulated Overwintering,3o29
31,orange,Grant,9.142,17:27,9/5/17,8/26/17,3,Apple,7000,Simulated Overwintering,3o31
33,orange,Grant,11.64,17:26,9/5/17,8/26/17,3,Apple,7000,Simulated Overwintering,3o33
34,orange,Grant,8.93,17:26,9/5/17,8/26/17,3,Apple,7000,Simulated Overwintering,3o34
35,orange,Grant,6.876,17:25,9/5/17,8/26/17,3,Apple,7000,Simulated Overwintering,3o35
39,orange,Ferris,7.829,17:22,9/5/17,8/26/17,3,Apple,7000,Simulated Overwintering,3o39
44,orange,Ferris,11.208,17:20,9/5/17,8/26/17,3,Apple,7000,Simulated Overwintering,3o44
46,orange,Ferris,10.91,17:19,9/5/17,8/26/17,3,Apple,7000,Simulated Overwintering,3o46
50,orange,Ferris,4.993,17:18,9/5/17,8/26/17,3,Apple,7000,Simulated Overwintering,3o50
54,orange,Ferris,7.236,16:52,9/5/17,8/26/17,3,Apple,7000,Simulated Overwintering,3o54
56,orange,Ferris,10.727,16:51,9/5/17,8/26/17,3,Apple,7000,Simulated Overwintering,3o56
1,white,Milford,12.129,17:17,9/5/17,8/26/17,3,Haw,6262,Simulated Overwintering,3w1
5,white,Grant,4.908,17:16,9/5/17,8/26/17,3,Apple,6262,Simulated Overwintering,3w5
8,white,Grant,5.657,17:15,9/5/17,8/26/17,3,Apple,6262,Simulated Overwintering,3w8
13,white,Grant,6.622,17:11,9/5/17,8/26/17,3,Apple,6262,Simulated Overwintering,3w13
14,white,Grant,9.016,17:11,9/5/17,8/26/17,3,Apple,6262,Simulated Overwintering,3w14
16,white,Grant,4.76,17:10,9/5/17,8/26/17,3,Apple,6262,Simulated Overwintering,3w16
17,white,Grant,8.239,17:10,9/5/17,8/26/17,3,Apple,6262,Simulated Overwintering,3w17
18,white,Grant,6.416,17:10,9/5/17,8/26/17,3,Apple,6262,Simulated Overwintering,3w18
19,white,Grant,8.667,17:09,9/5/17,8/26/17,3,Apple,6262,Simulated Overwintering,3w19
21,white,Grant,6.143,17:08,9/5/17,8/26/17,3,Apple,6262,Simulated Overwintering,3w21
23,white,Grant,9.798,17:07,9/5/17,8/26/17,3,Apple,6262,Simulated Overwintering,3w23
27,white,Grant,7.119,17:05,9/5/17,8/26/17,3,Apple,6262,Simulated Overwintering,3w27
31,white,Grant,8.536,17:04,9/5/17,8/26/17,3,Apple,6262,Simulated Overwintering,3w31
33,white,Grant,10.011,17:03,9/5/17,8/26/17,3,Apple,6262,Simulated Overwintering,3w33
34,white,Grant,7.234,17:02,9/5/17,8/26/17,3,Apple,6262,Simulated Overwintering,3w34
40,white,Ferris,6.519,17:00,9/5/17,8/26/17,3,Apple,6262,Simulated Overwintering,3w40
46,white,Ferris,6.815,16:57,9/5/17,8/26/17,3,Apple,6262,Simulated Overwintering,3w46
48,white,Ferris,8.437,16:55,9/5/17,8/26/17,3,Apple,6262,Simulated Overwintering,3w48
49,white,Ferris,6.803,16:55,9/5/17,8/26/17,3,Apple,6262,Simulated Overwintering,3w49
52,white,Ferris,7.8,16:48,9/5/17,8/26/17,3,Apple,6262,Simulated Overwintering,3w52
53,white,Ferris,10.017,16:48,9/5/17,8/26/17,3,Apple,6262,Simulated Overwintering,3w53
56,white,Ferris,6.346,16:47,9/5/17,8/26/17,3,Apple,6262,Simulated Overwintering,3w56
