"","Ind_ID","tape","Site_name","mass_day10","purge_time","day10","cohort_date","cohort_day","Host","Li_Cor","rando_assign","uniqueID"
"1",1,"orange","Grant",8.076,"13:16","2017-09-06","2017-08-27",4,"Apple",6262,"RT eclosion","4o1"
"5",5,"orange","Grant",9.604,"","2017-09-06","2017-08-27",4,"Apple",6262,"RT eclosion","4o5"
"7",7,"orange","Grant",11.077,"","2017-09-06","2017-08-27",4,"Apple",6262,"RT eclosion","4o7"
"9",9,"orange","Grant",9.294,"","2017-09-06","2017-08-27",4,"Apple",6262,"RT eclosion","4o9"
"12",12,"orange","Grant",5.933,"","2017-09-06","2017-08-27",4,"Apple",6262,"RT eclosion","4o12"
"13",13,"orange","Grant",7.302,"","2017-09-06","2017-08-27",4,"Apple",6262,"RT eclosion","4o13"
"15",15,"orange","Ferris",6.418,"","2017-09-06","2017-08-27",4,"Apple",6262,"RT eclosion","4o15"
"16",16,"orange","Grant",11.73,"","2017-09-06","2017-08-27",4,"Apple",6262,"RT eclosion","4o16"
"17",17,"orange","Ferris",6.539,"","2017-09-06","2017-08-27",4,"Apple",6262,"RT eclosion","4o17"
"18",18,"orange","Feris",8.575,"","2017-09-06","2017-08-27",4,"Apple",6262,"RT eclosion","4o18"
"21",21,"orange","Ferris",11.336,"","2017-09-06","2017-08-27",4,"Apple",6262,"RT eclosion","4o21"
"24",24,"orange","Ferris",7.705,"","2017-09-06","2017-08-27",4,"Apple",6262,"RT eclosion","4o24"
"25",25,"orange","Ferris",9.056,"","2017-09-06","2017-08-27",4,"Apple",6262,"RT eclosion","4o25"
"27",27,"orange","Grant",9.192,"","2017-09-06","2017-08-27",4,"Apple",6262,"RT eclosion","4o27"
"31",31,"orange","Ferris",4.979,"","2017-09-06","2017-08-27",4,"Apple",6262,"RT eclosion","4o31"
"34",34,"orange","Coll Hall",4.954,"","2017-09-06","2017-08-27",4,"Haw",6262,"RT eclosion","4o34"
"37",37,"orange","Ferris",6.543,"","2017-09-06","2017-08-27",4,"Apple",6262,"RT eclosion","4o37"
"38",38,"orange","Ferris",11.107,"","2017-09-06","2017-08-27",4,"Apple",6262,"RT eclosion","4o38"
"39",39,"orange","Ferris",10.968,"","2017-09-06","2017-08-27",4,"Apple",6262,"RT eclosion","4o39"
"41",41,"orange","Grant",8.159,"","2017-09-06","2017-08-27",4,"Apple",6262,"RT eclosion","4o41"
"45",45,"orange","Grant",5.849,"","2017-09-06","2017-08-27",4,"Apple",6262,"RT eclosion","4o45"
"50",50,"orange","Grant",8.588,"","2017-09-06","2017-08-27",4,"Apple",6262,"RT eclosion","4o50"
"52",52,"orange","Ferris",9.771,"","2017-09-06","2017-08-27",4,"Apple",7000,"RT eclosion","4o52"
"53",53,"orange","Ferris",12.332,"","2017-09-06","2017-08-27",4,"Apple",7000,"RT eclosion","4o53"
"54",54,"orange","Grant",4.355,"","2017-09-06","2017-08-27",4,"Apple",7000,"RT eclosion","4o54"
"55",55,"orange","Grant",6.425,"","2017-09-06","2017-08-27",4,"Apple",7000,"RT eclosion","4o55"
"56",56,"orange","Ferris",8.983,"","2017-09-06","2017-08-27",4,"Apple",7000,"RT eclosion","4o56"
"59",59,"orange","Grant",9.877,"","2017-09-06","2017-08-27",4,"Apple",7000,"RT eclosion","4o59"
"60",60,"orange","Grant",7.102,"","2017-09-06","2017-08-27",4,"Apple",7000,"RT eclosion","4o60"
"61",61,"orange","Grant",6.797,"","2017-09-06","2017-08-27",4,"Apple",7000,"RT eclosion","4o61"
"63",63,"orange","Grant",4.953,"","2017-09-06","2017-08-27",4,"Apple",7000,"RT eclosion","4o63"
"64",64,"orange","Grant",5.019,"","2017-09-06","2017-08-27",4,"Apple",7000,"RT eclosion","4o64"
"70",70,"orange","Grant",5.651,"","2017-09-06","2017-08-27",4,"Apple",7000,"RT eclosion","4o70"
"73",73,"orange","Ferris",7.45,"","2017-09-06","2017-08-27",4,"Apple",7000,"RT eclosion","4o73"
"74",74,"orange","Ferris",7.601,"","2017-09-06","2017-08-27",4,"Apple",7000,"RT eclosion","4o74"
"76",76,"orange","Ferris",11.574,"","2017-09-06","2017-08-27",4,"Apple",7000,"RT eclosion","4o76"
"77",77,"orange","blank",NA,"","2017-09-06","2017-08-27",4,"Apple",7000,"RT eclosion","4o77"
"79",1,"white","Ferris",5.593,"","2017-09-06","2017-08-27",4,"Apple",7000,"RT eclosion","4w1"
"87",9,"white","Ferris",9.143,"","2017-09-06","2017-08-27",4,"Apple",7000,"RT eclosion","4w9"
"88",10,"white","Grant",11.636,"","2017-09-06","2017-08-27",4,"Apple",7000,"RT eclosion","4w10"
"93",15,"white","Grant",9.457,"","2017-09-06","2017-08-27",4,"Apple",7000,"RT eclosion","4w15"
"96",18,"white","Grant",9.372,"","2017-09-06","2017-08-27",4,"Apple",7000,"RT eclosion","4w18"
"102",24,"white","Ferris",7.134,"","2017-09-06","2017-08-27",4,"Apple",7000,"RT eclosion","4w24"
"104",26,"white","Grant",8.105,"","2017-09-06","2017-08-27",4,"Apple",7000,"RT eclosion","4w26"
"105",27,"white","Grant",5.537,"","2017-09-06","2017-08-27",4,"Apple",7000,"RT eclosion","4w27"
"108",30,"white","Grant",6.602,"","2017-09-06","2017-08-27",4,"Apple",7000,"RT eclosion","4w30"
"113",35,"white","Ferris",11.969,"","2017-09-06","2017-08-27",4,"Apple",7000,"RT eclosion","4w35"
"114",36,"white","Grant",7.553,"","2017-09-06","2017-08-27",4,"Apple",7000,"RT eclosion","4w36"
"115",37,"white","Grant",6.565,"","2017-09-06","2017-08-27",4,"Apple",7000,"RT eclosion","4w37"
"116",38,"white","Milford",11.624,"","2017-09-06","2017-08-27",4,"Haw",7000,"RT eclosion","4w38"
"123",45,"white","Grant",9.453,"","2017-09-06","2017-08-27",4,"Apple",7000,"RT eclosion","4w45"
"124",46,"white","Grant",6.458,"","2017-09-06","2017-08-27",4,"Apple",7000,"RT eclosion","4w46"
"129",51,"white","Grant",11.131,"","2017-09-06","2017-08-27",4,"Apple",6262,"RT eclosion","4w51"
"133",55,"white","Grant",10.858,"","2017-09-06","2017-08-27",4,"Apple",6262,"RT eclosion","4w55"
"134",56,"white","Ferris",7.307,"","2017-09-06","2017-08-27",4,"Apple",6262,"RT eclosion","4w56"
"138",60,"white","Ferris",7.82,"","2017-09-06","2017-08-27",4,"Apple",6262,"RT eclosion","4w60"
"142",64,"white","Grant",6.55,"","2017-09-06","2017-08-27",4,"Apple",6262,"RT eclosion","4w64"
"144",66,"white","Ferris",7.29,"","2017-09-06","2017-08-27",4,"Apple",6262,"RT eclosion","4w66"
"146",68,"white","Ferris",6.56,"","2017-09-06","2017-08-27",4,"Apple",6262,"RT eclosion","4w68"
"147",69,"white","Ferris",8.47,"","2017-09-06","2017-08-27",4,"Apple",6262,"RT eclosion","4w69"
"152",74,"white","Ferris",7.682,"","2017-09-06","2017-08-27",4,"Apple",6262,"RT eclosion","4w74"
"154",76,"white","Grant",6.545,"","2017-09-06","2017-08-27",4,"Apple",6262,"RT eclosion","4w76"
