"","Ind_ID","tape","Site_name","mass_day10","purge_time","day10","cohort_date","cohort_day","Host","Li_Cor","rando_assign","uniqueID"
"2",2,"orange","Grant",6.901,"","2017-09-06","2017-08-27",4,"Apple",6262,"Simulated Overwintering","4o2"
"3",3,"orange","Ferris",9.239,"","2017-09-06","2017-08-27",4,"Apple",6262,"Simulated Overwintering","4o3"
"8",8,"orange","Coll Hall",7.369,"","2017-09-06","2017-08-27",4,"Haw",6262,"Simulated Overwintering","4o8"
"20",20,"orange","Ferris",7.302,"","2017-09-06","2017-08-27",4,"Apple",6262,"Simulated Overwintering","4o20"
"22",22,"orange","Milford",8.009,"","2017-09-06","2017-08-27",4,"Haw",6262,"Simulated Overwintering","4o22"
"23",23,"orange","Ferris",6.264,"","2017-09-06","2017-08-27",4,"Apple",6262,"Simulated Overwintering","4o23"
"28",28,"orange","Ferris",6.21,"","2017-09-06","2017-08-27",4,"Apple",6262,"Simulated Overwintering","4o28"
"32",32,"orange","Ferris",7.545,"","2017-09-06","2017-08-27",4,"Apple",6262,"Simulated Overwintering","4o32"
"33",33,"orange","Ferris",8.081,"","2017-09-06","2017-08-27",4,"Apple",6262,"Simulated Overwintering","4o33"
"40",40,"orange","Grant",8.055,"","2017-09-06","2017-08-27",4,"Apple",6262,"Simulated Overwintering","4o40"
"42",42,"orange","Grant",6.89,"","2017-09-06","2017-08-27",4,"Apple",6262,"Simulated Overwintering","4o42"
"43",43,"orange","Ferris",7.157,"","2017-09-06","2017-08-27",4,"Apple",6262,"Simulated Overwintering","4o43"
"46",46,"orange","Ferris",6.839,"","2017-09-06","2017-08-27",4,"Apple",6262,"Simulated Overwintering","4o46"
"47",47,"orange","Grant",10.324,"","2017-09-06","2017-08-27",4,"Apple",6262,"Simulated Overwintering","4o47"
"49",49,"orange","Grant",7.085,"","2017-09-06","2017-08-27",4,"Apple",6262,"Simulated Overwintering","4o49"
"57",57,"orange","Ferris",10.964,"","2017-09-06","2017-08-27",4,"Apple",7000,"Simulated Overwintering","4o57"
"58",58,"orange","Ferris",8.766,"","2017-09-06","2017-08-27",4,"Apple",7000,"Simulated Overwintering","4o58"
"62",62,"orange","Grant",6.473,"","2017-09-06","2017-08-27",4,"Apple",7000,"Simulated Overwintering","4o62"
"66",66,"orange","Ferris",11.72,"","2017-09-06","2017-08-27",4,"Apple",7000,"Simulated Overwintering","4o66"
"68",68,"orange","Ferris",9.328,"","2017-09-06","2017-08-27",4,"Apple",7000,"Simulated Overwintering","4o68"
"69",69,"orange","Ferris",4.12,"","2017-09-06","2017-08-27",4,"Apple",7000,"Simulated Overwintering","4o69"
"71",71,"orange","Grant",8.96,"","2017-09-06","2017-08-27",4,"Apple",7000,"Simulated Overwintering","4o71"
"72",72,"orange","Grant",6.383,"","2017-09-06","2017-08-27",4,"Apple",7000,"Simulated Overwintering","4o72"
"75",75,"orange","Ferris",9.174,"","2017-09-06","2017-08-27",4,"Apple",7000,"Simulated Overwintering","4o75"
"78",78,"orange","blank",NA,"","2017-09-06","2017-08-27",4,"Apple",7000,"Simulated Overwintering","4o78"
"81",3,"white","Grant",9.318,"","2017-09-06","2017-08-27",4,"Apple",7000,"Simulated Overwintering","4w3"
"84",6,"white","Ferris",5.603,"","2017-09-06","2017-08-27",4,"Apple",7000,"Simulated Overwintering","4w6"
"94",16,"white","Ferris",5.552,"","2017-09-06","2017-08-27",4,"Apple",7000,"Simulated Overwintering","4w16"
"95",17,"white","Grant",4.518,"","2017-09-06","2017-08-27",4,"Apple",7000,"Simulated Overwintering","4w17"
"98",20,"white","Ferris",7.325,"","2017-09-06","2017-08-27",4,"Apple",7000,"Simulated Overwintering","4w20"
"100",22,"white","Grant",6.182,"","2017-09-06","2017-08-27",4,"Apple",7000,"Simulated Overwintering","4w22"
"106",28,"white","Ferris",9.959,"","2017-09-06","2017-08-27",4,"Apple",7000,"Simulated Overwintering","4w28"
"107",29,"white","Grant",5.158,"","2017-09-06","2017-08-27",4,"Apple",7000,"Simulated Overwintering","4w29"
"117",39,"white","Grant",8.246,"","2017-09-06","2017-08-27",4,"Apple",7000,"Simulated Overwintering","4w39"
"119",41,"white","Ferris",9.137,"","2017-09-06","2017-08-27",4,"Apple",7000,"Simulated Overwintering","4w41"
"120",42,"white","Grant",3.612,"","2017-09-06","2017-08-27",4,"Apple",7000,"Simulated Overwintering","4w42"
"122",44,"white","Grant",8.837,"","2017-09-06","2017-08-27",4,"Apple",7000,"Simulated Overwintering","4w44"
"127",49,"white","Grant",7.886,"","2017-09-06","2017-08-27",4,"Apple",7000,"Simulated Overwintering","4w49"
"128",50,"white","Milford",11.759,"","2017-09-06","2017-08-27",4,"Haw",7000,"Simulated Overwintering","4w50"
"131",53,"white","Grant",4.484,"","2017-09-06","2017-08-27",4,"Apple",6262,"Simulated Overwintering","4w53"
"136",58,"white","Grant",4.992,"","2017-09-06","2017-08-27",4,"Apple",6262,"Simulated Overwintering","4w58"
"140",62,"white","Ferris",8.896,"","2017-09-06","2017-08-27",4,"Apple",6262,"Simulated Overwintering","4w62"
"141",63,"white","Grant",5.974,"","2017-09-06","2017-08-27",4,"Apple",6262,"Simulated Overwintering","4w63"
