,Ind_ID,tape,Site_name,mass_day10,purge_time,day10,cohort_date,cohort_day,Host,rando_assign,uniqueID
3,3,white,Grant,6.251,,2017-08-07,2017-08-28,5,Apple,genetic control,5w3
10,10,white,Grant,8.285,,2017-08-07,2017-08-28,5,Apple,genetic control,5w10
12,12,white,Ferris,6.878,,2017-08-07,2017-08-28,5,Apple,genetic control,5w12
14,14,white,Ferris,6.323,,2017-08-07,2017-08-28,5,Apple,genetic control,5w14
18,18,white,Ferris,8.383,,2017-08-07,2017-08-28,5,Apple,genetic control,5w18
19,19,white,Grant,5.575,,2017-08-07,2017-08-28,5,Apple,genetic control,5w19
28,28,white,Ferris,6.663,,2017-08-07,2017-08-28,5,Apple,genetic control,5w28
32,32,white,Grant,5.971,,2017-08-07,2017-08-28,5,Apple,genetic control,5w32
33,33,white,Ferris,10.855,,2017-08-07,2017-08-28,5,Apple,genetic control,5w33
34,34,white,Grant,7.155,,2017-08-07,2017-08-28,5,Apple,genetic control,5w34
37,37,white,Ferris,8.681,,2017-08-07,2017-08-28,5,Apple,genetic control,5w37
40,40,white,Ferris,8.486,,2017-08-07,2017-08-28,5,Apple,genetic control,5w40
41,41,white,Grant,8.265,,2017-08-07,2017-08-28,5,Apple,genetic control,5w41
45,45,white,Milford,9.889,,2017-08-07,2017-08-28,5,Haw,genetic control,5w45
46,46,white,Milford,8.585,,2017-08-07,2017-08-28,5,Haw,genetic control,5w46
47,47,white,Ferris,11.093,,2017-08-07,2017-08-28,5,Apple,genetic control,5w47
49,49,white,Ferris,8.353,,2017-08-07,2017-08-28,5,Apple,genetic control,5w49
50,50,white,Milford,11.507,,2017-08-07,2017-08-28,5,Haw,genetic control,5w50
54,54,white,Milford,12.83,,2017-08-07,2017-08-28,5,Haw,genetic control,5w54
58,58,white,Grant,5.725,,2017-08-07,2017-08-28,5,Apple,genetic control,5w58
59,59,white,Milford,7.837,,2017-08-07,2017-08-28,5,Haw,genetic control,5w59
60,60,white,Ferris,10.736,,2017-08-07,2017-08-28,5,Apple,genetic control,5w60
65,65,white,Grant,9.526,,2017-08-07,2017-08-28,5,Apple,genetic control,5w65
66,66,white,Ferris,10.449,,2017-08-07,2017-08-28,5,Apple,genetic control,5w66
67,67,white,Ferris,9.405,,2017-08-07,2017-08-28,5,Apple,genetic control,5w67
74,74,white,Ferris,6.441,,2017-08-07,2017-08-28,5,Apple,genetic control,5w74
79,4,blue,Grant,8.014,,2017-08-07,2017-08-28,5,Apple,genetic control,5b4
80,5,blue,Ferris,8.886,,2017-08-07,2017-08-28,5,Apple,genetic control,5b5
81,6,blue,Grant,5.692,,2017-08-07,2017-08-28,5,Apple,genetic control,5b6
90,15,blue,Grant,7.791,,2017-08-07,2017-08-28,5,Apple,genetic control,5b15
95,20,blue,Ferris,8.525,,2017-08-07,2017-08-28,5,Apple,genetic control,5b20
98,23,blue,Grant,7.643,,2017-08-07,2017-08-28,5,Apple,genetic control,5b23
103,28,blue,Ferris,9.104,,2017-08-07,2017-08-28,5,Apple,genetic control,5b28
107,32,blue,Grant,5.889,,2017-08-07,2017-08-28,5,Apple,genetic control,5b32
108,33,blue,Ferris,9.825,,2017-08-07,2017-08-28,5,Apple,genetic control,5b33
110,35,blue,Ferris,9.712,,2017-08-07,2017-08-28,5,Apple,genetic control,5b35
113,38,blue,Ferris,10.496,,2017-08-07,2017-08-28,5,Apple,genetic control,5b38
115,40,blue,Ferris,9.094,,2017-08-07,2017-08-28,5,Apple,genetic control,5b40
118,43,blue,Ferris,8.648,,2017-08-07,2017-08-28,5,Apple,genetic control,5b43
120,45,blue,Ferris,10.669,,2017-08-07,2017-08-28,5,Apple,genetic control,5b45
122,47,blue,Ferris,10.565,,2017-08-07,2017-08-28,5,Apple,genetic control,5b47
124,49,blue,Grant,8.346,,2017-08-07,2017-08-28,5,Apple,genetic control,5b49
125,50,blue,Ferris,13.039,,2017-08-07,2017-08-28,5,Apple,genetic control,5b50
128,53,blue,Milford,7.891,,2017-08-07,2017-08-28,5,Haw,genetic control,5b53
133,58,blue,Ferris,9.655,,2017-08-07,2017-08-28,5,Apple,genetic control,5b58
134,59,blue,Grant,5.701,,2017-08-07,2017-08-28,5,Apple,genetic control,5b59
135,60,blue,Ferris,6.856,,2017-08-07,2017-08-28,5,Apple,genetic control,5b60
141,66,blue,Grant,5.062,,2017-08-07,2017-08-28,5,Apple,genetic control,5b66
143,68,blue,Grant,9.854,,2017-08-07,2017-08-28,5,Apple,genetic control,5b68
147,72,blue,Ferris,6.278,,2017-08-07,2017-08-28,5,Apple,genetic control,5b72
