"","Ind_ID","tape","Site_name","mass_day10","purge_time","day10","cohort_date","cohort_day","Host","X","X.1","rando_assign","uniqueID"
"1",1,"white","Ferris",6.864,"16:38","2017-08-07","2017-08-28",5,"Apple",NA,NA,"RT eclosion","5w1"
"2",2,"white","Grant",9.118,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"RT eclosion","5w2"
"3",3,"white","Grant",6.251,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"genetic control","5w3"
"4",4,"white","Grant",10.782,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"RT eclosion","5w4"
"5",5,"white","Ferris",7.905,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"RT eclosion","5w5"
"6",6,"white","Grant",8.712,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"RT eclosion","5w6"
"7",7,"white","Grant",6.317,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"RT eclosion","5w7"
"8",8,"white","Ferris",10.755,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"Simulated Overwintering","5w8"
"9",9,"white","Grant",6.597,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"Simulated Overwintering","5w9"
"10",10,"white","Grant",8.285,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"genetic control","5w10"
"11",11,"white","Ferris",10.045,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"Simulated Overwintering","5w11"
"12",12,"white","Ferris",6.878,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"genetic control","5w12"
"13",13,"white","Grant",6.075,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"Simulated Overwintering","5w13"
"14",14,"white","Ferris",6.323,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"genetic control","5w14"
"15",15,"white","Ferris",6.911,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"Simulated Overwintering","5w15"
"16",16,"white","Grant",8.853,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"Simulated Overwintering","5w16"
"17",17,"white","Ferris",10.01,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"Simulated Overwintering","5w17"
"18",18,"white","Ferris",8.383,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"genetic control","5w18"
"19",19,"white","Grant",5.575,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"genetic control","5w19"
"20",20,"white","Ferris",6.588,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"RT eclosion","5w20"
"21",21,"white","Feris",7.049,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"RT eclosion","5w21"
"22",22,"white","Ferris",9.686,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"RT eclosion","5w22"
"23",23,"white","Grant",8.641,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"RT eclosion","5w23"
"24",24,"white","Ferris",9.189,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"Simulated Overwintering","5w24"
"25",25,"white","Grant",6.018,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"RT eclosion","5w25"
"26",26,"white","Ferris",7.881,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"Simulated Overwintering","5w26"
