,Ind_ID,tape,Site_name,mass_day10,purge_time,day10,cohort_date,cohort_day,Host,rando_assign,uniqueID
8,8,white,Ferris,10.755,,2017-08-07,2017-08-28,5,Apple,Simulated Overwintering,5w8
9,9,white,Grant,6.597,,2017-08-07,2017-08-28,5,Apple,Simulated Overwintering,5w9
11,11,white,Ferris,10.045,,2017-08-07,2017-08-28,5,Apple,Simulated Overwintering,5w11
13,13,white,Grant,6.075,,2017-08-07,2017-08-28,5,Apple,Simulated Overwintering,5w13
15,15,white,Ferris,6.911,,2017-08-07,2017-08-28,5,Apple,Simulated Overwintering,5w15
16,16,white,Grant,8.853,,2017-08-07,2017-08-28,5,Apple,Simulated Overwintering,5w16
17,17,white,Ferris,10.01,,2017-08-07,2017-08-28,5,Apple,Simulated Overwintering,5w17
24,24,white,Ferris,9.189,,2017-08-07,2017-08-28,5,Apple,Simulated Overwintering,5w24
26,26,white,Ferris,7.881,,2017-08-07,2017-08-28,5,Apple,Simulated Overwintering,5w26
29,29,white,Grant,5.962,,2017-08-07,2017-08-28,5,Apple,Simulated Overwintering,5w29
35,35,white,Ferris,6.583,,2017-08-07,2017-08-28,5,Apple,Simulated Overwintering,5w35
36,36,white,Grant,7.602,,2017-08-07,2017-08-28,5,Apple,Simulated Overwintering,5w36
38,38,white,Grant,7.987,,2017-08-07,2017-08-28,5,Apple,Simulated Overwintering,5w38
44,44,white,Ferris,7.063,,2017-08-07,2017-08-28,5,Apple,Simulated Overwintering,5w44
51,51,white,Ferris,9.315,,2017-08-07,2017-08-28,5,Apple,Simulated Overwintering,5w51
52,52,white,Grant,9.342,,2017-08-07,2017-08-28,5,Apple,Simulated Overwintering,5w52
56,56,white,Grant,6.639,,2017-08-07,2017-08-28,5,Apple,Simulated Overwintering,5w56
61,61,white,Grant,6.331,,2017-08-07,2017-08-28,5,Apple,Simulated Overwintering,5w61
71,71,white,Ferris,8.518,,2017-08-07,2017-08-28,5,Apple,Simulated Overwintering,5w71
76,1,blue,Ferris,8.15,,2017-08-07,2017-08-28,5,Apple,Simulated Overwintering,5b1
77,2,blue,Grant,5.977,,2017-08-07,2017-08-28,5,Apple,Simulated Overwintering,5b2
85,10,blue,Ferris,7.712,,2017-08-07,2017-08-28,5,Apple,Simulated Overwintering,5b10
87,12,blue,Ferris,6.91,,2017-08-07,2017-08-28,5,Apple,Simulated Overwintering,5b12
91,16,blue,Ferris,9.272,,2017-08-07,2017-08-28,5,Apple,Simulated Overwintering,5b16
92,17,blue,Grant,6.319,,2017-08-07,2017-08-28,5,Apple,Simulated Overwintering,5b17
93,18,blue,Ferris,4.443,,2017-08-07,2017-08-28,5,Apple,Simulated Overwintering,5b18
96,21,blue,Grant,8.795,,2017-08-07,2017-08-28,5,Apple,Simulated Overwintering,5b21
97,22,blue,Ferris,13.176,,2017-08-07,2017-08-28,5,Apple,Simulated Overwintering,5b22
105,30,blue,Ferris,9.863,,2017-08-07,2017-08-28,5,Apple,Simulated Overwintering,5b30
111,36,blue,Grant,6.839,,2017-08-07,2017-08-28,5,Apple,Simulated Overwintering,5b36
116,41,blue,Grant,8.921,,2017-08-07,2017-08-28,5,Apple,Simulated Overwintering,5b41
117,42,blue,Ferris,9.931,,2017-08-07,2017-08-28,5,Apple,Simulated Overwintering,5b42
119,44,blue,Grant,5.831,,2017-08-07,2017-08-28,5,Apple,Simulated Overwintering,5b44
121,46,blue,Grant,6.037,,2017-08-07,2017-08-28,5,Apple,Simulated Overwintering,5b46
127,52,blue,Grant,9.974,,2017-08-07,2017-08-28,5,Apple,Simulated Overwintering,5b52
131,56,blue,Ferris,4.566,,2017-08-07,2017-08-28,5,Apple,Simulated Overwintering,5b56
136,61,blue,Ferris,6.457,,2017-08-07,2017-08-28,5,Apple,Simulated Overwintering,5b61
137,62,blue,Ferris,9.676,,2017-08-07,2017-08-28,5,Apple,Simulated Overwintering,5b62
139,64,blue,Ferris,6.818,,2017-08-07,2017-08-28,5,Apple,Simulated Overwintering,5b64
142,67,blue,Ferris,11.138,,2017-08-07,2017-08-28,5,Apple,Simulated Overwintering,5b67
144,69,blue,Milford,8.468,,2017-08-07,2017-08-28,5,Haw,Simulated Overwintering,5b69
146,71,blue,Grant,6.058,,2017-08-07,2017-08-28,5,Apple,Simulated Overwintering,5b71
148,73,blue,Grant,7.02,,2017-08-07,2017-08-28,5,Apple,Simulated Overwintering,5b73
149,74,blue,Grant,3.893,,2017-08-07,2017-08-28,5,Apple,Simulated Overwintering,5b74
150,75,blue,Ferris,6.558,,2017-08-07,2017-08-28,5,Apple,Simulated Overwintering,5b75
