Ind_ID,tape,Site_name,mass_day10,purge_time_1,day10,cohort_date,cohort_day,Host,Li.cor_1,rando_assign,uniqueID
1,white,Ferris,5.825,18:59,9/12/17,9/2/17,10,Apple,7000,RT eclosion,10w1
2,white,Milford,8.824,,9/12/17,9/2/17,10,Apple,7000,Simulated Overwintering,10w2
3,white,Grant,5.974,,9/12/17,9/2/17,10,Apple,7000,RT eclosion,10w3
4,white,Ferris,5.436,,9/12/17,9/2/17,10,Apple,7000,Simulated Overwintering,10w4
5,white,Ferris,10.217,,9/12/17,9/2/17,10,Apple,7000,Simulated Overwintering,10w5
6,white,Grant,9.271,,9/12/17,9/2/17,10,Apple,7000,Simulated Overwintering,10w6
7,white,Ferris,11.08,,9/12/17,9/2/17,10,Apple,7000,genetic control,10w7
8,white,Grant,8.305,,9/12/17,9/2/17,10,Apple,7000,Simulated Overwintering,10w8
9,white,Grant,6.672,,9/12/17,9/2/17,10,Apple,7000,Simulated Overwintering,10w9
10,white,Ferris,5.729,,9/12/17,9/2/17,10,Apple,7000,genetic control,10w10
11,white,Grant,7.398,,9/12/17,9/2/17,10,Apple,7000,RT eclosion,10w11
12,white,Ferris,5.436,,9/12/17,9/2/17,10,Apple,7000,RT eclosion,10w12
13,white,Ferris,7.757,,9/12/17,9/2/17,10,Apple,7000,RT eclosion,10w13
14,white,Ferris,6.491,,9/12/17,9/2/17,10,Apple,7000,genetic control,10w14
15,white,Ferris,8.046,,9/12/17,9/2/17,10,Apple,7000,RT eclosion,10w15
16,white,Grant,9.538,,9/12/17,9/2/17,10,Apple,7000,genetic control,10w16
17,white,Milford,11.049,,9/12/17,9/2/17,10,Haw,7000,RT eclosion,10w17
18,white,Grant,6.876,,9/12/17,9/2/17,10,Apple,7000,Simulated Overwintering,10w18
19,white,Grant,8.051,,9/12/17,9/2/17,10,Apple,7000,RT eclosion,10w19
20,white,Ferris,5.784,,9/12/17,9/2/17,10,Apple,7000,RT eclosion,10w20
21,white,Grant,10.787,,9/12/17,9/2/17,10,Apple,7000,genetic control,10w21
22,white,Grant,6.729,,9/12/17,9/2/17,10,Apple,7000,RT eclosion,10w22
23,white,Grant,6.189,,9/12/17,9/2/17,10,Apple,7000,genetic control,10w23
24,white,Grant,4.855,,9/12/17,9/2/17,10,Apple,7000,RT eclosion,10w24
25,white,Grant,4.999,,9/12/17,9/2/17,10,Apple,7000,RT eclosion,10w25
26,white,Ferris,4.807,,9/12/17,9/2/17,10,Apple,7000,RT eclosion,10w26
27,white,Grant,7.202,,9/12/17,9/2/17,10,Apple,7000,Simulated Overwintering,10w27
28,white,Ferris,5.534,,9/12/17,9/2/17,10,Apple,7000,RT eclosion,10w28
29,white,Grant,7.289,,9/12/17,9/2/17,10,Apple,7000,genetic control,10w29
30,white,Milford,12.612,,9/12/17,9/2/17,10,Haw,7000,Simulated Overwintering,10w30
31,white,Ferris,4.321,,9/12/17,9/2/17,10,Apple,7000,RT eclosion,10w31
32,white,Milford,11.546,,9/12/17,9/2/17,10,Haw,7000,RT eclosion,10w32
33,white,Grant,9.52,,9/12/17,9/2/17,10,Apple,7000,RT eclosion,10w33
34,white,Ferris,7.676,,9/12/17,9/2/17,10,Apple,7000,RT eclosion,10w34
35,white,Grant,4.798,,9/12/17,9/2/17,10,Apple,7000,genetic control,10w35
36,white,Grant,3.421,,9/12/17,9/2/17,10,Apple,7000,Simulated Overwintering,10w36
37,white,Milford,8.564,,9/12/17,9/2/17,10,Haw,7000,Simulated Overwintering,10w37
38,white,Grant,9.841,,9/12/17,9/2/17,10,Apple,7000,genetic control,10w38
39,white,Milford,8.241,,9/12/17,9/2/17,10,Haw,7000,RT eclosion,10w39
40,white,Ferris,7.035,,9/12/17,9/2/17,10,Apple,7000,Simulated Overwintering,10w40
41,white,Ferris,6.44,,9/12/17,9/2/17,10,Apple,7000,RT eclosion,10w41
42,white,Ferris,8.138,,9/12/17,9/2/17,10,Apple,7000,genetic control,10w42
43,white,Ferris,9.133,,9/12/17,9/2/17,10,Apple,7000,Simulated Overwintering,10w43
44,white,Ferris,7.573,,9/12/17,9/2/17,10,Apple,7000,genetic control,10w44
45,white,Grant,5.46,,9/12/17,9/2/17,10,Apple,7000,genetic control,10w45
