Ind_ID,tape,Site_name,mass_day10,purge_time_1,day10,cohort_date,cohort_day,Host,Li-cor_1
1,white,Milford,9.1,13:43,2017-09-13,2017-09-03,11,Apple,7000
2,white,Grant,6.851,,2017-09-13,2017-09-03,11,Apple,7000
3,white,Ferris,6.44,,2017-09-13,2017-09-03,11,Apple,7000
4,white,Grant,5.984,,2017-09-13,2017-09-03,11,Apple,7000
5,white,Ferris,7.227,,2017-09-13,2017-09-03,11,Apple,7000
6,white,Grant,8.392,,2017-09-13,2017-09-03,11,Apple,7000
7,white,Grant,8.208,,2017-09-13,2017-09-03,11,Apple,7000
8,white,Ferris,9.539,,2017-09-13,2017-09-03,11,Apple,7000
9,white,Milford,8.893,,2017-09-13,2017-09-03,11,Haw,7000
10,white,Ferris,10.874,,2017-09-13,2017-09-03,11,Apple,7000
11,white,Ferris,5.635,,2017-09-13,2017-09-03,11,Apple,7000
12,white,Grant,4.227,,2017-09-13,2017-09-03,11,Apple,7000
13,white,Ferris,8.04,,2017-09-13,2017-09-03,11,Apple,7000
14,white,Grant,4.752,,2017-09-13,2017-09-03,11,Apple,7000
15,white,Grant,4.495,,2017-09-13,2017-09-03,11,Apple,7000
16,white,Ferris,7.615,,2017-09-13,2017-09-03,11,Apple,7000
17,white,Grant,4.574,,2017-09-13,2017-09-03,11,Apple,7000
18,white,Grant,11.178,,2017-09-13,2017-09-03,11,Apple,7000
19,white,Milford,8.474,,2017-09-13,2017-09-03,11,Haw,7000
20,white,Grant,5.584,,2017-09-13,2017-09-03,11,Apple,7000
21,white,Ferris,9.277,,2017-09-13,2017-09-03,11,Apple,7000
22,white,Grant,6.783,,2017-09-13,2017-09-03,11,Apple,7000
23,white,Ferris,10.419,,2017-09-13,2017-09-03,11,Apple,7000
24,white,Grant,4.604,,2017-09-13,2017-09-03,11,Apple,7000
25,white,Ferris,6.791,,2017-09-13,2017-09-03,11,Apple,7000
26,white,Ferris,11.273,,2017-09-13,2017-09-03,11,Apple,7000
27,white,MSU,7.466,,2017-09-13,2017-09-03,11,Apple,7000
28,white,Grant,8.01,,2017-09-13,2017-09-03,11,Apple,7000
29,white,Grant,7.587,,2017-09-13,2017-09-03,11,Apple,7000
30,white,Grant,9.235,,2017-09-13,2017-09-03,11,Apple,7000
31,white,Grant,5.897,,2017-09-13,2017-09-03,11,Apple,7000
32,white,Blank,,,2017-09-13,2017-09-03,11,Apple,7000
33,white,Blank,,,2017-09-13,2017-09-03,11,Apple,7000
34,white,Grant,9.491,,2017-09-13,2017-09-03,11,Apple,7000
35,white,Milford,12.501,,2017-09-13,2017-09-03,11,Haw,7000
36,white,Grant,7.356,,2017-09-13,2017-09-03,11,Apple,7000
37,white,Grant,9.666,,2017-09-13,2017-09-03,11,Apple,7000
38,white,Ferris,9.884,,2017-09-13,2017-09-03,11,Apple,7000
39,white,Grant,6.768,,2017-09-13,2017-09-03,11,Apple,7000
40,white,Grant,10.02,,2017-09-13,2017-09-03,11,Apple,7000
41,white,Milford,12.7,,2017-09-13,2017-09-03,11,Haw,7000
42,white,Grant,7.166,,2017-09-13,2017-09-03,11,Apple,7000
43,white,Grant,8.298,,2017-09-13,2017-09-03,11,Apple,7000
44,white,Grant,7.298,,2017-09-13,2017-09-03,11,Apple,7000
45,white,Grant,7.912,,2017-09-13,2017-09-03,11,Apple,7000
46,white,Grant,10.087,,2017-09-13,2017-09-03,11,Apple,7000
47,white,MSU,4.394,,2017-09-13,2017-09-03,11,Apple,7000
48,white,Grant,7.5,,2017-09-13,2017-09-03,11,Apple,7000
49,white,Grant,6.572,,2017-09-13,2017-09-03,11,Apple,7000
50,white,Grant,6.179,,2017-09-13,2017-09-03,11,Apple,7000
51,white,Ferris,8.708,,2017-09-13,2017-09-03,11,Apple,7000
52,white,Grant,10.81,,2017-09-13,2017-09-03,11,Apple,7000
53,white,Ferris,7.485,,2017-09-13,2017-09-03,11,Apple,7000
54,white,Grant,7.294,,2017-09-13,2017-09-03,11,Apple,7000
55,white,Ferris,6.818,,2017-09-13,2017-09-03,11,Apple,7000
56,white,Grant,9.138,,2017-09-13,2017-09-03,11,Apple,7000
57,white,Milford,9.487,,2017-09-13,2017-09-03,11,Haw,7000
58,white,Grant,7.921,,2017-09-13,2017-09-03,11,Apple,7000
59,white,Ferris,7.591,,2017-09-13,2017-09-03,11,Apple,7000
60,white,Grant,7.766,,2017-09-13,2017-09-03,11,Apple,7000
61,white,Grant,5.758,,2017-09-13,2017-09-03,11,Apple,7000
62,white,Milford,14.554,,2017-09-13,2017-09-03,11,Haw,7000
63,white,Grant,7.662,,2017-09-13,2017-09-03,11,Apple,7000
64,white,Ferris,3.979,,2017-09-13,2017-09-03,11,Apple,7000
65,white,Grant,6.074,,2017-09-13,2017-09-03,11,Apple,7000
66,white,Grant,7.537,,2017-09-13,2017-09-03,11,Apple,7000
67,white,Grant,9.929,,2017-09-13,2017-09-03,11,Apple,7000
68,white,Grant,5.255,,2017-09-13,2017-09-03,11,Apple,7000
69,white,,,,2017-09-13,2017-09-03,11,Apple,7000
70,white,Ferris,7.062,,2017-09-13,2017-09-03,11,Apple,7000
71,white,,,,2017-09-13,2017-09-03,11,Apple,7000
72,white,Milford,11.687,14:04,2017-09-13,2017-09-03,11,Haw,7000
73,white,,,,2017-09-13,2017-09-03,11,Apple,7000
74,white,,,,2017-09-13,2017-09-03,11,Apple,7000
75,white,,,,2017-09-13,2017-09-03,11,Apple,7000
1,orange,Ferris,6.559,14:04,2017-09-13,2017-09-03,11,Apple,6262
2,orange,Grant,5.582,,2017-09-13,2017-09-03,11,Apple,6262
3,orange,Milford,10.894,,2017-09-13,2017-09-03,11,Haw,6262
4,orange,Ferris,10.543,,2017-09-13,2017-09-03,11,Apple,6262
5,orange,Grant,13.039,,2017-09-13,2017-09-03,11,Apple,6262
6,orange,MSU,7.268,,2017-09-13,2017-09-03,11,Apple,6262
7,orange,Grant,5.298,,2017-09-13,2017-09-03,11,Apple,6262
8,orange,Ferris,9.792,,2017-09-13,2017-09-03,11,Apple,6262
9,orange,Grant,8.387,,2017-09-13,2017-09-03,11,Apple,6262
10,orange,Grant,10.258,,2017-09-13,2017-09-03,11,Apple,6262
11,orange,Ferris,6.456,,2017-09-13,2017-09-03,11,Apple,6262
12,orange,Grant,6.899,,2017-09-13,2017-09-03,11,Apple,6262
13,orange,Ferris,10.284,,2017-09-13,2017-09-03,11,Apple,6262
14,orange,Milford,8.958,,2017-09-13,2017-09-03,11,Haw,6262
15,orange,Ferris,5.465,,2017-09-13,2017-09-03,11,Apple,6262
16,orange,Grant,10.275,,2017-09-13,2017-09-03,11,Apple,6262
17,orange,Ferris,3.825,,2017-09-13,2017-09-03,11,Apple,6262
18,orange,Ferris,6.4,,2017-09-13,2017-09-03,11,Apple,6262
19,orange,Grant,7.801,,2017-09-13,2017-09-03,11,Apple,6262
20,orange,Milford,5.759,,2017-09-13,2017-09-03,11,Haw,6262
21,orange,Ferris,7.82,,2017-09-13,2017-09-03,11,Apple,6262
22,orange,Grant,4.399,,2017-09-13,2017-09-03,11,Apple,6262
23,orange,Ferris,6.677,,2017-09-13,2017-09-03,11,Apple,6262
