"","Ind_ID","tape","Site_name","mass_day10","purge_time_1","day10","cohort_date","cohort_day","Host","Li.cor_1","rando_assign","uniqueID"
"1",1,"white","Milford",9.1,"13:43","2017-09-13","2017-09-03",11,"Apple",7000,"genetic control","11w1"
"2",2,"white","Grant",6.851,"","2017-09-13","2017-09-03",11,"Apple",7000,"Simulated Overwintering","11w2"
"3",3,"white","Ferris",6.44,"","2017-09-13","2017-09-03",11,"Apple",7000,"Simulated Overwintering","11w3"
"4",4,"white","Grant",5.984,"","2017-09-13","2017-09-03",11,"Apple",7000,"genetic control","11w4"
"5",5,"white","Ferris",7.227,"","2017-09-13","2017-09-03",11,"Apple",7000,"Simulated Overwintering","11w5"
"6",6,"white","Grant",8.392,"","2017-09-13","2017-09-03",11,"Apple",7000,"genetic control","11w6"
"7",7,"white","Grant",8.208,"","2017-09-13","2017-09-03",11,"Apple",7000,"genetic control","11w7"
"8",8,"white","Ferris",9.539,"","2017-09-13","2017-09-03",11,"Apple",7000,"RT eclosion","11w8"
"9",9,"white","Milford",8.893,"","2017-09-13","2017-09-03",11,"Haw",7000,"Simulated Overwintering","11w9"
"10",10,"white","Ferris",10.874,"","2017-09-13","2017-09-03",11,"Apple",7000,"RT eclosion","11w10"
"11",11,"white","Ferris",5.635,"","2017-09-13","2017-09-03",11,"Apple",7000,"Simulated Overwintering","11w11"
"12",12,"white","Grant",4.227,"","2017-09-13","2017-09-03",11,"Apple",7000,"genetic control","11w12"
"13",13,"white","Ferris",8.04,"","2017-09-13","2017-09-03",11,"Apple",7000,"Simulated Overwintering","11w13"
"14",14,"white","Grant",4.752,"","2017-09-13","2017-09-03",11,"Apple",7000,"RT eclosion","11w14"
"15",15,"white","Grant",4.495,"","2017-09-13","2017-09-03",11,"Apple",7000,"Simulated Overwintering","11w15"
"16",16,"white","Ferris",7.615,"","2017-09-13","2017-09-03",11,"Apple",7000,"Simulated Overwintering","11w16"
"17",17,"white","Grant",4.574,"","2017-09-13","2017-09-03",11,"Apple",7000,"genetic control","11w17"
"18",18,"white","Grant",11.178,"","2017-09-13","2017-09-03",11,"Apple",7000,"genetic control","11w18"
"19",19,"white","Milford",8.474,"","2017-09-13","2017-09-03",11,"Haw",7000,"genetic control","11w19"
"20",20,"white","Grant",5.584,"","2017-09-13","2017-09-03",11,"Apple",7000,"RT eclosion","11w20"
"21",21,"white","Ferris",9.277,"","2017-09-13","2017-09-03",11,"Apple",7000,"genetic control","11w21"
"22",22,"white","Grant",6.783,"","2017-09-13","2017-09-03",11,"Apple",7000,"genetic control","11w22"
"23",23,"white","Ferris",10.419,"","2017-09-13","2017-09-03",11,"Apple",7000,"genetic control","11w23"
"24",24,"white","Grant",4.604,"","2017-09-13","2017-09-03",11,"Apple",7000,"genetic control","11w24"
"25",25,"white","Ferris",6.791,"","2017-09-13","2017-09-03",11,"Apple",7000,"RT eclosion","11w25"
"26",26,"white","Ferris",11.273,"","2017-09-13","2017-09-03",11,"Apple",7000,"RT eclosion","11w26"
"27",27,"white","MSU",7.466,"","2017-09-13","2017-09-03",11,"Apple",7000,"genetic control","11w27"
