Ind_ID,tape,Site_name,mass_day10,purge_time_1,day10,cohort_date,cohort_day,Host,rando_assign,uniqueID
1,white,Ferris,8.783,17:04,9/14/17,9/4/17,12,Apple,RT eclosion,12w1
3,white,Grant,4.26,,9/14/17,9/4/17,12,Apple,RT eclosion,12w3
4,white,Milford,11.242,,9/14/17,9/4/17,12,Haw,RT eclosion,12w4
5,white,Grant,7.141,,9/14/17,9/4/17,12,Apple,RT eclosion,12w5
6,white,Ferris,7.315,,9/14/17,9/4/17,12,Apple,RT eclosion,12w6
7,white,Grant,7.588,,9/14/17,9/4/17,12,Apple,RT eclosion,12w7
12,white,Grant,8.69,,9/14/17,9/4/17,12,Apple,RT eclosion,12w12
14,white,Grant,7.631,,9/14/17,9/4/17,12,Apple,RT eclosion,12w14
17,white,Ferris,9.693,,9/14/17,9/4/17,12,Apple,RT eclosion,12w17
18,white,Grant,5.628,,9/14/17,9/4/17,12,Apple,RT eclosion,12w18
34,white,Grant,4.179,,9/14/17,9/4/17,12,Apple,RT eclosion,12w34
38,white,Grant,5.733,,9/14/17,9/4/17,12,Apple,RT eclosion,12w38
40,white,Ferris,7.29,,9/14/17,9/4/17,12,Apple,RT eclosion,12w40
43,white,Grant,9.32,,9/14/17,9/4/17,12,Apple,RT eclosion,12w43
49,white,Grant,5.402,,9/14/17,9/4/17,12,Apple,RT eclosion,12w49
55,white,Grant,6.357,,9/14/17,9/4/17,12,Apple,RT eclosion,12w55
64,white,Ferris,10.496,,9/14/17,9/4/17,12,Apple,RT eclosion,12w64
66,white,Grant,5.9,,9/14/17,9/4/17,12,Apple,RT eclosion,12w66
69,white,Grant,8.439,,9/14/17,9/4/17,12,Apple,RT eclosion,12w69
72,white,Ferris,8.865,,9/14/17,9/4/17,12,Apple,RT eclosion,12w72
74,white,Grant,6.209,,9/14/17,9/4/17,12,Apple,RT eclosion,12w74
75,white,Ferris,6.12,,9/14/17,9/4/17,12,Apple,RT eclosion,12w75
76,white,Blank,NA,,9/14/17,9/4/17,12,Apple,RT eclosion,12w76
1,blue,MSU,10.96,16:30,9/14/17,9/4/17,12,Apple,RT eclosion,12b1
3,blue,Ferris,5.826,,9/14/17,9/4/17,12,Apple,RT eclosion,12b3
6,blue,Grant,9.83,,9/14/17,9/4/17,12,Apple,RT eclosion,12b6
11,blue,Grant,4.262,,9/14/17,9/4/17,12,Apple,RT eclosion,12b11
14,blue,Grant,5.278,,9/14/17,9/4/17,12,Apple,RT eclosion,12b14
16,blue,Grant,6.795,,9/14/17,9/4/17,12,Apple,RT eclosion,12b16
20,blue,Grant,6.975,,9/14/17,9/4/17,12,Apple,RT eclosion,12b20
22,blue,Ferris,6.648,,9/14/17,9/4/17,12,Apple,RT eclosion,12b22
23,blue,Grant,3.357,,9/14/17,9/4/17,12,Apple,RT eclosion,12b23
27,blue,Grant,11.178,,9/14/17,9/4/17,12,Apple,RT eclosion,12b27
28,blue,Ferris,7.68,,9/14/17,9/4/17,12,Apple,RT eclosion,12b28
32,blue,Grant,7.306,,9/14/17,9/4/17,12,Apple,RT eclosion,12b32
36,blue,Ferris,5.507,,9/14/17,9/4/17,12,Apple,RT eclosion,12b36
38,blue,Grant,5.143,,9/14/17,9/4/17,12,Apple,RT eclosion,12b38
43,blue,Grant,6.99,,9/14/17,9/4/17,12,Apple,RT eclosion,12b43
44,blue,Grant,5.151,,9/14/17,9/4/17,12,Apple,RT eclosion,12b44
45,blue,Milford,8.613,,9/14/17,9/4/17,12,Haw,RT eclosion,12b45
46,blue,Grant,7.819,,9/14/17,9/4/17,12,Apple,RT eclosion,12b46
50,blue,Grant,8.653,,9/14/17,9/4/17,12,Apple,RT eclosion,12b50
53,blue,Ferris,10.302,,9/14/17,9/4/17,12,Apple,RT eclosion,12b53
56,blue,Grant,7.033,,9/14/17,9/4/17,12,Apple,RT eclosion,12b56
60,blue,Grant,9.636,,9/14/17,9/4/17,12,Apple,RT eclosion,12b60
61,blue,Milford,9.299,,9/14/17,9/4/17,12,Haw,RT eclosion,12b61
68,blue,Grant,8.935,,9/14/17,9/4/17,12,Apple,RT eclosion,12b68
70,blue,Ferris,6.897,,9/14/17,9/4/17,12,Apple,RT eclosion,12b70
