Ind_ID,tape,Site_name,mass_day10,purge_time_1,day10,cohort_date,cohort_day,Host,rando_assign,uniqueID
2,white,Grant,8.631,,9/14/17,9/4/17,12,Apple,genetic control,12w2
9,white,Grant,5.936,,9/14/17,9/4/17,12,Apple,genetic control,12w9
10,white,Grant,9.389,,9/14/17,9/4/17,12,Apple,genetic control,12w10
13,white,MSU,7.368,,9/14/17,9/4/17,12,Apple,genetic control,12w13
20,white,MSU,8.811,,9/14/17,9/4/17,12,Apple,genetic control,12w20
24,white,Ferris,10.222,,9/14/17,9/4/17,12,Apple,genetic control,12w24
25,white,Grant,5.966,,9/14/17,9/4/17,12,Apple,genetic control,12w25
27,white,Ferris,11.557,,9/14/17,9/4/17,12,Apple,genetic control,12w27
29,white,Grant,10.679,,9/14/17,9/4/17,12,Apple,genetic control,12w29
31,white,Grant,5.577,,9/14/17,9/4/17,12,Apple,genetic control,12w31
32,white,Ferris,5.317,,9/14/17,9/4/17,12,Apple,genetic control,12w32
33,white,Grant,4.489,,9/14/17,9/4/17,12,Apple,genetic control,12w33
39,white,Grant,7.555,,9/14/17,9/4/17,12,Apple,genetic control,12w39
44,white,Milford,8.947,,9/14/17,9/4/17,12,Haw,genetic control,12w44
45,white,Grant,8.881,,9/14/17,9/4/17,12,Apple,genetic control,12w45
47,white,Grant,6.557,,9/14/17,9/4/17,12,Apple,genetic control,12w47
48,white,Milford,9.446,,9/14/17,9/4/17,12,Haw,genetic control,12w48
50,white,Grant,7.689,,9/14/17,9/4/17,12,Apple,genetic control,12w50
56,white,Grant,8.057,,9/14/17,9/4/17,12,Apple,genetic control,12w56
60,white,Grant,7.967,,9/14/17,9/4/17,12,Apple,genetic control,12w60
61,white,Ferris,6.43,,9/14/17,9/4/17,12,Apple,genetic control,12w61
63,white,Grant,10.278,,9/14/17,9/4/17,12,Apple,genetic control,12w63
68,white,Grant,6.874,,9/14/17,9/4/17,12,Apple,genetic control,12w68
70,white,Ferris,5.704,,9/14/17,9/4/17,12,Apple,genetic control,12w70
71,white,Grant,9.074,,9/14/17,9/4/17,12,Apple,genetic control,12w71
73,white,Grant,8.965,,9/14/17,9/4/17,12,Apple,genetic control,12w73
77,white,Blank,NA,17:27,9/14/17,9/4/17,12,Apple,genetic control,12w77
2,blue,Grant,8.28,,9/14/17,9/4/17,12,Apple,genetic control,12b2
7,blue,Grant,8.041,,9/14/17,9/4/17,12,Apple,genetic control,12b7
8,blue,Ferris,6.207,,9/14/17,9/4/17,12,Apple,genetic control,12b8
12,blue,Ferris,7.036,,9/14/17,9/4/17,12,Apple,genetic control,12b12
13,blue,Grant,6.101,,9/14/17,9/4/17,12,Apple,genetic control,12b13
15,blue,Ferris,8.179,,9/14/17,9/4/17,12,Apple,genetic control,12b15
17,blue,Grant,3.936,,9/14/17,9/4/17,12,Apple,genetic control,12b17
18,blue,Ferris,5.878,,9/14/17,9/4/17,12,Apple,genetic control,12b18
19,blue,Milford,7.784,,9/14/17,9/4/17,12,Haw,genetic control,12b19
30,blue,Ferris,9.913,,9/14/17,9/4/17,12,Apple,genetic control,12b30
31,blue,Grant,5.198,,9/14/17,9/4/17,12,Apple,genetic control,12b31
37,blue,Grant,7.466,,9/14/17,9/4/17,12,Apple,genetic control,12b37
40,blue,Grant,5.483,,9/14/17,9/4/17,12,Apple,genetic control,12b40
41,blue,Grant,13.129,,9/14/17,9/4/17,12,Apple,genetic control,12b41
42,blue,Ferris,7.774,,9/14/17,9/4/17,12,Apple,genetic control,12b42
47,blue,Grant,9.226,,9/14/17,9/4/17,12,Apple,genetic control,12b47
48,blue,Ferris,7.463,,9/14/17,9/4/17,12,Apple,genetic control,12b48
49,blue,Grant,6.717,,9/14/17,9/4/17,12,Apple,genetic control,12b49
51,blue,Ferris,9.316,,9/14/17,9/4/17,12,Apple,genetic control,12b51
54,blue,Grant,7.449,,9/14/17,9/4/17,12,Apple,genetic control,12b54
57,blue,Ferris,5.569,,9/14/17,9/4/17,12,Apple,genetic control,12b57
58,blue,Ferris,7.024,,9/14/17,9/4/17,12,Apple,genetic control,12b58
62,blue,Grant,7.601,,9/14/17,9/4/17,12,Apple,genetic control,12b62
64,blue,Ferris,7.524,,9/14/17,9/4/17,12,Apple,genetic control,12b64
69,blue,Grant,7.163,,9/14/17,9/4/17,12,Apple,genetic control,12b69
71,blue,Grant,6.079,,9/14/17,9/4/17,12,Apple,genetic control,12b71
77,blue,Blank,NA,17:03,9/14/17,9/4/17,12,Apple,genetic control,12b77
