"","Ind_ID","tape","Site_name","mass_day10","purge_time_1","day10","cohort_date","cohort_day","Host","rando_assign","uniqueID"
"1",1,"red","Milford",8.097,"13:22","2017-09-15","2017-09-05",13,"Haw","RT eclosion","13r1"
"2",2,"red","Grant",8.738,"","2017-09-15","2017-09-05",13,"Apple","genetic control","13r2"
"3",3,"red","Grant",7.423,"","2017-09-15","2017-09-05",13,"Apple","Simulated Overwintering","13r3"
"4",4,"red","Grant",7.931,"","2017-09-15","2017-09-05",13,"Apple","genetic control","13r4"
"5",5,"red","Ferris",10.284,"","2017-09-15","2017-09-05",13,"Apple","Simulated Overwintering","13r5"
"6",6,"red","Grant",6.301,"","2017-09-15","2017-09-05",13,"Apple","genetic control","13r6"
"7",7,"red","Ferris",7.863,"","2017-09-15","2017-09-05",13,"Apple","Simulated Overwintering","13r7"
"8",8,"red","Grant",5.948,"","2017-09-15","2017-09-05",13,"Apple","RT eclosion","13r8"
"9",9,"red","Grant",9.734,"","2017-09-15","2017-09-05",13,"Apple","Simulated Overwintering","13r9"
"10",10,"red","MSU",8.788,"","2017-09-15","2017-09-05",13,"Apple","genetic control","13r10"
"11",11,"red","Grant",3.743,"","2017-09-15","2017-09-05",13,"Apple","RT eclosion","13r11"
"12",12,"red","Grant",6.312,"","2017-09-15","2017-09-05",13,"Apple","Simulated Overwintering","13r12"
"13",13,"red","Grant",5.174,"","2017-09-15","2017-09-05",13,"Apple","RT eclosion","13r13"
"14",14,"red","Grant",6.788,"","2017-09-15","2017-09-05",13,"Apple","genetic control","13r14"
"15",15,"red","Grant",5.388,"","2017-09-15","2017-09-05",13,"Apple","RT eclosion","13r15"
"16",16,"red","Ferris",5.201,"","2017-09-15","2017-09-05",13,"Apple","genetic control","13r16"
"17",17,"red","Ferris",8.878,"","2017-09-15","2017-09-05",13,"Apple","RT eclosion","13r17"
"18",18,"red","Grant",5.885,"","2017-09-15","2017-09-05",13,"Apple","Simulated Overwintering","13r18"
"19",19,"red","Grant",8.234,"","2017-09-15","2017-09-05",13,"Apple","Simulated Overwintering","13r19"
"20",20,"red","Ferris",7.22,"","2017-09-15","2017-09-05",13,"Apple","Simulated Overwintering","13r20"
"21",21,"red","Ferris",6.96,"","2017-09-15","2017-09-05",13,"Apple","Simulated Overwintering","13r21"
"22",22,"red","Grant",9.116,"","2017-09-15","2017-09-05",13,"Apple","genetic control","13r22"
"23",23,"red","Grant",4.339,"","2017-09-15","2017-09-05",13,"Apple","Simulated Overwintering","13r23"
"24",24,"red","Grant",9.176,"","2017-09-15","2017-09-05",13,"Apple","Simulated Overwintering","13r24"
"25",25,"red","Milford",11.519,"","2017-09-15","2017-09-05",13,"Haw","genetic control","13r25"
"26",26,"red","Milford",11.27,"14:42","2017-09-15","2017-09-05",13,"Haw","RT eclosion","13r26"
"27",27,"red","",NA,"","2017-09-15","2017-09-05",13,"Apple","Simulated Overwintering","13r27"
"28",28,"red","Ferris",10.071,"","2017-09-15","2017-09-05",13,"Apple","RT eclosion","13r28"
"29",29,"red","",NA,"","2017-09-15","2017-09-05",13,"Apple","Simulated Overwintering","13r29"
"30",30,"red","Milford",12.321,"","2017-09-15","2017-09-05",13,"Haw","Simulated Overwintering","13r30"
"31",31,"red","Grant",9.895,"","2017-09-15","2017-09-05",13,"Apple","Simulated Overwintering","13r31"
"32",32,"red","Ferris",6.168,"","2017-09-15","2017-09-05",13,"Apple","RT eclosion","13r32"
"33",33,"red","Grant",8.36,"","2017-09-15","2017-09-05",13,"Apple","genetic control","13r33"
"34",34,"red","Ferris",7.05,"","2017-09-15","2017-09-05",13,"Apple","genetic control","13r34"
"35",35,"red","Grant",10.354,"","2017-09-15","2017-09-05",13,"Apple","genetic control","13r35"
"36",36,"red","Grant",6.168,"","2017-09-15","2017-09-05",13,"Apple","Simulated Overwintering","13r36"
"37",37,"red","Grant",5.759,"","2017-09-15","2017-09-05",13,"Apple","genetic control","13r37"
"38",38,"red","Milford",11.825,"","2017-09-15","2017-09-05",13,"Haw","genetic control","13r38"
"39",39,"red","Grant",9.559,"","2017-09-15","2017-09-05",13,"Apple","RT eclosion","13r39"
"40",40,"red","Grant",9.352,"","2017-09-15","2017-09-05",13,"Apple","Simulated Overwintering","13r40"
"41",41,"red","Grant",9.182,"","2017-09-15","2017-09-05",13,"Apple","Simulated Overwintering","13r41"
"42",42,"red","Grant",8.918,"","2017-09-15","2017-09-05",13,"Apple","RT eclosion","13r42"
"43",43,"red","Grant",6.174,"","2017-09-15","2017-09-05",13,"Apple","genetic control","13r43"
"44",44,"red","Ferris",6.098,"","2017-09-15","2017-09-05",13,"Apple","RT eclosion","13r44"
"45",45,"red","Grant",5.665,"","2017-09-15","2017-09-05",13,"Apple","Simulated Overwintering","13r45"
"46",46,"red","Ferris",6.67,"","2017-09-15","2017-09-05",13,"Apple","Simulated Overwintering","13r46"
"47",47,"red","Grant",9.653,"","2017-09-15","2017-09-05",13,"Apple","Simulated Overwintering","13r47"
"48",48,"red","Grant",10.33,"","2017-09-15","2017-09-05",13,"Apple","Simulated Overwintering","13r48"
"49",49,"red","Ferris",8.466,"","2017-09-15","2017-09-05",13,"Apple","Simulated Overwintering","13r49"
"50",50,"red","MSU",7.152,"","2017-09-15","2017-09-05",13,"Apple","Simulated Overwintering","13r50"
"51",51,"red","MSU",9.475,"","2017-09-15","2017-09-05",13,"Apple","genetic control","13r51"
"52",52,"red","Grant",6.223,"","2017-09-15","2017-09-05",13,"Apple","RT eclosion","13r52"
"53",53,"red","Ferris",5.641,"","2017-09-15","2017-09-05",13,"Apple","genetic control","13r53"
"54",54,"red","Grant",6.602,"","2017-09-15","2017-09-05",13,"Apple","RT eclosion","13r54"
"55",55,"red","Grant",3.494,"","2017-09-15","2017-09-05",13,"Apple","Simulated Overwintering","13r55"
"56",56,"red","Grant",4.961,"","2017-09-15","2017-09-05",13,"Apple","RT eclosion","13r56"
"57",57,"red","MSU",6.736,"","2017-09-15","2017-09-05",13,"Apple","genetic control","13r57"
"58",58,"red","Grant",5.193,"","2017-09-15","2017-09-05",13,"Apple","genetic control","13r58"
"59",59,"red","Grant",4.537,"","2017-09-15","2017-09-05",13,"Apple","Simulated Overwintering","13r59"
"60",60,"red","Ferris",8.23,"","2017-09-15","2017-09-05",13,"Apple","genetic control","13r60"
"61",61,"red","Grant",4.522,"","2017-09-15","2017-09-05",13,"Apple","Simulated Overwintering","13r61"
"62",62,"red","Grant",6.029,"","2017-09-15","2017-09-05",13,"Apple","genetic control","13r62"
"63",63,"red","Grant",10.142,"","2017-09-15","2017-09-05",13,"Apple","Simulated Overwintering","13r63"
"64",64,"red","Ferris",9.758,"","2017-09-15","2017-09-05",13,"Apple","genetic control","13r64"
"65",65,"red","Grant",5.369,"","2017-09-15","2017-09-05",13,"Apple","Simulated Overwintering","13r65"
"66",66,"red","Grant",6.256,"","2017-09-15","2017-09-05",13,"Apple","Simulated Overwintering","13r66"
"67",67,"red","Milford",7.26,"","2017-09-15","2017-09-05",13,"Haw","genetic control","13r67"
"68",68,"red","Grant",5.008,"","2017-09-15","2017-09-05",13,"Apple","Simulated Overwintering","13r68"
"69",69,"red","Grant",9.712,"","2017-09-15","2017-09-05",13,"Apple","RT eclosion","13r69"
"70",70,"red","Blank",NA,"","2017-09-15","2017-09-05",13,"Apple","RT eclosion","13r70"
"71",71,"red","Grant",6.265,"","2017-09-15","2017-09-05",13,"Apple","genetic control","13r71"
"72",72,"red","Ferris",9.496,"","2017-09-15","2017-09-05",13,"Apple","Simulated Overwintering","13r72"
"73",73,"red","Blank",NA,"","2017-09-15","2017-09-05",13,"Apple","genetic control","13r73"
"74",74,"red","Grant",6.747,"","2017-09-15","2017-09-05",13,"Apple","RT eclosion","13r74"
"75",75,"red","Grant",8.029,"","2017-09-15","2017-09-05",13,"Apple","RT eclosion","13r75"
"76",76,"red","Grant",4.576,"","2017-09-15","2017-09-05",13,"Apple","genetic control","13r76"
"77",77,"red","Ferris",7.024,"14:53","2017-09-15","2017-09-05",13,"Apple","Simulated Overwintering","13r77"
"78",1,"orange","Ferris",5.399,"","2017-09-15","2017-09-05",13,"Apple","genetic control","13o1"
"79",2,"orange","Grant",9.049,"","2017-09-15","2017-09-05",13,"Apple","genetic control","13o2"
"80",3,"orange","Grant",8.705,"","2017-09-15","2017-09-05",13,"Apple","Simulated Overwintering","13o3"
"81",4,"orange","Ferris",6.99,"","2017-09-15","2017-09-05",13,"Apple","RT eclosion","13o4"
"82",5,"orange","Grant",10.695,"","2017-09-15","2017-09-05",13,"Apple","genetic control","13o5"
"83",6,"orange","Grant",7.494,"","2017-09-15","2017-09-05",13,"Apple","Simulated Overwintering","13o6"
"84",7,"orange","Ferris",5.387,"","2017-09-15","2017-09-05",13,"Apple","Simulated Overwintering","13o7"
"85",8,"orange","Grant",6.47,"","2017-09-15","2017-09-05",13,"Apple","RT eclosion","13o8"
"86",9,"orange","MSU",6.851,"","2017-09-15","2017-09-05",13,"Apple","Simulated Overwintering","13o9"
"87",10,"orange","Grant",8.747,"","2017-09-15","2017-09-05",13,"Apple","RT eclosion","13o10"
"88",11,"orange","Grant",6.49,"","2017-09-15","2017-09-05",13,"Apple","RT eclosion","13o11"
"89",12,"orange","Ferris",5.145,"","2017-09-15","2017-09-05",13,"Apple","RT eclosion","13o12"
"90",13,"orange","Grant",4.039,"","2017-09-15","2017-09-05",13,"Apple","genetic control","13o13"
"91",14,"orange","Ferris",6.445,"","2017-09-15","2017-09-05",13,"Apple","Simulated Overwintering","13o14"
"92",15,"orange","Grant",5.82,"","2017-09-15","2017-09-05",13,"Apple","genetic control","13o15"
"93",16,"orange","Ferris",8.522,"","2017-09-15","2017-09-05",13,"Apple","RT eclosion","13o16"
"94",17,"orange","Grant",4.103,"","2017-09-15","2017-09-05",13,"Apple","Simulated Overwintering","13o17"
"95",18,"orange","Grant",9.507,"","2017-09-15","2017-09-05",13,"Apple","Simulated Overwintering","13o18"
"96",19,"orange","Ferris",5.697,"","2017-09-15","2017-09-05",13,"Apple","genetic control","13o19"
"97",20,"orange","Grant",6.544,"","2017-09-15","2017-09-05",13,"Apple","genetic control","13o20"
"98",21,"orange","Ferris",4.336,"","2017-09-15","2017-09-05",13,"Apple","genetic control","13o21"
"99",22,"orange","MSU",6.992,"","2017-09-15","2017-09-05",13,"Apple","genetic control","13o22"
"100",23,"orange","Grant",6.12,"","2017-09-15","2017-09-05",13,"Apple","Simulated Overwintering","13o23"
"101",24,"orange","Grant",3.216,"","2017-09-15","2017-09-05",13,"Apple","genetic control","13o24"
"102",25,"orange","Ferris",4.065,"","2017-09-15","2017-09-05",13,"Apple","RT eclosion","13o25"
"103",26,"orange","Ferris",7.816,"","2017-09-15","2017-09-05",13,"Apple","RT eclosion","13o26"
"104",27,"orange","Grant",6.91,"","2017-09-15","2017-09-05",13,"Apple","RT eclosion","13o27"
"105",28,"orange","Milford",10.525,"","2017-09-15","2017-09-05",13,"Haw","RT eclosion","13o28"
