Ind_ID,tape,Site_name,mass_day10,purge_time_1,day10,cohort_date,cohort_day,Host
1,orange,Grant,11.616,16:23,2017-09-18,2017-09-08,16,Apple
2,orange,Grant,10.393,,2017-09-18,2017-09-08,16,Apple
3,orange,Grant,7.151,,2017-09-18,2017-09-08,16,Apple
4,orange,Ferris,7.454,,2017-09-18,2017-09-08,16,Apple
5,orange,Grant,6.297,,2017-09-18,2017-09-08,16,Apple
6,orange,Grant,4.977,,2017-09-18,2017-09-08,16,Apple
7,orange,Grant,7.168,,2017-09-18,2017-09-08,16,Apple
8,orange,Grant,5.793,,2017-09-18,2017-09-08,16,Apple
9,orange,Grant,8.215,,2017-09-18,2017-09-08,16,Apple
10,orange,Grant,2.64,,2017-09-18,2017-09-08,16,Apple
11,orange,Grant,8.771,,2017-09-18,2017-09-08,16,Apple
12,orange,Grant,8.113,,2017-09-18,2017-09-08,16,Apple
13,orange,Grant,7.084,,2017-09-18,2017-09-08,16,Apple
14,orange,Milford,7.412,,2017-09-18,2017-09-08,16,Haw
15,orange,Grant,4.601,,2017-09-18,2017-09-08,16,Apple
16,orange,Grant,5.812,,2017-09-18,2017-09-08,16,Apple
17,orange,Grant,7.215,,2017-09-18,2017-09-08,16,Apple
18,orange,Grant,8.204,,2017-09-18,2017-09-08,16,Apple
19,orange,Grant,8.157,,2017-09-18,2017-09-08,16,Apple
20,orange,Grant,7.884,,2017-09-18,2017-09-08,16,Apple
21,orange,Grant,6.887,,2017-09-18,2017-09-08,16,Apple
22,orange,Grant,9.652,,2017-09-18,2017-09-08,16,Apple
23,orange,Grant,8.217,,2017-09-18,2017-09-08,16,Apple
24,orange,Grant,6.953,,2017-09-18,2017-09-08,16,Apple
25,orange,Grant,6.698,,2017-09-18,2017-09-08,16,Apple
26,orange,Ferris,10.854,,2017-09-18,2017-09-08,16,Apple
27,orange,Grant,6.611,,2017-09-18,2017-09-08,16,Apple
28,orange,Grant,6.429,,2017-09-18,2017-09-08,16,Apple
29,orange,Grant,6.545,,2017-09-18,2017-09-08,16,Apple
30,orange,Grant,5.303,,2017-09-18,2017-09-08,16,Apple
31,orange,Grant,6.478,,2017-09-18,2017-09-08,16,Apple
32,orange,Grant,4.52,,2017-09-18,2017-09-08,16,Apple
33,orange,Grant,7.155,,2017-09-18,2017-09-08,16,Apple
34,orange,Grant,10.015,,2017-09-18,2017-09-08,16,Apple
35,orange,Ferris,7.948,,2017-09-18,2017-09-08,16,Apple
36,orange,Grant,4.135,,2017-09-18,2017-09-08,16,Apple
37,orange,Grant,6.432,,2017-09-18,2017-09-08,16,Apple
38,orange,Grant,,,2017-09-18,2017-09-08,16,Apple
39,orange,Grant,,,2017-09-18,2017-09-08,16,Apple
47,orange,Ferris,7.284,,2017-09-18,2017-09-08,16,Apple
1,white,Grant,6.438,,2017-09-18,2017-09-08,16,Apple
2,white,Grant,8.167,,2017-09-18,2017-09-08,16,Apple
3,Ferris,Grant,10.307,,2017-09-18,2017-09-08,16,Apple
4,white,Grant,8.899,,2017-09-18,2017-09-08,16,Apple
5,white,Grant,6.395,,2017-09-18,2017-09-08,16,Apple
6,white,Grant,7.913,,2017-09-18,2017-09-08,16,Apple
7,white,Grant,10.925,,2017-09-18,2017-09-08,16,Apple
8,white,Grant,10.417,,2017-09-18,2017-09-08,16,Apple
9,white,Grant,10.778,,2017-09-18,2017-09-08,16,Apple
10,white,Grant,10.365,,2017-09-18,2017-09-08,16,Apple
11,white,Grant,3.526,,2017-09-18,2017-09-08,16,Apple
12,white,Grant,6.854,,2017-09-18,2017-09-08,16,Apple
13,Ferris,Grant,5.963,,2017-09-18,2017-09-08,16,Apple
14,white,Grant,9.551,,2017-09-18,2017-09-08,16,Apple
15,white,Grant,8.258,,2017-09-18,2017-09-08,16,Apple
16,white,Grant,6.349,,2017-09-18,2017-09-08,16,Apple
17,white,Grant,5.622,,2017-09-18,2017-09-08,16,Apple
18,white,Grant,7.83,,2017-09-18,2017-09-08,16,Apple
19,white,Grant,7.406,,2017-09-18,2017-09-08,16,Apple
20,white,Grant,7.57,,2017-09-18,2017-09-08,16,Apple
21,white,Grant,8.46,,2017-09-18,2017-09-08,16,Apple
22,white,Grant,9.346,,2017-09-18,2017-09-08,16,Apple
23,white,Grant,7.04,,2017-09-18,2017-09-08,16,Apple
24,Ferris,Grant,7.047,,2017-09-18,2017-09-08,16,Apple
25,white,Grant,6.306,,2017-09-18,2017-09-08,16,Apple
26,white,Grant,,,2017-09-18,2017-09-08,16,Apple
27,white,Grant,7.36,,2017-09-18,2017-09-08,16,Apple
28,white,Grant,5.963,,2017-09-18,2017-09-08,16,Apple
29,white,Grant,9.664,,2017-09-18,2017-09-08,16,Apple
30,white,Grant,5.782,,2017-09-18,2017-09-08,16,Apple
31,white,Grant,5.473,,2017-09-18,2017-09-08,16,Apple
32,white,Grant,5.95,,2017-09-18,2017-09-08,16,Apple
33,white,Grant,6.037,,2017-09-18,2017-09-08,16,Apple
34,Ferris,Grant,7.204,,2017-09-18,2017-09-08,16,Apple
35,white,Grant,8.281,,2017-09-18,2017-09-08,16,Apple
36,white,Grant,6.121,,2017-09-18,2017-09-08,16,Apple
37,Blank,Grant,,,2017-09-18,2017-09-08,16,Apple
38,Blank,Grant,,,2017-09-18,2017-09-08,16,Apple
42,Ferris,Grant,5.687,16:36,2017-09-18,2017-09-08,16,Apple
