Ind_ID,tape,Site_name,mass_day10,purge_time_1,day10,cohort_date,cohort_day,Host,rando_assign,uniqueID,wellID
1,orange,Grant,11.616,16:23,9/18/17,9/8/17,16,Apple,genetic control,16o1,
2,orange,Grant,10.393,,9/18/17,9/8/17,16,Apple,Simulated Overwintering,16o2,A10
3,orange,Grant,7.151,,9/18/17,9/8/17,16,Apple,Simulated Overwintering,16o3,F7
4,orange,Ferris,7.454,,9/18/17,9/8/17,16,Apple,RT eclosion,16o4,D6
5,orange,Grant,6.297,,9/18/17,9/8/17,16,Apple,genetic control,16o5,
6,orange,Grant,4.977,,9/18/17,9/8/17,16,Apple,genetic control,16o6,
7,orange,Grant,7.168,,9/18/17,9/8/17,16,Apple,genetic control,16o7,
8,orange,Grant,5.793,,9/18/17,9/8/17,16,Apple,RT eclosion,16o8,G4
9,orange,Grant,8.215,,9/18/17,9/8/17,16,Apple,Simulated Overwintering,16o9,C10
10,orange,Grant,2.64,,9/18/17,9/8/17,16,Apple,genetic control,16o10,
11,orange,Grant,8.771,,9/18/17,9/8/17,16,Apple,Simulated Overwintering,16o11,E9
12,orange,Grant,8.113,,9/18/17,9/8/17,16,Apple,genetic control,16o12,
13,orange,Grant,7.084,,9/18/17,9/8/17,16,Apple,RT eclosion,16o13,F11
14,orange,Milford,7.412,,9/18/17,9/8/17,16,Haw,genetic control,16o14,
15,orange,Grant,4.601,,9/18/17,9/8/17,16,Apple,RT eclosion,16o15,D6
16,orange,Grant,5.812,,9/18/17,9/8/17,16,Apple,RT eclosion,16o16,A4
17,orange,Grant,7.215,,9/18/17,9/8/17,16,Apple,RT eclosion,16o17,H11
18,orange,Grant,8.204,,9/18/17,9/8/17,16,Apple,Simulated Overwintering,16o18,E8
19,orange,Grant,8.157,,9/18/17,9/8/17,16,Apple,RT eclosion,16o19,B11
20,orange,Grant,7.884,,9/18/17,9/8/17,16,Apple,genetic control,16o20,
21,orange,Grant,6.887,,9/18/17,9/8/17,16,Apple,Simulated Overwintering,16o21,B6
22,orange,Grant,9.652,,9/18/17,9/8/17,16,Apple,genetic control,16o22,
23,orange,Grant,8.217,,9/18/17,9/8/17,16,Apple,Simulated Overwintering,16o23,E6
24,orange,Grant,6.953,,9/18/17,9/8/17,16,Apple,Simulated Overwintering,16o24,C7
25,orange,Grant,6.698,,9/18/17,9/8/17,16,Apple,RT eclosion,16o25,G4
26,orange,Ferris,10.854,,9/18/17,9/8/17,16,Apple,Simulated Overwintering,16o26,E7
27,orange,Grant,6.611,,9/18/17,9/8/17,16,Apple,Simulated Overwintering,16o27,B5
28,orange,Grant,6.429,,9/18/17,9/8/17,16,Apple,genetic control,16o28,
29,orange,Grant,6.545,,9/18/17,9/8/17,16,Apple,genetic control,16o29,
30,orange,Grant,5.303,,9/18/17,9/8/17,16,Apple,genetic control,16o30,
31,orange,Grant,6.478,,9/18/17,9/8/17,16,Apple,RT eclosion,16o31,G2
32,orange,Grant,4.52,,9/18/17,9/8/17,16,Apple,RT eclosion,16o32,G4
33,orange,Grant,7.155,,9/18/17,9/8/17,16,Apple,genetic control,16o33,
34,orange,Grant,10.015,,9/18/17,9/8/17,16,Apple,Simulated Overwintering,16o34,D10
35,orange,Ferris,7.948,,9/18/17,9/8/17,16,Apple,genetic control,16o35,
36,orange,Grant,4.135,,9/18/17,9/8/17,16,Apple,genetic control,16o36,
37,orange,Grant,6.432,,9/18/17,9/8/17,16,Apple,RT eclosion,16o37,F9
47,orange,Ferris,7.284,,9/18/17,9/8/17,16,Apple,genetic control,16o47,
1,white,Grant,6.438,,9/18/17,9/8/17,16,Apple,RT eclosion,16w1,H7
2,white,Grant,8.167,,9/18/17,9/8/17,16,Apple,RT eclosion,16w2,C7
3,Ferris,Grant,10.307,,9/18/17,9/8/17,16,Apple,RT eclosion,16F3,A7
4,white,Grant,8.899,,9/18/17,9/8/17,16,Apple,Simulated Overwintering,16w4,D2
5,white,Grant,6.395,,9/18/17,9/8/17,16,Apple,RT eclosion,16w5,G5
6,white,Grant,7.913,,9/18/17,9/8/17,16,Apple,RT eclosion,16w6,D10
7,white,Grant,10.925,,9/18/17,9/8/17,16,Apple,RT eclosion,16w7,G4
8,white,Grant,10.417,,9/18/17,9/8/17,16,Apple,RT eclosion,16w8,H11
9,white,Grant,10.778,,9/18/17,9/8/17,16,Apple,genetic control,16w9,
10,white,Grant,10.365,,9/18/17,9/8/17,16,Apple,Simulated Overwintering,16w10,E3
11,white,Grant,3.526,,9/18/17,9/8/17,16,Apple,genetic control,16w11,
12,white,Grant,6.854,,9/18/17,9/8/17,16,Apple,genetic control,16w12,
13,Ferris,Grant,5.963,,9/18/17,9/8/17,16,Apple,Simulated Overwintering,16F13,B11
14,white,Grant,9.551,,9/18/17,9/8/17,16,Apple,Simulated Overwintering,16w14,D5
15,white,Grant,8.258,,9/18/17,9/8/17,16,Apple,RT eclosion,16w15,A8
16,white,Grant,6.349,,9/18/17,9/8/17,16,Apple,Simulated Overwintering,16w16,C6
17,white,Grant,5.622,,9/18/17,9/8/17,16,Apple,Simulated Overwintering,16w17,G2
18,white,Grant,7.83,,9/18/17,9/8/17,16,Apple,Simulated Overwintering,16w18,C10
19,white,Grant,7.406,,9/18/17,9/8/17,16,Apple,genetic control,16w19,
20,white,Grant,7.57,,9/18/17,9/8/17,16,Apple,Simulated Overwintering,16w20,C9
21,white,Grant,8.46,,9/18/17,9/8/17,16,Apple,RT eclosion,16w21,B1
22,white,Grant,9.346,,9/18/17,9/8/17,16,Apple,RT eclosion,16w22,C10
23,white,Grant,7.04,,9/18/17,9/8/17,16,Apple,Simulated Overwintering,16w23,A10
24,Ferris,Grant,7.047,,9/18/17,9/8/17,16,Apple,Simulated Overwintering,16F24,C10
25,white,Grant,6.306,,9/18/17,9/8/17,16,Apple,RT eclosion,16w25,F7
26,white,Grant,NA,,9/18/17,9/8/17,16,Apple,Simulated Overwintering,16w26,A1
27,white,Grant,7.36,,9/18/17,9/8/17,16,Apple,RT eclosion,16w27,B1
28,white,Grant,5.963,,9/18/17,9/8/17,16,Apple,Simulated Overwintering,16w28,G9
29,white,Grant,9.664,,9/18/17,9/8/17,16,Apple,Simulated Overwintering,16w29,B2
30,white,Grant,5.782,,9/18/17,9/8/17,16,Apple,genetic control,16w30,
31,white,Grant,5.473,,9/18/17,9/8/17,16,Apple,RT eclosion,16w31,B11
32,white,Grant,5.95,,9/18/17,9/8/17,16,Apple,Simulated Overwintering,16w32,H1
33,white,Grant,6.037,,9/18/17,9/8/17,16,Apple,Simulated Overwintering,16w33,C8
34,Ferris,Grant,7.204,,9/18/17,9/8/17,16,Apple,genetic control,16F34,
35,white,Grant,8.281,,9/18/17,9/8/17,16,Apple,genetic control,16w35,
36,white,Grant,6.121,,9/18/17,9/8/17,16,Apple,Simulated Overwintering,16w36,B5
37,Blank,Grant,NA,,9/18/17,9/8/17,16,Apple,RT eclosion,16B37,H10
38,Blank,Grant,NA,,9/18/17,9/8/17,16,Apple,RT eclosion,16B38,E9
42,Ferris,Grant,5.687,16:36,9/18/17,9/8/17,16,Apple,RT eclosion,16F42,B7
