Ind_ID,tape,Site_name,mass_day10,purge_time_1,day10,cohort_date,cohort_day,Host,Li-cor_1
1,red,Grant,2.93,13:43,2017-09-22,2017-09-12,20,Apple,7000
2,red,Grant,6.059,,2017-09-22,2017-09-12,20,Apple,7000
3,red,Grant,5.593,,2017-09-22,2017-09-12,20,Apple,7000
4,red,Grant,4.95,,2017-09-22,2017-09-12,20,Apple,7000
5,red,Grant,5.896,,2017-09-22,2017-09-12,20,Apple,7000
6,red,Grant,6.445,,2017-09-22,2017-09-12,20,Apple,7000
7,red,Grant,6.019,,2017-09-22,2017-09-12,20,Apple,7000
8,red,Grant,8.68,,2017-09-22,2017-09-12,20,Apple,7000
9,red,Grant,7.314,,2017-09-22,2017-09-12,20,Apple,7000
10,red,Grant,7.74,,2017-09-22,2017-09-12,20,Apple,7000
11,red,Grant,8.782,,2017-09-22,2017-09-12,20,Apple,7000
12,red,Grant,6.707,,2017-09-22,2017-09-12,20,Apple,7000
13,red,Grant,4.754,,2017-09-22,2017-09-12,20,Apple,7000
14,red,Grant,8.11,,2017-09-22,2017-09-12,20,Apple,7000
15,red,Grant,7.03,,2017-09-22,2017-09-12,20,Apple,7000
16,red,Grant,7.898,,2017-09-22,2017-09-12,20,Apple,7000
17,red,Grant,5.84,,2017-09-22,2017-09-12,20,Apple,7000
1,blue,Grant,7.792,14:54,2017-09-22,2017-09-12,20,Apple,6262
2,blue,Grant,7.879,,2017-09-22,2017-09-12,20,Apple,6262
3,blue,Grant,5.097,,2017-09-22,2017-09-12,20,Apple,6262
4,blue,Grant,9.374,,2017-09-22,2017-09-12,20,Apple,6262
5,blue,Grant,6.692,,2017-09-22,2017-09-12,20,Apple,6262
6,blue,Grant,8.861,,2017-09-22,2017-09-12,20,Apple,6262
7,blue,Grant,7.904,,2017-09-22,2017-09-12,20,Apple,6262
8,blue,Grant,9.502,,2017-09-22,2017-09-12,20,Apple,6262
9,blue,Grant,6.634,,2017-09-22,2017-09-12,20,Apple,6262
10,blue,Grant,7.07,,2017-09-22,2017-09-12,20,Apple,6262
11,blue,Grant,6.846,,2017-09-22,2017-09-12,20,Apple,6262
12,blue,Grant,8.295,,2017-09-22,2017-09-12,20,Apple,6262
13,blue,Grant,10.631,,2017-09-22,2017-09-12,20,Apple,6262
14,blue,Grant,7.545,,2017-09-22,2017-09-12,20,Apple,6262
15,blue,Grant,2.493,,2017-09-22,2017-09-12,20,Apple,6262
16,blue,Grant,5.28,,2017-09-22,2017-09-12,20,Apple,6262
17,blue,Grant,6.416,,2017-09-22,2017-09-12,20,Apple,6262
