Ind_ID,tape,Site_name,mass_day10,purge_time_1,purge1,day10,cohort_date,cohort_day,Host,Li-cor_1
1,red,Ferris,8.877,15:15,,2017-10-03,2017-09-23,2,Haw,6262
2,red,Ferris,12.018,,,2017-10-03,2017-09-23,2,Haw,6262
3,red,Ferris,6.925,,,2017-10-03,2017-09-23,2,Haw,6262
4,red,Ferris,8.591,,,2017-10-03,2017-09-23,2,Haw,6262
5,red,Ferris,9.527,,,2017-10-03,2017-09-23,2,Haw,6262
6,red,Ferris,8.524,,,2017-10-03,2017-09-23,2,Haw,6262
7,red,Ferris,8.71,,,2017-10-03,2017-09-23,2,Haw,6262
8,red,Ferris,6.083,,,2017-10-03,2017-09-23,2,Haw,6262
9,red,Ferris,11.968,,,2017-10-03,2017-09-23,2,Haw,6262
10,red,Ferris,7.715,,,2017-10-03,2017-09-23,2,Haw,6262
11,red,Ferris,12.546,,,2017-10-03,2017-09-23,2,Haw,6262
12,red,Ferris,6.473,,,2017-10-03,2017-09-23,2,Haw,6262
13,red,Ferris,6.543,,,2017-10-03,2017-09-23,2,Haw,6262
14,red,Ferris,11.74,,,2017-10-03,2017-09-23,2,Haw,6262
15,red,Ferris,7.376,,,2017-10-03,2017-09-23,2,Haw,6262
16,red,Ferris,10.992,,,2017-10-03,2017-09-23,2,Haw,6262
17,red,Ferris,8.442,,,2017-10-03,2017-09-23,2,Haw,6262
18,red,Ferris,9.495,,,2017-10-03,2017-09-23,2,Haw,6262
19,red,Ferris,5.565,,,2017-10-03,2017-09-23,2,Haw,6262
20,red,Ferris,11.278,,,2017-10-03,2017-09-23,2,Haw,6262
21,red,Ferris,11.881,,,2017-10-03,2017-09-23,2,Haw,6262
22,red,Ferris,11.566,,,2017-10-03,2017-09-23,2,Haw,6262
23,red,Ferris,5.682,,,2017-10-03,2017-09-23,2,Haw,6262
24,red,Ferris,11.831,,,2017-10-03,2017-09-23,2,Haw,6262
25,red,Ferris,8.104,,,2017-10-03,2017-09-23,2,Haw,6262
26,red,Ferris,9.651,,,2017-10-03,2017-09-23,2,Haw,6262
27,red,Ferris,6.498,,,2017-10-03,2017-09-23,2,Haw,6262
28,red,Ferris,7.765,,,2017-10-03,2017-09-23,2,Haw,6262
29,red,Ferris,7.155,,,2017-10-03,2017-09-23,2,Haw,6262
30,red,Ferris,9.214,,,2017-10-03,2017-09-23,2,Haw,6262
31,red,Ferris,10.41,,,2017-10-03,2017-09-23,2,Haw,6262
32,red,Ferris,8.079,,,2017-10-03,2017-09-23,2,Haw,6262
33,red,Ferris,11.235,,,2017-10-03,2017-09-23,2,Haw,6262
34,red,blank,,,,2017-10-03,2017-09-23,2,Haw,6262
35,red,blank,,15:25,,2017-10-03,2017-09-23,2,Haw,6262
1,blue,Ferris,9.963,15:02,,2017-10-03,2017-09-23,2,Haw,7000
2,blue,Ferris,7.853,,,2017-10-03,2017-09-23,2,Haw,7000
3,blue,Ferris,8.591,,,2017-10-03,2017-09-23,2,Haw,7000
4,blue,Ferris,5.87,,,2017-10-03,2017-09-23,2,Haw,7000
5,blue,Ferris,8.681,,,2017-10-03,2017-09-23,2,Haw,7000
6,blue,Ferris,4.554,,,2017-10-03,2017-09-23,2,Haw,7000
7,blue,Ferris,9.271,,,2017-10-03,2017-09-23,2,Haw,7000
8,blue,Ferris,11.371,,,2017-10-03,2017-09-23,2,Haw,7000
9,blue,Ferris,9.494,,,2017-10-03,2017-09-23,2,Haw,7000
10,blue,Ferris,7.647,,,2017-10-03,2017-09-23,2,Haw,7000
11,blue,Ferris,8.853,,,2017-10-03,2017-09-23,2,Haw,7000
12,blue,Ferris,9.942,,,2017-10-03,2017-09-23,2,Haw,7000
13,blue,Ferris,5.941,,,2017-10-03,2017-09-23,2,Haw,7000
14,blue,Ferris,8.798,,,2017-10-03,2017-09-23,2,Haw,7000
15,blue,Ferris,8.972,,,2017-10-03,2017-09-23,2,Haw,7000
16,blue,Ferris,8.306,,,2017-10-03,2017-09-23,2,Haw,7000
17,blue,Ferris,11.156,,,2017-10-03,2017-09-23,2,Haw,7000
18,blue,Ferris,7.698,,,2017-10-03,2017-09-23,2,Haw,7000
19,blue,Ferris,10.518,,,2017-10-03,2017-09-23,2,Haw,7000
20,blue,Ferris,11.666,,,2017-10-03,2017-09-23,2,Haw,7000
21,blue,Ferris,6.451,,,2017-10-03,2017-09-23,2,Haw,7000
22,blue,Ferris,13.661,,,2017-10-03,2017-09-23,2,Haw,7000
23,blue,Ferris,11.119,,,2017-10-03,2017-09-23,2,Haw,7000
24,blue,Ferris,8.755,,,2017-10-03,2017-09-23,2,Haw,7000
25,blue,Ferris,5.76,,,2017-10-03,2017-09-23,2,Haw,7000
26,blue,Ferris,5.465,,,2017-10-03,2017-09-23,2,Haw,7000
27,blue,Ferris,8.697,,,2017-10-03,2017-09-23,2,Haw,7000
28,blue,Ferris,7.491,,,2017-10-03,2017-09-23,2,Haw,7000
29,blue,Ferris,9.171,,,2017-10-03,2017-09-23,2,Haw,7000
30,blue,Ferris,7.989,,,2017-10-03,2017-09-23,2,Haw,7000
31,blue,Ferris,7.976,,,2017-10-03,2017-09-23,2,Haw,7000
32,blue,Ferris,9.337,,,2017-10-03,2017-09-23,2,Haw,7000
33,blue,Ferris,8.911,,,2017-10-03,2017-09-23,2,Haw,7000
34,blue,blank,,,,2017-10-03,2017-09-23,2,Haw,7000
35,blue,blank,,15:14,,2017-10-03,2017-09-23,2,Haw,7000
