Ind_ID,tape,Site_name,mass_day10,purge_time_1,purge1,day10,cohort_date,cohort_day,Host,X,rando_assign,uniqueID,wellID
1,white,Ferris,6.723,11:53,NA,10/4/17,9/24/17,3,Haw,NA,Simulated Overwintering,3w1,E2
2,white,Ferris,6.34,,NA,10/4/17,9/24/17,3,Haw,NA,RT eclosion,3w2,E1
3,white,Ferris,5.734,,NA,10/4/17,9/24/17,3,Haw,NA,genetic control,3w3,
4,white,Ferris,7.564,,NA,10/4/17,9/24/17,3,Haw,NA,RT eclosion,3w4,C1
5,white,Ferris,9.799,,NA,10/4/17,9/24/17,3,Haw,NA,genetic control,3w5,
6,white,Ferris,9.027,,NA,10/4/17,9/24/17,3,Haw,NA,RT eclosion,3w6,B11
7,white,Ferris,12.644,,NA,10/4/17,9/24/17,3,Haw,NA,genetic control,3w7,
8,white,Ferris,12.032,,NA,10/4/17,9/24/17,3,Haw,NA,RT eclosion,3w8,A3
9,white,Ferris,5.618,,NA,10/4/17,9/24/17,3,Haw,NA,genetic control,3w9,
10,white,Ferris,5.572,,NA,10/4/17,9/24/17,3,Haw,NA,Simulated Overwintering,3w10,G3
11,white,Ferris,7.198,,NA,10/4/17,9/24/17,3,Haw,NA,Simulated Overwintering,3w11,G12
12,white,Ferris,10.095,,NA,10/4/17,9/24/17,3,Haw,NA,genetic control,3w12,
13,white,Ferris,10.373,,NA,10/4/17,9/24/17,3,Haw,NA,RT eclosion,3w13,B4
14,white,Ferris,7.19,,NA,10/4/17,9/24/17,3,Haw,NA,RT eclosion,3w14,E7
15,white,Ferris,8.727,,NA,10/4/17,9/24/17,3,Haw,NA,genetic control,3w15,
16,white,Ferris,9.352,,NA,10/4/17,9/24/17,3,Haw,NA,RT eclosion,3w16,F4
17,white,Ferris,5.006,,NA,10/4/17,9/24/17,3,Haw,NA,genetic control,3w17,
18,white,Ferris,10.41,,NA,10/4/17,9/24/17,3,Haw,NA,RT eclosion,3w18,C2
19,white,Ferris,12.31,,NA,10/4/17,9/24/17,3,Haw,NA,Simulated Overwintering,3w19,E11
20,white,Ferris,7.404,,NA,10/4/17,9/24/17,3,Haw,NA,genetic control,3w20,
21,white,Ferris,8.332,,NA,10/4/17,9/24/17,3,Haw,NA,genetic control,3w21,
22,white,Ferris,10.156,,NA,10/4/17,9/24/17,3,Haw,NA,Simulated Overwintering,3w22,H6
23,white,Ferris,7.56,,NA,10/4/17,9/24/17,3,Haw,NA,RT eclosion,3w23,B10
24,white,Ferris,8.425,,NA,10/4/17,9/24/17,3,Haw,NA,Simulated Overwintering,3w24,G4
25,white,Ferris,7.491,,NA,10/4/17,9/24/17,3,Haw,NA,RT eclosion,3w25,B6
26,white,Ferris,8.639,,NA,10/4/17,9/24/17,3,Haw,NA,RT eclosion,3w26,A7
27,white,Ferris,NA,,NA,10/4/17,9/24/17,3,Haw,NA,RT eclosion,3w27,G10
28,white,Ferris,NA,12:05,NA,10/4/17,9/24/17,3,Haw,NA,Simulated Overwintering,3w28,A4
1,orange,Ferris,9.068,11:42,NA,10/4/17,9/24/17,3,Haw,NA,RT eclosion,3o1,C10
2,orange,Ferris,6.225,,NA,10/4/17,9/24/17,3,Haw,NA,genetic control,3o2,
3,orange,Ferris,9.099,,NA,10/4/17,9/24/17,3,Haw,NA,genetic control,3o3,
4,orange,Ferris,8.629,,NA,10/4/17,9/24/17,3,Haw,NA,RT eclosion,3o4,H12
5,orange,Ferris,8.461,,NA,10/4/17,9/24/17,3,Haw,NA,genetic control,3o5,
6,orange,Ferris,12.64,,NA,10/4/17,9/24/17,3,Haw,NA,Simulated Overwintering,3o6,E7
7,orange,Ferris,7.553,,NA,10/4/17,9/24/17,3,Haw,NA,RT eclosion,3o7,E12
8,orange,Ferris,8.063,,NA,10/4/17,9/24/17,3,Haw,NA,Simulated Overwintering,3o8,F2
9,orange,Ferris,11.889,,NA,10/4/17,9/24/17,3,Haw,NA,genetic control,3o9,
10,orange,Ferris,7.513,,NA,10/4/17,9/24/17,3,Haw,NA,genetic control,3o10,
11,orange,Ferris,9.561,,NA,10/4/17,9/24/17,3,Haw,NA,Simulated Overwintering,3o11,A9
12,orange,Ferris,11.815,,NA,10/4/17,9/24/17,3,Haw,NA,genetic control,3o12,
13,orange,Ferris,11.58,,NA,10/4/17,9/24/17,3,Haw,NA,genetic control,3o13,
14,orange,Ferris,7.651,,NA,10/4/17,9/24/17,3,Haw,NA,Simulated Overwintering,3o14,C6
15,orange,Ferris,10.703,,NA,10/4/17,9/24/17,3,Haw,NA,Simulated Overwintering,3o15,A11
16,orange,Ferris,12.131,,NA,10/4/17,9/24/17,3,Haw,NA,genetic control,3o16,
17,orange,Ferris,10.838,,NA,10/4/17,9/24/17,3,Haw,NA,RT eclosion,3o17,C9
