Ind_ID,tape,Site_name,mass_day10,purge_time_1,purge1,day10,cohort_date,cohort_day,Host
1,white,Ferris,8.786,14:42,,2017-10-05,2017-09-25,4,Haw
2,white,Ferris,7.664,,,2017-10-05,2017-09-25,4,Haw
3,white,Ferris,10.573,,,2017-10-05,2017-09-25,4,Haw
4,white,Ferris,8.277,,,2017-10-05,2017-09-25,4,Haw
5,white,Ferris,5.208,,,2017-10-05,2017-09-25,4,Haw
6,white,Ferris,5.176,,,2017-10-05,2017-09-25,4,Haw
7,white,Ferris,9.346,,,2017-10-05,2017-09-25,4,Haw
8,white,Ferris,4.188,,,2017-10-05,2017-09-25,4,Haw
9,white,Ferris,10.725,,,2017-10-05,2017-09-25,4,Haw
10,white,Ferris,8.846,,,2017-10-05,2017-09-25,4,Haw
11,white,Ferris,5.663,,,2017-10-05,2017-09-25,4,Haw
12,white,Ferris,8.357,,,2017-10-05,2017-09-25,4,Haw
13,white,Ferris,9.103,,,2017-10-05,2017-09-25,4,Haw
14,white,Ferris,7.367,,,2017-10-05,2017-09-25,4,Haw
15,white,Ferris,10.986,,,2017-10-05,2017-09-25,4,Haw
16,white,Ferris,7.917,,,2017-10-05,2017-09-25,4,Haw
17,white,Ferris,5.87,,,2017-10-05,2017-09-25,4,Haw
18,white,Ferris,8.766,,,2017-10-05,2017-09-25,4,Haw
19,white,Ferris,10.251,,,2017-10-05,2017-09-25,4,Haw
20,white,Ferris,5.11,,,2017-10-05,2017-09-25,4,Haw
21,white,Ferris,12.022,,,2017-10-05,2017-09-25,4,Haw
22,white,Ferris,5.312,,,2017-10-05,2017-09-25,4,Haw
23,white,Ferris,4.347,,,2017-10-05,2017-09-25,4,Haw
24,white,Ferris,7.438,,,2017-10-05,2017-09-25,4,Haw
25,white,blank,,,,2017-10-05,2017-09-25,4,Haw
26,white,blank,,14:53,,2017-10-05,2017-09-25,4,Haw
1,orange,Ferris,5.772,14:53,,2017-10-05,2017-09-25,4,Haw
2,orange,Ferris,11.734,,,2017-10-05,2017-09-25,4,Haw
3,orange,Ferris,7.285,,,2017-10-05,2017-09-25,4,Haw
4,orange,Ferris,4.791,,,2017-10-05,2017-09-25,4,Haw
5,orange,Ferris,12.79,,,2017-10-05,2017-09-25,4,Haw
6,orange,Ferris,7.705,,,2017-10-05,2017-09-25,4,Haw
7,orange,Ferris,11.984,,,2017-10-05,2017-09-25,4,Haw
8,orange,Ferris,7.765,,,2017-10-05,2017-09-25,4,Haw
9,orange,Ferris,8.637,,,2017-10-05,2017-09-25,4,Haw
10,orange,Ferris,6.4,,,2017-10-05,2017-09-25,4,Haw
11,orange,Ferris,8.865,,,2017-10-05,2017-09-25,4,Haw
12,orange,Ferris,10.105,,,2017-10-05,2017-09-25,4,Haw
13,orange,Ferris,9.015,,,2017-10-05,2017-09-25,4,Haw
14,orange,Ferris,12.52,,,2017-10-05,2017-09-25,4,Haw
15,orange,Ferris,6.841,,,2017-10-05,2017-09-25,4,Haw
16,orange,Ferris,7.067,,,2017-10-05,2017-09-25,4,Haw
17,orange,Ferris,8.053,,,2017-10-05,2017-09-25,4,Haw
18,orange,Ferris,10.236,,,2017-10-05,2017-09-25,4,Haw
19,orange,Ferris,7.147,,,2017-10-05,2017-09-25,4,Haw
20,orange,Ferris,11.042,,,2017-10-05,2017-09-25,4,Haw
21,orange,Ferris,8.689,,,2017-10-05,2017-09-25,4,Haw
22,orange,Ferris,11.76,,,2017-10-05,2017-09-25,4,Haw
23,orange,Ferris,5.371,,,2017-10-05,2017-09-25,4,Haw
24,orange,Ferris,7.481,,,2017-10-05,2017-09-25,4,Haw
25,orange,Ferris,10.121,,,2017-10-05,2017-09-25,4,Haw
26,orange,blank,,,,2017-10-05,2017-09-25,4,Haw
27,orange,blank,,15:05,,2017-10-05,2017-09-25,4,Haw
