Ind_ID,tape,Site_name,mass_day10,purge_time_1,day10,cohort_date,cohort_day,Host,Li.cor_1,rando_assign,uniqueID,wellID
1,orange,Ferris,7.602,14:12,10/6/17,9/26/17,5,Haw,6262,genetic control,h5o1,
2,orange,Ferris,12.347,,10/6/17,9/26/17,5,Haw,6262,Simulated Overwintering,h5o2,C10
3,orange,Ferris,8.476,,10/6/17,9/26/17,5,Haw,6262,RT eclosion,h5o3,D8
4,orange,Ferris,9.895,,10/6/17,9/26/17,5,Haw,6262,Simulated Overwintering,h5o4,H2
5,orange,Ferris,10.842,,10/6/17,9/26/17,5,Haw,6262,RT eclosion,h5o5,F10
6,orange,Ferris,8.918,,10/6/17,9/26/17,5,Haw,6262,genetic control,h5o6,
7,orange,Ferris,8.861,,10/6/17,9/26/17,5,Haw,6262,Simulated Overwintering,h5o7,G11
8,orange,Ferris,10.849,,10/6/17,9/26/17,5,Haw,6262,RT eclosion,h5o8,F7
9,orange,Ferris,6.024,,10/6/17,9/26/17,5,Haw,6262,Simulated Overwintering,h5o9,G1
10,orange,Ferris,4.421,,10/6/17,9/26/17,5,Haw,6262,RT eclosion,h5o10,B8
11,orange,Ferris,4.582,,10/6/17,9/26/17,5,Haw,6262,Simulated Overwintering,h5o11,E8
12,orange,Ferris,7.039,,10/6/17,9/26/17,5,Haw,6262,RT eclosion,h5o12,D2
13,orange,Ferris,10.707,,10/6/17,9/26/17,5,Haw,6262,Simulated Overwintering,h5o13,E1
14,orange,Ferris,7.164,,10/6/17,9/26/17,5,Haw,6262,Simulated Overwintering,h5o14,D8
15,orange,Ferris,8.845,,10/6/17,9/26/17,5,Haw,6262,RT eclosion,h5o15,G1
16,orange,Ferris,7.648,,10/6/17,9/26/17,5,Haw,6262,genetic control,h5o16,
17,orange,Ferris,12.237,,10/6/17,9/26/17,5,Haw,6262,Simulated Overwintering,h5o17,A5
18,orange,Ferris,10.029,,10/6/17,9/26/17,5,Haw,6262,RT eclosion,h5o18,H4
19,orange,Ferris,3.458,,10/6/17,9/26/17,5,Haw,6262,Simulated Overwintering,h5o19,A9
20,orange,Ferris,4.62,,10/6/17,9/26/17,5,Haw,6262,genetic control,h5o20,
21,orange,Ferris,8.459,,10/6/17,9/26/17,5,Haw,6262,RT eclosion,h5o21,F2
22,orange,Ferris,4.982,,10/6/17,9/26/17,5,Haw,6262,RT eclosion,h5o22,G9
1,red,Ferris,10.991,14:20,10/6/17,9/26/17,5,Haw,7000,genetic control,h5r1,
2,red,Ferris,7.976,,10/6/17,9/26/17,5,Haw,7000,Simulated Overwintering,h5r2,A8
3,red,Ferris,8.436,,10/6/17,9/26/17,5,Haw,7000,Simulated Overwintering,h5r3,F1
4,red,Ferris,4.994,,10/6/17,9/26/17,5,Haw,7000,Simulated Overwintering,h5r4,D9
5,red,Ferris,7.565,,10/6/17,9/26/17,5,Haw,7000,RT eclosion,h5r5,C8
6,red,Ferris,6.341,,10/6/17,9/26/17,5,Haw,7000,genetic control,h5r6,
7,red,Ferris,5.593,,10/6/17,9/26/17,5,Haw,7000,RT eclosion,h5r7,C6
8,red,Ferris,10.273,,10/6/17,9/26/17,5,Haw,7000,Simulated Overwintering,h5r8,C8
9,red,Ferris,8.123,,10/6/17,9/26/17,5,Haw,7000,RT eclosion,h5r9,B12
10,red,Ferris,6.887,,10/6/17,9/26/17,5,Haw,7000,genetic control,h5r10,
11,red,Ferris,7.094,,10/6/17,9/26/17,5,Haw,7000,RT eclosion,h5r11,G7
12,red,Ferris,7.814,,10/6/17,9/26/17,5,Haw,7000,RT eclosion,h5r12,C1
13,red,Ferris,5.853,,10/6/17,9/26/17,5,Haw,7000,RT eclosion,h5r13,E11
14,red,Ferris,7.971,,10/6/17,9/26/17,5,Haw,7000,Simulated Overwintering,h5r14,C1
15,red,Ferris,9.04,,10/6/17,9/26/17,5,Haw,7000,genetic control,h5r15,
16,red,Ferris,6.694,,10/6/17,9/26/17,5,Haw,7000,RT eclosion,h5r16,G3
17,red,Ferris,11.155,,10/6/17,9/26/17,5,Haw,7000,genetic control,h5r17,
18,red,Ferris,10.516,,10/6/17,9/26/17,5,Haw,7000,Simulated Overwintering,h5r18,A12
19,red,Ferris,7.962,,10/6/17,9/26/17,5,Haw,7000,Simulated Overwintering,h5r19,G2
20,red,Ferris,11.752,,10/6/17,9/26/17,5,Haw,7000,Simulated Overwintering,h5r20,G5
21,red,Ferris,8.946,,10/6/17,9/26/17,5,Haw,7000,genetic control,h5r21,
22,red,Ferris,4.368,,10/6/17,9/26/17,5,Haw,7000,genetic control,h5r22,
