Ind_ID,tape,Site_name,mass_day10,purge_time_1,day10,cohort_date,cohort_day,Host,Li-cor_1
1,white,Ferris,11.94,8:57,2017-10-07,2017-09-27,6,Haw,6262
2,white,Ferris,8.893,,2017-10-07,2017-09-27,6,Haw,6262
3,white,Ferris,11.197,,2017-10-07,2017-09-27,6,Haw,6262
4,white,Ferris,11.859,,2017-10-07,2017-09-27,6,Haw,6262
5,white,Ferris,10.181,,2017-10-07,2017-09-27,6,Haw,6262
6,white,Ferris,10.654,,2017-10-07,2017-09-27,6,Haw,6262
7,white,Ferris,8.127,,2017-10-07,2017-09-27,6,Haw,6262
8,white,Ferris,8.077,,2017-10-07,2017-09-27,6,Haw,6262
9,white,Ferris,6.624,,2017-10-07,2017-09-27,6,Haw,6262
10,white,Ferris,11.536,,2017-10-07,2017-09-27,6,Haw,6262
11,white,Ferris,8.382,,2017-10-07,2017-09-27,6,Haw,6262
12,white,Ferris,4.192,,2017-10-07,2017-09-27,6,Haw,6262
13,white,Ferris,7.754,,2017-10-07,2017-09-27,6,Haw,6262
14,white,Ferris,7.992,,2017-10-07,2017-09-27,6,Haw,6262
15,white,Ferris,7.155,,2017-10-07,2017-09-27,6,Haw,6262
16,white,Ferris,8.01,,2017-10-07,2017-09-27,6,Haw,6262
17,white,Ferris,10.971,,2017-10-07,2017-09-27,6,Haw,6262
18,white,Ferris,11.929,,2017-10-07,2017-09-27,6,Haw,6262
19,white,Ferris,5.291,,2017-10-07,2017-09-27,6,Haw,6262
20,white,Ferris,8.699,,2017-10-07,2017-09-27,6,Haw,6262
21,white,Ferris,4.174,,2017-10-07,2017-09-27,6,Haw,6262
22,white,Ferris,6.159,,2017-10-07,2017-09-27,6,Haw,6262
23,white,Ferris,5.961,,2017-10-07,2017-09-27,6,Haw,6262
24,white,Ferris,3.04,,2017-10-07,2017-09-27,6,Haw,6262
25,white,Ferris,10.083,,2017-10-07,2017-09-27,6,Haw,6262
26,white,Ferris,8.011,,2017-10-07,2017-09-27,6,Haw,6262
27,white,Ferris,9.974,,2017-10-07,2017-09-27,6,Haw,6262
28,white,Ferris,8.362,,2017-10-07,2017-09-27,6,Haw,6262
29,white,Ferris,6.743,,2017-10-07,2017-09-27,6,Haw,6262
30,white,Ferris,6.334,,2017-10-07,2017-09-27,6,Haw,6262
31,white,Blank,,,2017-10-07,2017-09-27,6,Haw,6262
32,white,Blank,,9:05,2017-10-07,2017-09-27,6,Haw,6262
1,blue,Ferris,10.603,8:49,2017-10-07,2017-09-27,6,Haw,7000
2,blue,Ferris,6.516,,2017-10-07,2017-09-27,6,Haw,7000
3,blue,Ferris,7.684,,2017-10-07,2017-09-27,6,Haw,7000
4,blue,Ferris,7.522,,2017-10-07,2017-09-27,6,Haw,7000
5,blue,Ferris,7.365,,2017-10-07,2017-09-27,6,Haw,7000
6,blue,Ferris,10.224,,2017-10-07,2017-09-27,6,Haw,7000
7,blue,Ferris,7.418,,2017-10-07,2017-09-27,6,Haw,7000
8,blue,Ferris,4.067,,2017-10-07,2017-09-27,6,Haw,7000
9,blue,Ferris,3.866,,2017-10-07,2017-09-27,6,Haw,7000
10,blue,Ferris,6.879,,2017-10-07,2017-09-27,6,Haw,7000
11,blue,Ferris,8.096,,2017-10-07,2017-09-27,6,Haw,7000
12,blue,Ferris,10.236,,2017-10-07,2017-09-27,6,Haw,7000
13,blue,Ferris,9.481,,2017-10-07,2017-09-27,6,Haw,7000
14,blue,Ferris,10.134,,2017-10-07,2017-09-27,6,Haw,7000
15,blue,Ferris,7.689,,2017-10-07,2017-09-27,6,Haw,7000
16,blue,Ferris,11.674,,2017-10-07,2017-09-27,6,Haw,7000
17,blue,Ferris,8.912,,2017-10-07,2017-09-27,6,Haw,7000
18,blue,Ferris,11.402,,2017-10-07,2017-09-27,6,Haw,7000
19,blue,Ferris,7.107,,2017-10-07,2017-09-27,6,Haw,7000
20,blue,Ferris,10.962,,2017-10-07,2017-09-27,6,Haw,7000
21,blue,Ferris,8.745,,2017-10-07,2017-09-27,6,Haw,7000
22,blue,Ferris,7.022,,2017-10-07,2017-09-27,6,Haw,7000
23,blue,Ferris,5.154,,2017-10-07,2017-09-27,6,Haw,7000
24,blue,Ferris,7.553,,2017-10-07,2017-09-27,6,Haw,7000
25,blue,Ferris,11.222,,2017-10-07,2017-09-27,6,Haw,7000
26,blue,Ferris,11.782,,2017-10-07,2017-09-27,6,Haw,7000
27,blue,Ferris,8.521,,2017-10-07,2017-09-27,6,Haw,7000
28,blue,Ferris,10.927,,2017-10-07,2017-09-27,6,Haw,7000
29,blue,Ferris,12.37,,2017-10-07,2017-09-27,6,Haw,7000
30,blue,Ferris,5.229,,2017-10-07,2017-09-27,6,Haw,7000
31,blue,Ferris,,,2017-10-07,2017-09-27,6,Haw,7000
32,blue,Ferris,,8:56,2017-10-07,2017-09-27,6,Haw,7000
