,sample.wells..60.,treatment
1,G2,RT
2,C11,RT
3,A2,RT
4,G6,RT
5,D4,RT
6,E12,RT
7,C1,RT
8,E1,RT
9,G3,RT
10,A11,RT
11,C2,RT
12,D11,RT
13,A9,RT
14,F4,RT
15,C8,RT
16,A8,RT
17,F12,RT
18,E9,RT
19,H1,RT
20,F9,RT
21,F3,RT
22,G12,RT
23,B9,RT
24,B5,RT
25,G7,RT
26,B3,RT
27,B1,RT
28,G4,RT
29,H3,RT
30,E3,RT
31,D6,SO
32,B7,SO
33,B12,SO
34,H12,SO
35,F11,SO
36,A6,SO
37,A3,SO
38,C4,SO
39,A5,SO
40,A1,SO
41,B4,SO
42,D3,SO
43,A7,SO
44,C6,SO
45,C7,SO
46,C9,SO
47,E10,SO
48,H10,SO
49,B6,SO
50,G11,SO
51,F5,SO
52,B11,SO
53,D5,SO
54,E2,SO
55,H4,SO
56,B10,SO
57,C5,SO
58,H6,SO
59,C10,SO
60,A4,SO
