Ind_ID,tape,Site_name,mass_day10,purge_time_1,collection_date,day10,cohort_date,cohort_day,Host
1,white,OG,9.966,16:49,2018-08-16,2018-09-05,2018-08-26,11,Apple
2,white,OG,9.912,,2018-08-16,2018-09-05,2018-08-26,11,Apple
3,white,OG,6.542,,2018-08-16,2018-09-05,2018-08-26,11,Apple
4,white,Ferris,9.175,,2018-08-16,2018-09-05,2018-08-26,11,Apple
5,white,Ferris,6.368,,2018-08-16,2018-09-05,2018-08-26,11,Apple
6,white,OG,11.004,,2018-08-16,2018-09-05,2018-08-26,11,Apple
7,white,OG,7.3,,2018-08-16,2018-09-05,2018-08-26,11,Apple
8,white,Ferris,10.097,,2018-08-16,2018-09-05,2018-08-26,11,Apple
9,white,Ferris,8.203,,2018-08-16,2018-09-05,2018-08-26,11,Apple
10,white,Ferris,9.542,,2018-08-16,2018-09-05,2018-08-26,11,Apple
11,white,OG,7.239,,2018-08-16,2018-09-05,2018-08-26,11,Apple
12,white,OG,11.362,,2018-08-16,2018-09-05,2018-08-26,11,Apple
13,white,Ferris,6.62,,2018-08-16,2018-09-05,2018-08-26,11,Apple
14,white,Ferris,6.413,,2018-08-16,2018-09-05,2018-08-26,11,Apple
15,white,OG,4.715,,2018-08-16,2018-09-05,2018-08-26,11,Apple
16,white,Ferris,11,,2018-08-16,2018-09-05,2018-08-26,11,Apple
17,white,OG,12.013,,2018-08-16,2018-09-05,2018-08-26,11,Apple
18,white,Ferris,8.204,,2018-08-16,2018-09-05,2018-08-26,11,Apple
19,white,Ferris,6.753,,2018-08-16,2018-09-05,2018-08-26,11,Apple
20,white,OG,6.227,,2018-08-16,2018-09-05,2018-08-26,11,Apple
21,white,OG,5.76,,2018-08-16,2018-09-05,2018-08-26,11,Apple
22,white,OG,5.778,,2018-08-16,2018-09-05,2018-08-26,11,Apple
23,white,Ferris,5.853,,2018-08-16,2018-09-05,2018-08-26,11,Apple
24,white,OG,9.706,,2018-08-16,2018-09-05,2018-08-26,11,Apple
25,white,Ferris,9.57,,2018-08-16,2018-09-05,2018-08-26,11,Apple
26,white,Ferris,7.004,,2018-08-16,2018-09-05,2018-08-26,11,Apple
27,white,Ferris,6.43,,2018-08-16,2018-09-05,2018-08-26,11,Apple
28,white,OG,10.427,,2018-08-16,2018-09-05,2018-08-26,11,Apple
29,white,Ferris,8.069,,2018-08-16,2018-09-05,2018-08-26,11,Apple
30,white,OG,6.652,,2018-08-16,2018-09-05,2018-08-26,11,Apple
31,white,Ferris,7.739,,2018-08-16,2018-09-05,2018-08-26,11,Apple
32,white,OG,7.174,,2018-08-16,2018-09-05,2018-08-26,11,Apple
33,white,OG,8.402,,2018-08-16,2018-09-05,2018-08-26,11,Apple
34,white,Ferris,6.335,,2018-08-16,2018-09-05,2018-08-26,11,Apple
35,white,OG,7.691,,2018-08-16,2018-09-05,2018-08-26,11,Apple
36,white,Ferris,6.856,,2018-08-16,2018-09-05,2018-08-26,11,Apple
37,white,OG,9.644,,2018-08-16,2018-09-05,2018-08-26,11,Apple
38,white,OG,10.043,,2018-08-16,2018-09-05,2018-08-26,11,Apple
39,white,Ferris,4.011,,2018-08-16,2018-09-05,2018-08-26,11,Apple
40,white,Ferris,5.264,,2018-08-16,2018-09-05,2018-08-26,11,Apple
41,white,Ferris,4.729,,2018-08-16,2018-09-05,2018-08-26,11,Apple
42,white,OG,10.238,,2018-08-16,2018-09-05,2018-08-26,11,Apple
43,white,Ferris,10.393,,2018-08-16,2018-09-05,2018-08-26,11,Apple
44,white,OG,7.257,,2018-08-16,2018-09-05,2018-08-26,11,Apple
45,white,Ferris,7.462,,2018-08-16,2018-09-05,2018-08-26,11,Apple
46,white,blank,,,2018-08-16,2018-09-05,2018-08-26,11,Apple
47,white,blank,,17:04,2018-08-16,2018-09-05,2018-08-26,11,Apple
1,blue,OG,6.499,16:37,2018-08-16,2018-09-05,2018-08-26,11,Apple
2,blue,Ferris,8.819,,2018-08-16,2018-09-05,2018-08-26,11,Apple
3,blue,OG,8.146,,2018-08-16,2018-09-05,2018-08-26,11,Apple
4,blue,OG,6.747,,2018-08-16,2018-09-05,2018-08-26,11,Apple
5,blue,OG,8.383,,2018-08-16,2018-09-05,2018-08-26,11,Apple
6,blue,Ferris,11.62,,2018-08-16,2018-09-05,2018-08-26,11,Apple
7,blue,OG,7.699,,2018-08-16,2018-09-05,2018-08-26,11,Apple
8,blue,Ferris,5.233,,2018-08-16,2018-09-05,2018-08-26,11,Apple
9,blue,Ferris,8.733,,2018-08-16,2018-09-05,2018-08-26,11,Apple
10,blue,OG,9.737,,2018-08-16,2018-09-05,2018-08-26,11,Apple
11,blue,Ferris,15.02,,2018-08-16,2018-09-05,2018-08-26,11,Apple
12,blue,Ferris,9.154,,2018-08-16,2018-09-05,2018-08-26,11,Apple
13,blue,OG,10.824,,2018-08-16,2018-09-05,2018-08-26,11,Apple
14,blue,OG,7.755,,2018-08-16,2018-09-05,2018-08-26,11,Apple
15,blue,Ferris,9.198,,2018-08-16,2018-09-05,2018-08-26,11,Apple
16,blue,OG,8.888,,2018-08-16,2018-09-05,2018-08-26,11,Apple
17,blue,Ferris,11.338,,2018-08-16,2018-09-05,2018-08-26,11,Apple
18,blue,OG,7.021,,2018-08-16,2018-09-05,2018-08-26,11,Apple
19,blue,Ferris,8.823,,2018-08-16,2018-09-05,2018-08-26,11,Apple
20,blue,OG,10.875,,2018-08-16,2018-09-05,2018-08-26,11,Apple
21,blue,OG,8.386,,2018-08-16,2018-09-05,2018-08-26,11,Apple
22,blue,Ferris,9.916,,2018-08-16,2018-09-05,2018-08-26,11,Apple
23,blue,OG,9.961,,2018-08-16,2018-09-05,2018-08-26,11,Apple
24,blue,Ferris,7.047,,2018-08-16,2018-09-05,2018-08-26,11,Apple
25,blue,OG,9.832,,2018-08-16,2018-09-05,2018-08-26,11,Apple
26,blue,Ferris,8.186,,2018-08-16,2018-09-05,2018-08-26,11,Apple
27,blue,OG,8.101,,2018-08-16,2018-09-05,2018-08-26,11,Apple
28,blue,OG,10.337,,2018-08-16,2018-09-05,2018-08-26,11,Apple
29,blue,Ferris,6.224,,2018-08-16,2018-09-05,2018-08-26,11,Apple
30,blue,Ferris,6.5,,2018-08-16,2018-09-05,2018-08-26,11,Apple
31,blue,Ferris,8.146,,2018-08-16,2018-09-05,2018-08-26,11,Apple
32,blue,OG,10.167,,2018-08-16,2018-09-05,2018-08-26,11,Apple
33,blue,OG,11.027,,2018-08-16,2018-09-05,2018-08-26,11,Apple
34,blue,Ferris,5.776,,2018-08-16,2018-09-05,2018-08-26,11,Apple
35,blue,OG,5.847,,2018-08-16,2018-09-05,2018-08-26,11,Apple
36,blue,Ferris,6.361,,2018-08-16,2018-09-05,2018-08-26,11,Apple
37,blue,OG,5.777,,2018-08-16,2018-09-05,2018-08-26,11,Apple
38,blue,Ferris,5.282,,2018-08-16,2018-09-05,2018-08-26,11,Apple
39,blue,OG,6.83,,2018-08-16,2018-09-05,2018-08-26,11,Apple
40,blue,OG,7.082,,2018-08-16,2018-09-05,2018-08-26,11,Apple
41,blue,Ferris,8.862,,2018-08-16,2018-09-05,2018-08-26,11,Apple
42,blue,Ferris,3.017,,2018-08-16,2018-09-05,2018-08-26,11,Apple
43,blue,OG,10.318,,2018-08-16,2018-09-05,2018-08-26,11,Apple
44,blue,Ferris,6.198,,2018-08-16,2018-09-05,2018-08-26,11,Apple
45,blue,OG,6.546,,2018-08-16,2018-09-05,2018-08-26,11,Apple
46,blue,blank,,,2018-08-16,2018-09-05,2018-08-26,11,Apple
47,blue,blank,,16:49,2018-08-16,2018-09-05,2018-08-26,11,Apple
