Ind_ID,tape,Site_name,mass_day10,purge_time_1,collection_date,day10,cohort_date,cohort_day,Host,uniqueID,rando_assign,wellID
1,white,OG,9.966,16:49,8/16/18,9/5/18,8/26/18,11,Apple,a11w1_18,Simulated Overwintering,A2
2,white,OG,9.912,,8/16/18,9/5/18,8/26/18,11,Apple,a11w2_18,genetic control,
3,white,OG,6.542,,8/16/18,9/5/18,8/26/18,11,Apple,a11w3_18,genetic control,
4,white,Ferris,9.175,,8/16/18,9/5/18,8/26/18,11,Apple,a11w4_18,Simulated Overwintering,D5
5,white,Ferris,6.368,,8/16/18,9/5/18,8/26/18,11,Apple,a11w5_18,Simulated Overwintering,B11
6,white,OG,11.004,,8/16/18,9/5/18,8/26/18,11,Apple,a11w6_18,genetic control,
7,white,OG,7.3,,8/16/18,9/5/18,8/26/18,11,Apple,a11w7_18,Simulated Overwintering,H8
8,white,Ferris,10.097,,8/16/18,9/5/18,8/26/18,11,Apple,a11w8_18,Simulated Overwintering,F4
9,white,Ferris,8.203,,8/16/18,9/5/18,8/26/18,11,Apple,a11w9_18,RT eclosion,F12
10,white,Ferris,9.542,,8/16/18,9/5/18,8/26/18,11,Apple,a11w10_18,RT eclosion,C6
11,white,OG,7.239,,8/16/18,9/5/18,8/26/18,11,Apple,a11w11_18,genetic control,
12,white,OG,11.362,,8/16/18,9/5/18,8/26/18,11,Apple,a11w12_18,RT eclosion,A4
13,white,Ferris,6.62,,8/16/18,9/5/18,8/26/18,11,Apple,a11w13_18,RT eclosion,H12
14,white,Ferris,6.413,,8/16/18,9/5/18,8/26/18,11,Apple,a11w14_18,Simulated Overwintering,A12
15,white,OG,4.715,,8/16/18,9/5/18,8/26/18,11,Apple,a11w15_18,Simulated Overwintering,G4
16,white,Ferris,11,,8/16/18,9/5/18,8/26/18,11,Apple,a11w16_18,RT eclosion,G3
17,white,OG,12.013,,8/16/18,9/5/18,8/26/18,11,Apple,a11w17_18,genetic control,
18,white,Ferris,8.204,,8/16/18,9/5/18,8/26/18,11,Apple,a11w18_18,RT eclosion,D2
19,white,Ferris,6.753,,8/16/18,9/5/18,8/26/18,11,Apple,a11w19_18,genetic control,
20,white,OG,6.227,,8/16/18,9/5/18,8/26/18,11,Apple,a11w20_18,Simulated Overwintering,H1
21,white,OG,5.76,,8/16/18,9/5/18,8/26/18,11,Apple,a11w21_18,Simulated Overwintering,D7
22,white,OG,5.778,,8/16/18,9/5/18,8/26/18,11,Apple,a11w22_18,genetic control,
23,white,Ferris,5.853,,8/16/18,9/5/18,8/26/18,11,Apple,a11w23_18,Simulated Overwintering,B6
24,white,OG,9.706,,8/16/18,9/5/18,8/26/18,11,Apple,a11w24_18,genetic control,
25,white,Ferris,9.57,,8/16/18,9/5/18,8/26/18,11,Apple,a11w25_18,Simulated Overwintering,C10
26,white,Ferris,7.004,,8/16/18,9/5/18,8/26/18,11,Apple,a11w26_18,genetic control,
27,white,Ferris,6.43,,8/16/18,9/5/18,8/26/18,11,Apple,a11w27_18,genetic control,
28,white,OG,10.427,,8/16/18,9/5/18,8/26/18,11,Apple,a11w28_18,RT eclosion,F4
29,white,Ferris,8.069,,8/16/18,9/5/18,8/26/18,11,Apple,a11w29_18,Simulated Overwintering,E7
30,white,OG,6.652,,8/16/18,9/5/18,8/26/18,11,Apple,a11w30_18,genetic control,
31,white,Ferris,7.739,,8/16/18,9/5/18,8/26/18,11,Apple,a11w31_18,RT eclosion,C4
32,white,OG,7.174,,8/16/18,9/5/18,8/26/18,11,Apple,a11w32_18,genetic control,
33,white,OG,8.402,,8/16/18,9/5/18,8/26/18,11,Apple,a11w33_18,genetic control,
34,white,Ferris,6.335,,8/16/18,9/5/18,8/26/18,11,Apple,a11w34_18,Simulated Overwintering,D9
35,white,OG,7.691,,8/16/18,9/5/18,8/26/18,11,Apple,a11w35_18,RT eclosion,F3
36,white,Ferris,6.856,,8/16/18,9/5/18,8/26/18,11,Apple,a11w36_18,genetic control,
37,white,OG,9.644,,8/16/18,9/5/18,8/26/18,11,Apple,a11w37_18,RT eclosion,A12
38,white,OG,10.043,,8/16/18,9/5/18,8/26/18,11,Apple,a11w38_18,RT eclosion,H11
39,white,Ferris,4.011,,8/16/18,9/5/18,8/26/18,11,Apple,a11w39_18,RT eclosion,H2
40,white,Ferris,5.264,,8/16/18,9/5/18,8/26/18,11,Apple,a11w40_18,genetic control,
41,white,Ferris,4.729,,8/16/18,9/5/18,8/26/18,11,Apple,a11w41_18,RT eclosion,A1
42,white,OG,10.238,,8/16/18,9/5/18,8/26/18,11,Apple,a11w42_18,Simulated Overwintering,B9
43,white,Ferris,10.393,,8/16/18,9/5/18,8/26/18,11,Apple,a11w43_18,genetic control,
44,white,OG,7.257,,8/16/18,9/5/18,8/26/18,11,Apple,a11w44_18,Simulated Overwintering,B10
45,white,Ferris,7.462,,8/16/18,9/5/18,8/26/18,11,Apple,a11w45_18,genetic control,
46,white,blank,NA,,8/16/18,9/5/18,8/26/18,11,Apple,,,
47,white,blank,NA,17:04,8/16/18,9/5/18,8/26/18,11,Apple,,,
1,blue,OG,6.499,16:37,8/16/18,9/5/18,8/26/18,11,Apple,a11b1_18,genetic control,
2,blue,Ferris,8.819,,8/16/18,9/5/18,8/26/18,11,Apple,a11b2_18,RT eclosion,E2
3,blue,OG,8.146,,8/16/18,9/5/18,8/26/18,11,Apple,a11b3_18,Simulated Overwintering,A10
4,blue,OG,6.747,,8/16/18,9/5/18,8/26/18,11,Apple,a11b4_18,RT eclosion,H7
5,blue,OG,8.383,,8/16/18,9/5/18,8/26/18,11,Apple,a11b5_18,RT eclosion,C10
6,blue,Ferris,11.62,,8/16/18,9/5/18,8/26/18,11,Apple,a11b6_18,Simulated Overwintering,D4
7,blue,OG,7.699,,8/16/18,9/5/18,8/26/18,11,Apple,a11b7_18,Simulated Overwintering,E6
8,blue,Ferris,5.233,,8/16/18,9/5/18,8/26/18,11,Apple,a11b8_18,Simulated Overwintering,H9
9,blue,Ferris,8.733,,8/16/18,9/5/18,8/26/18,11,Apple,a11b9_18,genetic control,
10,blue,OG,9.737,,8/16/18,9/5/18,8/26/18,11,Apple,a11b10_18,RT eclosion,B12
11,blue,Ferris,15.02,,8/16/18,9/5/18,8/26/18,11,Apple,a11b11_18,genetic control,
12,blue,Ferris,9.154,,8/16/18,9/5/18,8/26/18,11,Apple,a11b12_18,genetic control,
13,blue,OG,10.824,,8/16/18,9/5/18,8/26/18,11,Apple,a11b13_18,Simulated Overwintering,D6
14,blue,OG,7.755,,8/16/18,9/5/18,8/26/18,11,Apple,a11b14_18,Simulated Overwintering,G12
15,blue,Ferris,9.198,,8/16/18,9/5/18,8/26/18,11,Apple,a11b15_18,Simulated Overwintering,A4
16,blue,OG,8.888,,8/16/18,9/5/18,8/26/18,11,Apple,a11b16_18,genetic control,
17,blue,Ferris,11.338,,8/16/18,9/5/18,8/26/18,11,Apple,a11b17_18,RT eclosion,D1
18,blue,OG,7.021,,8/16/18,9/5/18,8/26/18,11,Apple,a11b18_18,RT eclosion,F10
19,blue,Ferris,8.823,,8/16/18,9/5/18,8/26/18,11,Apple,a11b19_18,Simulated Overwintering,G1
