Ind_ID,tape,Site_name,mass_day10,purge_time_1,purge1,collection_date,day10,cohort_date,cohort_day,Host
1,red,Ferris,10.505,13:44,,2018-08-16,2018-09-06,2018-08-27,12,Apple
2,red,Ferris,7.754,,,2018-08-16,2018-09-06,2018-08-27,12,Apple
3,red,OG,8.092,,,2018-08-16,2018-09-06,2018-08-27,12,Apple
4,red,Ferris,6.254,,,2018-08-16,2018-09-06,2018-08-27,12,Apple
5,red,OG,8.745,,,2018-08-16,2018-09-06,2018-08-27,12,Apple
6,red,Ferris,6.076,,,2018-08-16,2018-09-06,2018-08-27,12,Apple
7,red,OG,6.414,,,2018-08-16,2018-09-06,2018-08-27,12,Apple
8,red,Ferris,9.2,,,2018-08-16,2018-09-06,2018-08-27,12,Apple
9,red,OG,8.116,,,2018-08-16,2018-09-06,2018-08-27,12,Apple
10,red,Ferris,8.879,,,2018-08-16,2018-09-06,2018-08-27,12,Apple
11,red,Ferris,7.495,,,2018-08-16,2018-09-06,2018-08-27,12,Apple
12,red,Ferris,10.103,,,2018-08-16,2018-09-06,2018-08-27,12,Apple
13,red,OG,9.698,,,2018-08-16,2018-09-06,2018-08-27,12,Apple
14,red,Ferris,9.564,,,2018-08-16,2018-09-06,2018-08-27,12,Apple
15,red,OG,8.634,,,2018-08-16,2018-09-06,2018-08-27,12,Apple
16,red,Ferris,6.413,,,2018-08-16,2018-09-06,2018-08-27,12,Apple
17,red,OG,6.689,,,2018-08-16,2018-09-06,2018-08-27,12,Apple
18,red,OG,6.409,,,2018-08-16,2018-09-06,2018-08-27,12,Apple
19,red,OG,8.583,,,2018-08-16,2018-09-06,2018-08-27,12,Apple
20,red,OG,7.523,13:49,,2018-08-16,2018-09-06,2018-08-27,12,Apple
21,red,blank,,,,2018-08-16,2018-09-06,2018-08-27,12,Apple
22,red,blank,,,,2018-08-16,2018-09-06,2018-08-27,12,Apple
1,orange,OG,10.206,13:38,,2018-08-16,2018-09-06,2018-08-27,12,Apple
2,orange,OG,11.188,,,2018-08-16,2018-09-06,2018-08-27,12,Apple
3,orange,Ferris,8.84,,,2018-08-16,2018-09-06,2018-08-27,12,Apple
4,orange,OG,10.258,,,2018-08-16,2018-09-06,2018-08-27,12,Apple
5,orange,Ferris,9.728,,,2018-08-16,2018-09-06,2018-08-27,12,Apple
6,orange,OG,7.414,,,2018-08-16,2018-09-06,2018-08-27,12,Apple
7,orange,Ferris,6.763,,,2018-08-16,2018-09-06,2018-08-27,12,Apple
8,orange,OG,8.672,,,2018-08-16,2018-09-06,2018-08-27,12,Apple
9,orange,Ferris,7.603,,,2018-08-16,2018-09-06,2018-08-27,12,Apple
10,orange,Ferris,6.671,,,2018-08-16,2018-09-06,2018-08-27,12,Apple
11,orange,OG,9.822,,,2018-08-16,2018-09-06,2018-08-27,12,Apple
12,orange,Ferris,7.804,,,2018-08-16,2018-09-06,2018-08-27,12,Apple
13,orange,Ferris,3.76,,,2018-08-16,2018-09-06,2018-08-27,12,Apple
14,orange,OG,7.693,,,2018-08-16,2018-09-06,2018-08-27,12,Apple
15,orange,Ferris,5.6,,,2018-08-16,2018-09-06,2018-08-27,12,Apple
16,orange,Ferris,8.48,,,2018-08-16,2018-09-06,2018-08-27,12,Apple
17,orange,OG,9.816,,,2018-08-16,2018-09-06,2018-08-27,12,Apple
18,orange,OG,6.5,,,2018-08-16,2018-09-06,2018-08-27,12,Apple
19,orange,Ferris,5.49,,,2018-08-16,2018-09-06,2018-08-27,12,Apple
20,orange,OG,8.353,,,2018-08-16,2018-09-06,2018-08-27,12,Apple
21,red,blank,,,,2018-08-16,2018-09-06,2018-08-27,12,
22,red,blank,,13:44,,2018-08-16,2018-09-06,2018-08-27,12,
