"","sample.wells..60.","treatment"
"1","H5","RT"
"2","G11","RT"
"3","B6","RT"
"4","C5","RT"
"5","G12","RT"
"6","G6","RT"
"7","D12","RT"
"8","A7","RT"
"9","D2","RT"
"10","B10","RT"
"11","D4","RT"
"12","C9","RT"
"13","H3","RT"
"14","C3","RT"
"15","H8","RT"
"16","C2","RT"
"17","F11","RT"
"18","C6","RT"
"19","F7","RT"
"20","G10","RT"
"21","D11","RT"
"22","A3","RT"
"23","H10","RT"
"24","E6","RT"
"25","H7","RT"
"26","F8","RT"
"27","F1","RT"
"28","C4","RT"
"29","H11","RT"
"30","C12","RT"
"31","B9","SO"
"32","H6","SO"
"33","D5","SO"
"34","E12","SO"
"35","A11","SO"
"36","A9","SO"
"37","A6","SO"
"38","C10","SO"
"39","A4","SO"
"40","D7","SO"
"41","B7","SO"
"42","F10","SO"
"43","E9","SO"
"44","B11","SO"
"45","E4","SO"
"46","A10","SO"
"47","E5","SO"
"48","D1","SO"
"49","E10","SO"
"50","G2","SO"
"51","H2","SO"
"52","B12","SO"
"53","B5","SO"
"54","B1","SO"
"55","B4","SO"
"56","C7","SO"
"57","C11","SO"
"58","G1","SO"
"59","E1","SO"
"60","B8","SO"
