"","Ind_ID","tape","Site_name","mass_day10","purge_time_1","purge1","collection_date","day10","cohort_date","cohort_day","Host","uniqueID","rando_assign","wellID"
"1",1,"red","Ferris",10.505,"13:44",NA,"2018-08-16","2018-09-06","2018-08-27",12,"Apple","a12r1_18","genetic control",""
"2",2,"red","Ferris",7.754,"",NA,"2018-08-16","2018-09-06","2018-08-27",12,"Apple","a12r2_18","RT eclosion","F7"
"3",3,"red","OG",8.092,"",NA,"2018-08-16","2018-09-06","2018-08-27",12,"Apple","a12r3_18","Simulated Overwintering","H2"
"4",4,"red","Ferris",6.254,"",NA,"2018-08-16","2018-09-06","2018-08-27",12,"Apple","a12r4_18","genetic control",""
"5",5,"red","OG",8.745,"",NA,"2018-08-16","2018-09-06","2018-08-27",12,"Apple","a12r5_18","RT eclosion","G7"
"6",6,"red","Ferris",6.076,"",NA,"2018-08-16","2018-09-06","2018-08-27",12,"Apple","a12r6_18","Simulated Overwintering","C4"
"7",7,"red","OG",6.414,"",NA,"2018-08-16","2018-09-06","2018-08-27",12,"Apple","a12r7_18","Simulated Overwintering","D3"
"8",8,"red","Ferris",9.2,"",NA,"2018-08-16","2018-09-06","2018-08-27",12,"Apple","a12r8_18","genetic control",""
"9",9,"red","OG",8.116,"",NA,"2018-08-16","2018-09-06","2018-08-27",12,"Apple","a12r9_18","Simulated Overwintering","F5"
"10",10,"red","Ferris",8.879,"",NA,"2018-08-16","2018-09-06","2018-08-27",12,"Apple","a12r10_18","Simulated Overwintering","H11"
"11",11,"red","Ferris",7.495,"",NA,"2018-08-16","2018-09-06","2018-08-27",12,"Apple","a12r11_18","RT eclosion","C10"
"12",12,"red","Ferris",10.103,"",NA,"2018-08-16","2018-09-06","2018-08-27",12,"Apple","a12r12_18","Simulated Overwintering","C6"
"13",13,"red","OG",9.698,"",NA,"2018-08-16","2018-09-06","2018-08-27",12,"Apple","a12r13_18","genetic control",""
"14",14,"red","Ferris",9.564,"",NA,"2018-08-16","2018-09-06","2018-08-27",12,"Apple","a12r14_18","Simulated Overwintering","A8"
"15",15,"red","OG",8.634,"",NA,"2018-08-16","2018-09-06","2018-08-27",12,"Apple","a12r15_18","genetic control",""
"16",16,"red","Ferris",6.413,"",NA,"2018-08-16","2018-09-06","2018-08-27",12,"Apple","a12r16_18","RT eclosion","G11"
"17",17,"red","OG",6.689,"",NA,"2018-08-16","2018-09-06","2018-08-27",12,"Apple","a12r17_18","RT eclosion","A6"
"18",18,"red","OG",6.409,"",NA,"2018-08-16","2018-09-06","2018-08-27",12,"Apple","a12r18_18","RT eclosion","H5"
"19",19,"red","OG",8.583,"",NA,"2018-08-16","2018-09-06","2018-08-27",12,"Apple","a12r19_18","Simulated Overwintering","F12"
"20",20,"red","OG",7.523,"13:49",NA,"2018-08-16","2018-09-06","2018-08-27",12,"Apple","a12r20_18","RT eclosion","A4"
"21",21,"red","blank",NA,"",NA,"2018-08-16","2018-09-06","2018-08-27",12,"Apple","a12r21_18","Simulated Overwintering","E12"
"22",22,"red","blank",NA,"",NA,"2018-08-16","2018-09-06","2018-08-27",12,"Apple","a12r22_18","RT eclosion","B4"
"23",1,"orange","OG",10.206,"13:38",NA,"2018-08-16","2018-09-06","2018-08-27",12,"Apple","a12o1_18","genetic control",""
"24",2,"orange","OG",11.188,"",NA,"2018-08-16","2018-09-06","2018-08-27",12,"Apple","a12o2_18","genetic control",""
"25",3,"orange","Ferris",8.84,"",NA,"2018-08-16","2018-09-06","2018-08-27",12,"Apple","a12o3_18","genetic control",""
"26",4,"orange","OG",10.258,"",NA,"2018-08-16","2018-09-06","2018-08-27",12,"Apple","a12o4_18","genetic control",""
"27",5,"orange","Ferris",9.728,"",NA,"2018-08-16","2018-09-06","2018-08-27",12,"Apple","a12o5_18","genetic control",""
"28",6,"orange","OG",7.414,"",NA,"2018-08-16","2018-09-06","2018-08-27",12,"Apple","a12o6_18","Simulated Overwintering","G3"
"29",7,"orange","Ferris",6.763,"",NA,"2018-08-16","2018-09-06","2018-08-27",12,"Apple","a12o7_18","Simulated Overwintering","C3"
"30",8,"orange","OG",8.672,"",NA,"2018-08-16","2018-09-06","2018-08-27",12,"Apple","a12o8_18","genetic control",""
"31",9,"orange","Ferris",7.603,"",NA,"2018-08-16","2018-09-06","2018-08-27",12,"Apple","a12o9_18","genetic control",""
