,Ind_ID,tape,Site_name,mass_day10,purge_time_1,purge1,collection_date,day10,cohort_date,cohort_day,Host,uniqueID,rando_assign,wellID
1,1,red,Ferris,10.505,13:44,NA,8/16/2018,9/6/2018,8/27/2018,12,Apple,a12r1_18,Simulated Overwintering,A5
2,2,red,Ferris,7.754,,NA,8/16/2018,9/6/2018,8/27/2018,12,Apple,a12r2_18,Simulated Overwintering,H8
3,3,red,OG,8.092,,NA,8/16/2018,9/6/2018,8/27/2018,12,Apple,a12r3_18,genetic control,
4,4,red,Ferris,6.254,,NA,8/16/2018,9/6/2018,8/27/2018,12,Apple,a12r4_18,Simulated Overwintering,G4
5,5,red,OG,8.745,,NA,8/16/2018,9/6/2018,8/27/2018,12,Apple,a12r5_18,RT eclosion,B8
6,6,red,Ferris,6.076,,NA,8/16/2018,9/6/2018,8/27/2018,12,Apple,a12r6_18,genetic control,
7,7,red,OG,6.414,,NA,8/16/2018,9/6/2018,8/27/2018,12,Apple,a12r7_18,genetic control,
8,8,red,Ferris,9.2,,NA,8/16/2018,9/6/2018,8/27/2018,12,Apple,a12r8_18,Simulated Overwintering,B12
9,9,red,OG,8.116,,NA,8/16/2018,9/6/2018,8/27/2018,12,Apple,a12r9_18,RT eclosion,B1
10,10,red,Ferris,8.879,,NA,8/16/2018,9/6/2018,8/27/2018,12,Apple,a12r10_18,RT eclosion,E12
11,11,red,Ferris,7.495,,NA,8/16/2018,9/6/2018,8/27/2018,12,Apple,a12r11_18,genetic control,
12,12,red,Ferris,10.103,,NA,8/16/2018,9/6/2018,8/27/2018,12,Apple,a12r12_18,RT eclosion,C3
13,13,red,OG,9.698,,NA,8/16/2018,9/6/2018,8/27/2018,12,Apple,a12r13_18,Simulated Overwintering,G5
14,14,red,Ferris,9.564,,NA,8/16/2018,9/6/2018,8/27/2018,12,Apple,a12r14_18,Simulated Overwintering,E7
15,15,red,OG,8.634,,NA,8/16/2018,9/6/2018,8/27/2018,12,Apple,a12r15_18,genetic control,
16,16,red,Ferris,6.413,,NA,8/16/2018,9/6/2018,8/27/2018,12,Apple,a12r16_18,RT eclosion,H10
17,17,red,OG,6.689,,NA,8/16/2018,9/6/2018,8/27/2018,12,Apple,a12r17_18,genetic control,
18,18,red,OG,6.409,,NA,8/16/2018,9/6/2018,8/27/2018,12,Apple,a12r18_18,RT eclosion,H12
19,19,red,OG,8.583,,NA,8/16/2018,9/6/2018,8/27/2018,12,Apple,a12r19_18,genetic control,
20,20,red,OG,7.523,13:49,NA,8/16/2018,9/6/2018,8/27/2018,12,Apple,a12r20_18,genetic control,
21,21,red,blank,NA,,NA,8/16/2018,9/6/2018,8/27/2018,12,Apple,a12r21_18,genetic control,
22,22,red,blank,NA,,NA,8/16/2018,9/6/2018,8/27/2018,12,Apple,a12r22_18,RT eclosion,H8
23,1,orange,OG,10.206,13:38,NA,8/16/2018,9/6/2018,8/27/2018,12,Apple,a12o1_18,genetic control,
24,2,orange,OG,11.188,,NA,8/16/2018,9/6/2018,8/27/2018,12,Apple,a12o2_18,genetic control,
25,3,orange,Ferris,8.84,,NA,8/16/2018,9/6/2018,8/27/2018,12,Apple,a12o3_18,Simulated Overwintering,H12
26,4,orange,OG,10.258,,NA,8/16/2018,9/6/2018,8/27/2018,12,Apple,a12o4_18,genetic control,
27,5,orange,Ferris,9.728,,NA,8/16/2018,9/6/2018,8/27/2018,12,Apple,a12o5_18,Simulated Overwintering,C5
28,6,orange,OG,7.414,,NA,8/16/2018,9/6/2018,8/27/2018,12,Apple,a12o6_18,Simulated Overwintering,E10
29,7,orange,Ferris,6.763,,NA,8/16/2018,9/6/2018,8/27/2018,12,Apple,a12o7_18,RT eclosion,G8
30,8,orange,OG,8.672,,NA,8/16/2018,9/6/2018,8/27/2018,12,Apple,a12o8_18,genetic control,
31,9,orange,Ferris,7.603,,NA,8/16/2018,9/6/2018,8/27/2018,12,Apple,a12o9_18,genetic control,
32,10,orange,Ferris,6.671,,NA,8/16/2018,9/6/2018,8/27/2018,12,Apple,a12o10_18,Simulated Overwintering,G9
33,11,orange,OG,9.822,,NA,8/16/2018,9/6/2018,8/27/2018,12,Apple,a12o11_18,Simulated Overwintering,C6
34,12,orange,Ferris,7.804,,NA,8/16/2018,9/6/2018,8/27/2018,12,Apple,a12o12_18,Simulated Overwintering,B6
35,13,orange,Ferris,3.76,,NA,8/16/2018,9/6/2018,8/27/2018,12,Apple,a12o13_18,RT eclosion,H4
36,14,orange,OG,7.693,,NA,8/16/2018,9/6/2018,8/27/2018,12,Apple,a12o14_18,genetic control,
37,15,orange,Ferris,5.6,,NA,8/16/2018,9/6/2018,8/27/2018,12,Apple,a12o15_18,Simulated Overwintering,H3
38,16,orange,Ferris,8.48,,NA,8/16/2018,9/6/2018,8/27/2018,12,Apple,a12o16_18,genetic control,
39,17,orange,OG,9.816,,NA,8/16/2018,9/6/2018,8/27/2018,12,Apple,a12o17_18,RT eclosion,F7
40,18,orange,OG,6.5,,NA,8/16/2018,9/6/2018,8/27/2018,12,Apple,a12o18_18,RT eclosion,B5
41,19,orange,Ferris,5.49,,NA,8/16/2018,9/6/2018,8/27/2018,12,Apple,a12o19_18,RT eclosion,E1
42,20,orange,OG,8.353,,NA,8/16/2018,9/6/2018,8/27/2018,12,Apple,a12o20_18,RT eclosion,D6
43,21,red,blank,NA,,NA,8/16/2018,9/6/2018,8/27/2018,12,,a12r21_18,genetic control,
44,22,red,blank,NA,13:44,NA,8/16/2018,9/6/2018,8/27/2018,12,,a12r22_18,RT eclosion,G11
