Ind_ID,tape,Site_name,mass_day10,purge_time_1,collection_date,day10,cohort_date,cohort_day,Host,uniqueID,rando_assign,wellID
1,blue,Ferris,4.066,15:17,8/29/18,9/18/18,9/8/18,9,Apple,a9b1_18,RT eclosion,D5
2,blue,OG,5.991,,8/29/18,9/18/18,9/8/18,9,Apple,a9b2_18,RT eclosion,A9
3,blue,OG,6.598,,8/29/18,9/18/18,9/8/18,9,Apple,a9b3_18,genetic control,
4,blue,OG,2.601,,8/16/18,9/18/18,9/8/18,24,Apple,a24b4_18,genetic control,
5,blue,Ferris,6.345,,8/29/18,9/18/18,9/8/18,9,Apple,a9b5_18,genetic control,
6,blue,OG,8.772,,8/29/18,9/18/18,9/8/18,9,Apple,a9b6_18,RT eclosion,B7
7,blue,OG,10.304,,8/29/18,9/18/18,9/8/18,9,Apple,a9b7_18,RT eclosion,B6
8,blue,OG,8.777,,8/16/18,9/18/18,9/8/18,24,Apple,a24b8_18,Simulated Overwintering,A11
9,blue,OG,5.152,,8/29/18,9/18/18,9/8/18,9,Apple,a9b9_18,Simulated Overwintering,G11
10,blue,Ferris,3.199,,8/29/18,9/18/18,9/8/18,9,Apple,a9b10_18,RT eclosion,B9
11,blue,OG,7.676,,8/29/18,9/18/18,9/8/18,9,Apple,a9b11_18,RT eclosion,G9
12,blue,OG,4.693,,8/29/18,9/18/18,9/8/18,9,Apple,a9b12_18,genetic control,
13,blue,OG,8.227,,8/29/18,9/18/18,9/8/18,9,Apple,a9b13_18,genetic control,
14,blue,Ferris,6.521,,8/29/18,9/18/18,9/8/18,9,Apple,a9b14_18,Simulated Overwintering,F1
15,blue,OG,6.406,,8/29/18,9/18/18,9/8/18,9,Apple,a9b15_18,genetic control,
16,blue,OG,6.994,,8/29/18,9/18/18,9/8/18,9,Apple,a9b16_18,RT eclosion,G4
17,blue,Ferris,7.653,,8/29/18,9/18/18,9/8/18,9,Apple,a9b17_18,genetic control,
18,blue,OG,6.033,,8/29/18,9/18/18,9/8/18,9,Apple,a9b18_18,Simulated Overwintering,C8
19,blue,OG,6.966,,8/29/18,9/18/18,9/8/18,9,Apple,a9b19_18,Simulated Overwintering,H4
20,blue,OG,5.392,,8/29/18,9/18/18,9/8/18,9,Apple,a9b20_18,Simulated Overwintering,C12
21,blue,OG,7.508,,8/29/18,9/18/18,9/8/18,9,Apple,a9b21_18,Simulated Overwintering,B5
22,blue,OG,6.639,,8/29/18,9/18/18,9/8/18,9,Apple,a9b22_18,Simulated Overwintering,E5
23,blue,OG,4.428,,8/29/18,9/18/18,9/8/18,9,Apple,a9b23_18,genetic control,
24,blue,OG,7.234,,8/29/18,9/18/18,9/8/18,9,Apple,a9b24_18,genetic control,
25,blue,OG,8.074,,8/16/18,9/18/18,9/8/18,24,Apple,a24b25_18,genetic control,
26,blue,OG,7.067,,8/29/18,9/18/18,9/8/18,9,Apple,a9b26_18,RT eclosion,E1
27,blue,OG,6.327,,8/29/18,9/18/18,9/8/18,9,Apple,a9b27_18,Simulated Overwintering,F12
28,blue,OG,3.657,,8/29/18,9/18/18,9/8/18,9,Apple,a9b28_18,RT eclosion,E10
29,blue,OG,7.2,,8/29/18,9/18/18,9/8/18,9,Apple,a9b29_18,Simulated Overwintering,B1
30,blue,OG,7.31,,8/16/18,9/18/18,9/8/18,24,Apple,a24b30_18,RT eclosion,H2
31,blue,OG,6.805,,8/29/18,9/18/18,9/8/18,9,Apple,a9b31_18,Simulated Overwintering,F8
32,blue,OG,8.768,,8/29/18,9/18/18,9/8/18,9,Apple,a9b32_18,genetic control,
33,blue,OG,7.193,,8/29/18,9/18/18,9/8/18,9,Apple,a9b33_18,RT eclosion,A6
34,blue,OG,6.52,,8/29/18,9/18/18,9/8/18,9,Apple,a9b34_18,genetic control,
35,blue,OG,4.027,,8/16/18,9/18/18,9/8/18,24,Apple,a24b35_18,genetic control,
36,blue,OG,6.393,,8/29/18,9/18/18,9/8/18,9,Apple,a9b36_18,Simulated Overwintering,A4
37,blue,OG,9.223,,8/29/18,9/18/18,9/8/18,9,Apple,a9b37_18,genetic control,
38,blue,OG,6.425,,8/29/18,9/18/18,9/8/18,9,Apple,a9b38_18,Simulated Overwintering,E10
39,blue,Ferris,5.092,,8/29/18,9/18/18,9/8/18,9,Apple,a9b39_18,Simulated Overwintering,H5
40,blue,OG,6.17,,8/29/18,9/18/18,9/8/18,9,Apple,a9b40_18,genetic control,
41,blue,OG,4.91,,8/29/18,9/18/18,9/8/18,9,Apple,a9b41_18,RT eclosion,G1
